START_TIME=1432225318018
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=4
COLS=+TIME aX aY aZ
====================
558 2.264 0.054 2.717
877 0.930 -0.721 0.290
988 0.645 -0.788 -0.100
1123 0.177 -0.822 -0.529
1312 -0.225 -0.682 -0.318
1527 -0.019 -0.817 -1.602
1612 -0.657 -0.706 -1.318
1697 -1.777 -4.154 -1.218
1811 -1.624 -4.157 1.103
1916 -2.618 0.802 -0.607
2017 1.810 -0.187 2.179
2113 11.626 5.867 7.039
2198 -1.649 1.050 2.032
2311 -2.806 -4.215 -10.069
2497 -10.947 -6.513 -6.148
2753 -2.443 -5.083 4.704
2857 -3.520 0.577 -2.109
2977 -3.782 -0.000 -1.941
3073 -1.833 0.200 -0.189
3166 -2.686 0.478 0.303
3287 0.049 3.267 2.443
3387 1.629 3.571 2.526
3482 1.884 3.493 2.086
3582 2.928 2.609 0.784
3691 2.627 2.513 0.504
3776 1.501 1.648 0.605
3866 1.291 1.437 0.463
4009 0.361 0.289 0.153
4126 -0.394 0.124 -0.622
4207 -0.350 0.032 -0.393
4304 -0.350 -0.053 -0.287
4400 0.407 0.280 0.262
4485 -0.194 -0.230 -0.015
4576 0.150 0.155 0.040
4658 0.233 0.118 0.157
4803 0.224 0.019 0.209
4886 0.257 0.239 0.101
5006 0.060 0.037 0.019
5102 0.081 0.132 -0.017
5202 -0.006 -0.006 -0.014
5296 -0.109 -0.053 -0.086
5377 0.523 -0.129 0.678
5522 0.010 -0.275 0.182
5633 0.264 -0.234 0.407
5722 0.225 0.170 0.109
5847 0.448 0.103 0.379
5938 0.228 -0.022 0.226
6072 0.385 0.243 0.215
6292 0.366 0.142 0.249
6513 0.328 0.045 0.266
6600 0.312 0.204 0.163
6732 0.237 0.257 0.063
6817 0.201 0.322 -0.004
6897 0.203 0.294 0.018
6982 0.156 0.299 -0.028
7085 0.054 0.229 -0.086
7176 0.043 0.211 -0.075
7287 -0.036 0.218 -0.147
7371 -0.005 0.137 -0.072
7456 -0.056 0.130 -0.114
7558 -0.052 0.071 -0.079
7653 -0.130 0.005 -0.123
11012 0.423 -0.251 0.617
11104 0.381 -0.226 0.560
11418 -0.894 1.969 1.351
11570 -0.191 -2.510 -0.101
11665 -0.163 -2.603 -0.195
11768 0.146 -2.204 -0.202
11865 0.274 -1.663 -0.220
11965 0.383 -1.243 -0.070
12073 0.410 -1.118 -0.095
12203 -0.239 -0.086 0.134
12323 0.284 -0.488 0.004
12403 0.284 -0.541 -0.083
12505 -0.487 -0.291 -0.602
