START_TIME=1431762314146
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=8
COLS=+TIME aX aY aZ
====================
516 0.000 0.000 0.000
618 0.000 0.000 0.000
710 0.000 0.000 0.000
831 0.000 0.000 0.000
951 0.000 0.000 0.000
1055 0.000 0.000 0.000
1150 0.000 -0.000 -0.000
1230 0.397 0.246 -0.063
1330 0.008 1.107 7.048
1440 0.228 -0.092 7.822
1540 -2.364 -2.527 6.411
1654 -3.880 -3.406 -10.539
1775 -5.852 -5.071 -4.950
1855 -4.462 -5.322 -1.302
1975 -1.107 -5.069 2.018
2091 3.690 -4.650 2.428
2219 -1.252 7.863 0.691
2312 5.719 2.227 3.110
2407 -1.481 5.702 4.167
2519 2.793 -11.315 3.173
2659 -2.251 -1.419 -11.238
2750 0.193 -2.433 -14.325
2851 -1.061 17.008 1.020
2940 0.076 13.381 3.183
3031 0.593 11.120 2.502
3124 1.294 8.204 -5.721
3225 0.825 6.590 -3.061
3325 -0.463 4.291 -5.701
3455 -0.142 1.687 -5.680
3591 -0.087 -0.267 -4.602
3684 -2.618 -6.159 2.854
3770 1.196 -6.901 5.009
3873 1.802 -6.173 5.296
3984 1.787 -5.091 4.645
4085 1.867 -3.423 2.998
4176 1.729 -2.477 2.159
4256 1.342 -2.066 1.788
4598 0.534 -0.237 0.034
4700 -0.046 -0.041 0.016
4800 0.753 0.112 -0.178
4895 1.679 -1.709 -0.729
4984 3.700 -2.513 4.485
5084 -5.068 0.584 -0.782
5167 -6.015 1.599 0.745
5252 -0.361 0.612 0.416
5339 -0.519 0.905 -0.671
5435 0.202 0.644 0.108
5537 0.573 0.443 -0.119
5654 -0.071 0.350 0.111
5775 0.624 -0.312 0.513
5887 0.410 -0.463 -0.003
5988 0.055 -0.429 0.065
6100 -0.186 -0.439 0.059
6195 -0.354 -0.329 0.058
6325 -0.182 -0.276 0.016
6458 -0.131 -0.191 -0.003
6539 -0.036 -0.100 -0.006
6656 -0.007 -0.104 -0.007
6753 0.100 -0.043 -0.015
6899 0.045 -0.047 -0.010
6993 0.058 -0.051 -0.010
7093 0.036 -0.074 -0.009
7187 0.015 -0.040 -0.005
7316 0.076 -0.018 -0.010
7399 0.023 -0.054 -0.005
7508 0.040 -0.005 -0.005
7630 0.062 0.013 -0.006
7719 0.012 -0.036 -0.003
7812 0.049 -0.054 -0.008
7909 0.075 -0.047 -0.010
7990 0.023 -0.056 -0.005
8112 0.016 -0.052 -0.004
8209 0.017 -0.049 -0.004
8319 -0.060 -0.032 0.004
8429 0.016 -0.011 -0.002
8550 0.016 0.003 -0.002
8652 -0.002 -0.018 -0.001
8756 0.012 0.012 -0.001
8858 0.033 0.020 -0.003
8982 0.032 -0.003 -0.003
9067 -0.020 0.042 0.004
9157 -0.000 0.024 0.001
9250 -0.001 0.033 0.001
9354 0.016 0.017 -0.001
9434 -0.020 0.013 0.003
