START_TIME=1431762314146
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=8
COLS=+TIME Gx Gy Gz
====================
510 0.000 0.000 0.000
623 0.000 0.000 0.000
712 0.000 0.000 0.000
834 0.000 0.000 0.000
953 0.000 0.000 0.000
1057 0.000 0.000 0.000
1153 0.498 0.332 9.788
1233 1.129 0.128 9.741
1333 1.219 -0.866 9.692
1442 1.460 -0.784 9.666
1542 0.832 -0.024 9.771
1657 4.171 3.025 8.344
1785 7.109 5.650 3.702
1872 6.495 7.330 -0.509
1977 4.422 8.055 -3.426
2094 -0.057 9.169 -3.478
2221 -4.840 7.484 -4.090
2315 -7.283 -5.927 -2.829
2409 3.652 -7.350 -5.367
2523 -1.254 7.490 -6.205
2662 4.798 2.160 8.275
2752 5.546 -7.939 -1.543
2870 -0.819 -9.323 -2.930
2977 2.644 -9.103 -2.513
3082 2.859 -9.334 -0.939
3172 2.824 -9.336 -1.016
3262 2.581 -9.359 -1.382
3357 2.525 -9.361 -1.470
3459 2.512 -9.369 -1.441
3593 2.512 -9.373 -1.418
3689 5.126 -3.091 -7.768
3772 1.201 -1.464 -9.622
3931 0.418 -0.860 -9.760
4074 -0.017 -0.555 -9.791
4178 -0.371 -0.615 -9.780
4258 -0.404 -0.596 -9.780
4605 -0.404 -0.521 -9.784
4702 -0.859 -0.710 -9.743
4801 -2.830 -0.645 -9.367
4905 -8.430 -0.238 -5.005
4986 -8.456 -0.503 4.941
5086 -3.986 -0.938 8.911
5171 -1.286 -1.879 9.539
5255 0.933 -2.180 9.516
5341 -0.640 -1.675 9.641
5436 -0.980 -1.593 9.627
5540 -0.539 -1.578 9.664
5655 0.252 -1.530 9.683
5778 0.371 -1.298 9.713
5890 0.421 -1.080 9.738
5991 0.427 -0.943 9.752
6103 1.125 -0.749 9.713
6196 1.336 -0.674 9.692
6328 1.314 -0.633 9.698
6470 1.257 -0.592 9.708
6572 1.218 -0.559 9.715
6743 1.201 -0.547 9.717
6902 1.175 -0.522 9.722
7095 1.151 -0.505 9.726
7190 1.134 -0.493 9.728
7320 1.125 -0.485 9.730
7402 1.113 -0.475 9.732
7510 1.103 -0.468 9.733
7634 1.098 -0.462 9.734
7721 1.093 -0.451 9.735
7826 1.089 -0.434 9.736
7910 1.087 -0.432 9.737
7992 1.083 -0.431 9.737
8115 1.080 -0.429 9.738
8212 1.076 -0.428 9.738
8333 1.071 -0.428 9.739
8431 1.066 -0.427 9.739
8552 1.063 -0.426 9.740
8655 1.060 -0.425 9.740
8759 1.057 -0.424 9.740
8870 1.054 -0.423 9.741
8990 1.052 -0.422 9.741
9087 1.048 -0.420 9.741
9197 1.046 -0.418 9.742
9292 1.044 -0.417 9.742
9376 1.043 -0.416 9.742
9462 1.041 -0.415 9.742
