START_TIME=1431762314146
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=8
COLS=+TIME rX rY rZ
====================
513 0.775 0.138 -0.072
608 0.193 -0.062 0.217
707 0.142 -0.263 0.105
827 -0.086 -0.017 0.010
948 0.031 -0.040 -0.024
1052 -0.224 0.104 0.045
1147 -0.075 0.138 0.164
1227 -0.789 0.115 -0.440
1327 -0.651 -0.357 -0.244
1437 0.435 -0.601 0.619
1538 2.996 -0.454 -0.098
1652 2.277 -5.128 -1.389
1772 1.120 -5.372 -2.065
1852 0.217 -5.572 -2.271
1972 -0.992 -5.698 -2.149
2087 -1.674 -5.932 -1.632
2217 15.858 -5.092 -8.519
2307 6.497 -12.071 -14.434
2387 -7.935 -15.237 -14.018
2467 -15.390 -3.847 -9.112
2549 -13.118 8.079 3.971
2657 -11.972 -2.933 7.994
2747 -20.075 -21.945 13.978
2848 -0.264 17.858 -4.298
2937 1.365 -8.553 1.392
3027 1.068 -1.600 0.347
3122 -0.204 0.241 -0.121
3222 0.276 -0.816 -0.002
3322 -0.010 -0.070 0.027
3452 0.067 -0.028 0.009
3582 0.006 -0.037 0.000
3682 0.050 -0.034 0.018
3767 0.034 -0.020 0.010
3847 0.034 -0.015 0.005
3976 0.000 -0.051 0.017
4065 -0.007 -0.023 -0.032
4158 0.186 -0.447 -0.043
4259 0.009 0.034 0.104
4382 -0.002 0.010 0.011
4589 0.050 0.001 0.013
4697 0.216 -0.463 -0.100
4798 -0.139 -3.162 -0.983
4892 -2.557 -9.569 -0.412
4982 1.139 -8.915 -0.735
5082 0.164 -6.489 -1.719
5162 -1.480 -3.236 0.419
5248 0.833 0.701 0.241
5337 -0.186 2.068 0.170
5433 0.158 -0.461 0.663
5535 -0.029 -1.157 0.290
5652 0.017 -0.397 0.004
5772 0.023 -0.040 0.007
5883 0.024 -0.028 0.011
5963 0.049 0.015 0.012
6092 0.045 -1.586 0.016
6192 -0.013 -0.089 0.006
6322 0.024 0.009 0.012
6417 0.013 -0.013 0.012
6518 0.022 -0.015 0.009
6599 0.010 -0.023 0.015
6729 0.035 -0.016 0.012
6827 0.035 -0.021 0.004
6932 0.024 -0.022 0.012
7100 0.026 -0.022 0.010
7183 0.050 -0.018 0.010
7272 0.017 -0.020 0.017
7363 0.027 -0.016 0.007
7447 0.029 -0.018 0.011
7527 0.024 -0.010 0.015
7627 0.029 -0.023 0.000
7717 0.066 -0.016 0.002
7808 -0.023 -0.013 0.016
7907 0.017 -0.001 0.009
7987 0.031 -0.027 0.009
8108 0.016 -0.007 0.012
8207 0.016 -0.022 0.016
8317 0.003 -0.003 0.001
8427 -0.030 0.006 0.002
8547 -0.037 0.007 -0.001
8648 0.023 0.000 0.007
8753 -0.015 -0.008 0.002
8852 0.004 -0.000 0.011
8932 -0.010 -0.002 0.006
9027 0.014 0.002 0.000
9118 -0.013 0.005 0.001
9242 0.010 -0.006 0.004
9352 0.004 -0.004 0.001
9432 0.012 -0.007 -0.001
