START_TIME=1431762790408
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=8
COLS=+TIME rX rY rZ
====================
388 -1.063 1.144 0.361
525 -0.686 -0.470 0.511
647 -0.578 -1.681 0.503
752 0.056 0.230 -0.206
906 0.164 0.439 -0.474
1033 -0.530 -0.458 -0.777
1131 1.005 0.084 -0.358
1226 2.882 2.546 0.372
1313 1.333 -1.181 -2.193
1411 0.717 -2.645 -2.346
1498 0.181 -2.731 -2.424
1595 -0.457 -2.655 -2.416
1724 -0.884 -2.524 -2.335
1805 -1.515 -1.636 -2.174
1896 -1.930 -0.578 -2.066
1980 -19.280 0.744 0.206
2086 14.780 -11.792 -3.669
2181 -4.971 -18.132 -11.922
2271 -15.012 -15.278 -3.512
2379 -4.563 -0.072 1.230
2477 -4.525 -0.059 1.258
2557 -17.209 -0.775 1.772
2663 -0.438 2.980 1.684
2753 -3.803 -10.728 0.599
2874 -0.499 3.591 0.026
2962 0.022 -0.215 0.002
3042 -0.008 -0.042 -0.003
3147 0.001 -0.013 -0.004
3237 -0.001 -0.000 -0.003
3346 0.005 -0.002 -0.007
3431 0.015 -0.005 0.002
3538 0.015 0.005 -0.000
3648 -0.023 0.007 0.001
3743 0.003 -0.000 -0.002
3823 -0.001 -0.005 -0.004
3938 -0.019 -0.000 -0.000
4023 -0.030 -0.002 0.011
4129 0.011 0.005 -0.007
4279 -0.001 0.002 0.003
4387 -0.003 -0.005 0.006
4472 -0.001 -0.000 -0.000
4564 0.004 -0.005 -0.002
4674 0.023 0.002 -0.003
4770 -0.002 -0.002 -0.013
4883 -0.023 0.018 0.003
4985 0.025 0.002 -0.003
5090 -0.011 -0.007 -0.007
5195 -0.011 0.002 -0.007
5275 -0.018 -0.001 -0.002
5395 0.014 0.006 -0.008
5487 -0.001 0.001 0.002
5585 -0.010 -0.007 -0.003
5717 0.012 -0.004 0.002
5827 -0.010 0.005 0.001
5918 0.014 -0.001 0.007
6014 -0.010 -0.002 0.001
6095 -0.005 -0.000 -0.000
6199 0.008 0.006 -0.001
6279 -0.009 -0.004 -0.002
6377 -0.008 0.007 0.003
6471 -0.001 -0.003 0.003
6581 0.011 -0.003 -0.002
6700 -0.018 0.003 0.000
6853 -0.018 -0.002 0.004
6951 -0.008 -0.003 0.000
7061 -0.044 0.003 0.015
7151 0.009 -0.005 0.008
7244 0.011 0.002 0.011
7352 0.002 0.001 -0.005
7445 0.006 0.004 -0.003
7588 0.054 0.001 0.001
7731 0.013 -0.004 0.006
7817 0.021 0.001 0.001
7942 0.014 0.002 0.005
8047 0.004 -0.002 0.008
8185 0.038 0.017 -0.003
8272 -0.009 -0.006 -0.000
8381 0.019 -0.005 0.005
8461 0.007 -0.003 -0.000
8558 -0.005 -0.001 -0.006
8711 -0.006 -0.005 -0.005
8821 -0.004 0.019 0.005
8931 0.009 0.002 -0.002
9029 0.003 0.005 0.008
9119 0.026 -0.006 -0.003
9200 0.002 -0.001 0.002
9289 -0.023 0.002 -0.005
