START_TIME=1431762484136
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=8
COLS=+TIME rX rY rZ
====================
407 0.136 0.371 0.411
493 0.234 -1.143 0.178
582 0.280 -0.307 0.237
678 -0.361 0.126 0.042
772 0.447 -0.315 0.226
863 -0.275 0.976 -0.020
963 -0.835 -0.625 -0.388
1044 -1.311 0.043 -0.676
1143 -1.603 -0.463 -1.741
1223 0.395 -0.315 -0.432
1323 -0.073 1.668 1.314
1430 0.364 1.241 2.461
1510 0.098 1.360 2.481
1636 -0.302 1.302 2.446
1741 -0.594 1.145 2.397
1841 -0.793 0.576 2.352
1924 -0.960 -0.277 2.327
2024 -1.060 -1.305 2.339
2111 16.165 6.020 -0.295
2202 15.637 2.753 2.171
2301 13.842 5.186 6.152
2404 -0.430 14.574 8.979
2496 3.825 0.254 6.736
2589 2.389 2.677 7.111
2671 5.432 -31.700 2.458
2771 -1.762 1.268 2.173
2881 10.990 13.150 6.425
2992 4.997 7.636 9.345
3101 -3.245 -2.139 -10.497
3227 1.822 14.420 1.248
3317 8.960 7.736 5.996
3400 -0.319 -16.808 2.529
3491 5.072 0.743 1.027
3590 -0.304 -1.415 0.096
3735 -0.003 -0.007 0.008
3931 -0.001 0.005 0.006
4015 -0.005 0.004 0.005
4195 0.000 0.003 0.002
4533 -0.021 -0.005 0.005
4631 0.005 0.006 0.006
4723 -0.003 0.000 0.001
4806 -0.001 0.009 0.002
4889 0.001 -0.006 0.003
4978 -0.001 0.001 0.005
5061 0.001 0.005 0.002
5177 -0.002 -0.002 0.006
5267 0.009 0.003 -0.004
5376 0.000 0.000 0.001
5471 0.008 0.001 0.002
5556 0.005 0.000 0.005
5646 -0.002 0.006 0.007
5784 0.000 0.004 0.006
5893 -0.001 0.009 0.002
5985 0.005 0.020 0.007
6065 -0.001 0.001 -0.003
6150 0.010 0.020 0.008
6238 0.005 -0.002 0.003
6425 0.006 0.005 -0.003
6505 -0.002 -0.002 0.002
6621 0.011 -0.004 -0.003
6721 -0.003 -0.005 0.005
6901 -0.002 -0.001 0.003
7052 0.006 -0.007 0.007
7219 -0.003 0.000 0.002
7332 -0.007 -0.002 0.002
7416 0.003 0.001 -0.000
7536 0.016 0.001 -0.000
7631 -0.007 0.000 0.003
7741 -0.001 0.004 -0.000
7821 -0.012 -0.001 -0.000
7940 0.003 0.005 0.009
8061 -0.006 -0.005 -0.002
8183 0.004 -0.001 -0.009
8376 0.001 0.020 -0.000
8479 -0.001 0.010 0.005
8614 0.004 0.001 -0.009
8698 -0.001 0.001 0.002
8811 0.003 0.004 0.008
9045 0.006 -0.006 -0.009
9144 0.003 0.020 0.011
