START_TIME=1431762403402
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=8
COLS=+TIME rX rY rZ
====================
396 0.021 -0.068 0.189
516 0.142 -1.663 0.017
606 1.268 -1.853 2.206
746 -1.539 1.822 -1.367
875 -2.107 2.535 -0.548
976 -0.332 -0.033 -0.656
1086 0.347 -0.832 -0.329
1176 0.871 -0.649 0.609
1266 1.154 -0.170 0.475
1356 2.638 -0.745 -0.330
1446 1.525 -3.616 -1.064
1536 1.140 -3.661 -1.323
1656 0.467 -3.760 -1.559
1756 -0.087 -3.562 -1.614
1866 -0.628 -3.227 -1.535
1955 2.738 -4.458 16.591
2045 0.741 1.883 19.418
2155 -2.291 1.464 19.264
2245 1.057 -2.401 19.358
2345 -0.773 3.189 20.794
2455 -1.384 0.139 29.413
2546 3.584 -3.696 29.402
2636 -0.313 6.810 -2.020
2726 -3.823 -8.705 5.650
2826 3.482 -5.252 0.110
2936 3.741 3.346 -1.325
3056 -4.633 9.510 -1.321
3146 6.285 5.784 -0.797
3266 4.398 4.936 -0.842
3380 0.604 0.489 -0.590
3465 0.074 -0.024 0.028
3546 0.008 -0.021 0.003
3716 -0.002 0.007 0.003
3826 -0.005 0.003 0.001
3936 -0.022 0.000 -0.009
4026 0.000 -0.001 0.005
4125 0.005 -0.001 0.001
4228 0.000 0.005 0.002
4359 -0.002 0.001 0.009
4440 0.001 -0.005 -0.000
4575 -0.003 -0.005 0.002
4667 -0.035 0.003 0.013
4757 -0.008 -0.005 -0.000
4885 0.003 0.006 -0.009
4976 0.006 0.005 0.011
5086 -0.022 -0.001 0.008
5201 0.005 -0.004 -0.009
5311 -0.007 0.003 -0.009
5395 0.003 -0.006 -0.000
5570 -0.003 -0.004 -0.003
5660 -0.016 -0.001 0.005
5761 0.014 0.005 -0.002
5891 0.006 0.007 0.003
5990 0.004 -0.002 0.002
6081 0.001 0.004 -0.000
6166 -0.013 0.007 0.002
6256 -0.035 0.000 0.003
6355 0.011 -0.002 0.002
6437 0.028 0.003 -0.000
6526 -0.001 0.010 0.008
6623 -0.005 0.001 0.003
6721 0.003 0.020 0.012
6810 -0.024 0.005 0.002
6901 -0.001 0.003 -0.006
6991 -0.021 0.009 0.009
7071 -0.007 0.020 0.008
7201 -0.021 0.007 -0.003
7301 -0.010 0.003 0.009
7407 0.011 0.003 0.003
7501 0.000 0.001 -0.004
7641 -0.017 -0.006 0.002
7771 -0.011 -0.001 0.012
7861 -0.006 0.000 0.008
7941 -0.021 0.001 -0.002
8041 0.012 0.020 0.002
8131 -0.002 0.005 0.006
8221 -0.002 -0.001 -0.004
8330 0.001 0.004 -0.009
8421 -0.001 0.004 -0.000
8511 0.000 -0.005 0.005
8601 -0.006 -0.004 0.006
8701 0.011 -0.008 0.003
8811 0.012 0.001 0.003
8911 0.003 -0.005 0.005
9001 0.004 -0.004 -0.003
9131 0.001 0.020 0.006
9241 0.011 0.005 -0.005
9342 -0.032 0.004 0.002
