START_TIME=1432224519017
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=5
COLS=+TIME aX aY aZ
====================
454 5.673 0.679 3.242
563 8.326 5.282 -4.979
789 6.229 6.470 -4.608
882 5.919 5.493 -3.516
982 4.398 3.850 -2.775
1169 3.932 2.559 -2.188
1283 3.260 0.840 -3.630
1408 -2.387 -1.229 -4.880
1528 -0.963 -2.440 6.342
1634 7.808 4.169 12.039
1754 -3.928 -9.287 1.855
1837 -13.777 -0.536 -2.294
1944 -13.211 1.026 -1.807
2039 -3.922 -0.052 3.698
2135 -7.594 -3.945 4.219
2233 -5.866 0.676 2.025
2324 -1.531 -0.598 1.616
2426 -0.222 -0.955 2.008
2573 2.890 -0.459 4.365
2754 3.057 -0.254 3.287
2837 3.008 -0.952 1.586
2930 2.464 -0.856 0.876
3017 2.152 -0.726 1.309
3154 1.416 -0.523 0.132
3303 1.322 -0.442 0.428
3398 1.257 -0.807 0.531
3583 0.317 -0.524 0.027
3733 -0.051 -0.402 -0.119
3827 -0.039 -0.292 -0.091
3934 -0.043 -0.227 -0.064
4198 -0.179 -0.147 -0.131
4289 -0.159 -0.112 -0.110
4378 -0.164 -0.081 -0.111
4468 -0.103 -0.073 -0.076
4581 -0.103 -0.076 -0.076
4679 -0.070 -0.062 -0.052
4783 -0.081 -0.041 -0.058
4864 -0.076 -0.068 -0.055
4959 -0.027 -0.069 -0.022
5047 0.022 -0.057 0.010
5149 -0.018 -0.030 -0.014
5263 0.025 0.031 0.014
5353 -0.142 -0.089 -0.097
5438 -0.088 -0.042 -0.061
5519 -0.151 -0.076 -0.101
5608 -0.018 -0.020 -0.017
5699 0.179 0.069 0.096
5833 0.015 -0.028 0.002
5914 -0.240 -0.069 -0.151
6042 -0.055 -0.074 -0.035
6204 0.035 -0.047 0.039
6324 0.100 -0.020 0.100
6415 0.195 -0.035 0.178
6538 0.154 -0.032 0.132
6678 0.036 -0.017 0.034
6763 0.038 -0.042 0.033
6846 -0.033 -0.001 -0.024
6988 0.029 0.015 0.020
7070 0.051 0.008 0.034
7215 0.070 -0.008 0.048
7324 0.010 0.028 -0.000
7411 0.053 0.031 0.032
7500 -0.031 -0.031 -0.028
7581 0.007 0.009 0.005
7670 -0.038 -0.007 -0.027
7803 -0.012 -0.010 -0.002
7933 -0.060 -0.009 -0.039
8032 -0.189 -0.117 -0.159
8133 -0.145 -0.032 -0.120
8239 -0.057 -0.015 -0.043
8353 0.006 -0.032 0.012
8588 0.107 0.003 0.097
8679 0.214 -0.035 0.182
8809 0.148 0.018 0.125
8948 0.141 0.042 0.118
9148 0.021 -0.010 0.013
9285 0.005 0.017 -0.001
9384 -0.069 -0.001 -0.062
9488 -0.005 -0.037 -0.016
