START_TIME=1432224519017
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=5
COLS=+TIME rX rY rZ
====================
463 -0.226 0.749 -0.110
573 -0.475 0.443 -0.361
809 -0.111 0.367 -0.303
895 -0.130 0.142 -0.336
996 -0.169 -0.214 -0.369
1244 0.700 0.147 0.347
1326 -0.033 0.855 -0.007
1419 1.623 -0.779 0.148
1596 1.061 -2.724 -0.855
1703 -3.888 -3.033 -7.634
1813 -2.668 -0.003 -5.770
1913 0.247 -1.626 -1.813
2017 1.961 -0.734 4.562
2122 0.546 -4.677 -0.080
2248 -0.019 -1.060 -0.013
2433 -0.039 0.940 0.000
2600 0.007 0.239 0.035
2769 -0.201 1.022 -0.053
2890 -0.021 -0.604 0.009
3026 -0.099 -0.645 0.149
3165 -0.125 -0.408 0.251
3378 -0.006 0.242 0.126
3605 0.034 0.285 -0.063
3752 0.002 0.274 0.000
3882 -0.001 -0.053 -0.005
4003 -0.017 0.031 0.011
4241 -0.003 0.030 0.044
4341 -0.003 -0.120 -0.002
4430 -0.003 0.001 0.013
4549 -0.009 0.004 0.002
4657 -0.004 0.002 -0.003
4879 -0.003 0.024 -0.012
4967 -0.000 -0.052 -0.002
5058 -0.000 -0.069 -0.003
5215 -0.017 0.037 0.021
5364 0.012 -0.403 -0.046
5450 -0.011 0.056 0.037
5589 -0.031 0.062 0.057
5674 0.050 -0.085 -0.051
5765 0.113 -0.053 -0.177
5850 0.138 0.135 -0.190
5930 0.088 0.439 -0.086
6058 0.034 0.501 -0.022
6227 -0.008 0.390 0.004
6404 -0.011 0.110 0.000
6558 -0.017 -0.139 0.003
6698 0.012 -0.015 -0.019
6836 -0.001 0.042 0.003
6922 0.006 0.016 -0.019
7019 0.003 0.024 -0.005
7138 -0.005 -0.070 0.019
7266 -0.019 -0.107 0.031
7346 -0.015 -0.041 0.024
7426 -0.006 -0.029 -0.001
7531 0.010 0.073 -0.012
7620 0.021 0.163 -0.022
7744 -0.011 0.145 0.000
7858 -0.008 0.174 -0.003
7950 0.003 0.153 -0.008
8045 0.010 0.054 0.009
8144 0.013 -0.001 -0.007
8308 0.006 0.002 0.006
8410 -0.004 0.004 0.002
8608 0.018 -0.018 -0.025
8692 0.008 -0.124 0.008
8889 -0.034 -0.013 0.044
8981 0.023 -0.113 -0.046
9167 -0.004 -0.067 0.003
9359 -0.005 -0.114 0.015
9503 0.002 -0.162 0.005
