START_TIME=1432224519017
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=5
COLS=+TIME Gx Gy Gz
====================
437 -7.378 2.394 6.000
533 -7.691 2.205 5.670
639 -7.941 1.767 5.475
799 -8.235 1.222 5.182
889 -8.365 0.906 5.038
990 -8.444 0.541 4.958
1234 -8.319 0.711 5.144
1322 -7.965 0.811 5.664
1414 -7.992 1.298 5.534
1538 -8.183 5.350 -0.759
1644 -6.852 6.400 2.875
1764 -7.672 0.157 6.106
1844 -7.089 -4.093 5.401
2007 -4.342 -5.820 6.591
2113 -1.533 -3.578 9.001
2240 -1.175 -3.111 9.226
2345 -4.923 -1.610 8.327
2580 -7.113 -1.441 6.595
2762 -7.265 -1.348 6.448
2842 -7.134 -1.060 6.644
2935 -6.756 -1.007 7.037
3023 -6.157 -0.905 7.579
3160 -5.422 -0.755 8.136
3313 -5.583 -0.616 8.039
3405 -5.405 -0.571 8.163
3595 -5.484 -0.563 8.110
3744 -5.744 -0.544 7.930
3831 -5.716 -0.511 7.952
3939 -5.677 -0.491 7.981
4216 -5.640 -0.465 8.009
4339 -5.553 -0.442 8.071
4429 -5.511 -0.418 8.101
4542 -5.496 -0.403 8.112
4650 -5.484 -0.393 8.121
4873 -5.477 -0.386 8.126
4964 -5.467 -0.378 8.133
5053 -5.444 -0.370 8.148
5155 -5.431 -0.366 8.157
5269 -5.402 -0.361 8.176
5359 -5.167 -0.376 8.327
5444 -5.153 -0.371 8.335
5582 -5.195 -0.354 8.310
5668 -5.059 -0.330 8.394
5758 -4.977 -0.321 8.444
5843 -4.996 -0.309 8.433
5923 -5.257 -0.291 8.273
6051 -5.761 -0.269 7.931
6214 -6.310 -0.249 7.503
6338 -6.529 -0.253 7.313
6468 -6.430 -0.257 7.400
6550 -6.366 -0.261 7.455
6690 -6.259 -0.265 7.545
6827 -6.249 -0.265 7.553
6917 -6.245 -0.264 7.556
7013 -6.204 -0.263 7.590
7129 -6.148 -0.263 7.636
7222 -6.127 -0.263 7.652
7332 -5.996 -0.262 7.756
7418 -5.983 -0.260 7.766
7504 -5.980 -0.259 7.768
7584 -6.049 -0.262 7.714
7673 -6.156 -0.261 7.629
7809 -6.309 -0.265 7.503
7943 -6.469 -0.271 7.366
8039 -6.581 -0.264 7.265
8139 -6.627 -0.255 7.224
8246 -6.626 -0.253 7.226
8359 -6.592 -0.253 7.256
8598 -6.562 -0.254 7.284
8686 -6.528 -0.255 7.314
8879 -6.448 -0.246 7.385
8975 -6.425 -0.245 7.404
9158 -6.307 -0.249 7.505
9295 -6.260 -0.250 7.545
9389 -6.168 -0.252 7.620
9498 -6.054 -0.252 7.711
