START_TIME=1432053308030
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=6
COLS=+TIME rX rY rZ
====================
550 -0.186 0.055 -0.088
631 0.331 0.031 -0.127
759 1.300 0.979 0.415
866 1.999 1.292 1.214
950 0.511 1.308 0.229
1085 0.034 0.015 0.094
1180 0.372 -0.703 1.092
1277 0.244 -0.818 1.236
1364 0.241 -0.029 -1.443
1500 -0.712 -0.689 -0.913
1630 2.601 -0.240 -0.151
1784 -3.163 3.228 -10.222
1906 4.472 -2.290 -5.471
2080 6.326 -0.491 0.822
2210 -1.615 -2.934 -5.538
2361 -2.364 -7.260 -5.530
2475 -0.920 -4.485 0.020
2596 -1.820 3.272 0.412
2706 0.938 -0.163 -0.716
2795 0.601 -0.883 -1.113
2910 0.271 -0.075 -0.564
3095 -0.008 -0.189 -0.329
3200 0.034 -0.482 -0.077
3346 -0.082 -0.380 0.116
3465 -0.029 0.035 -0.081
3680 0.050 -0.189 -0.037
3780 0.051 -0.005 0.018
3891 0.067 0.098 0.061
4059 0.028 0.043 -0.006
4184 0.015 0.091 0.053
4289 -0.004 0.043 0.023
4374 0.021 0.028 -0.024
4485 0.015 -0.008 -0.020
4611 0.012 -0.005 -0.033
4769 -0.034 -0.080 0.067
5114 -0.013 0.028 -0.006
5332 -0.004 -0.011 0.001
5469 0.026 -0.007 -0.034
5574 0.028 -0.055 -0.026
5685 -0.002 -0.063 -0.004
5795 -0.030 0.015 0.028
5909 0.011 0.021 -0.001
6019 0.022 -0.017 -0.016
6119 0.029 -0.011 0.021
6226 -0.015 0.033 0.002
6381 0.020 -0.022 0.015
6480 0.031 0.074 0.026
6562 0.033 0.114 0.010
6676 0.012 -0.026 -0.023
6765 0.011 -0.003 0.029
6895 0.003 0.041 0.002
6991 -0.007 -0.020 -0.007
7110 -0.006 -0.028 0.000
7229 -0.012 -0.001 0.009
7315 0.006 0.008 -0.002
7410 0.009 -0.008 0.010
7490 -0.010 0.102 0.067
7582 -0.049 0.107 -0.001
7691 0.003 0.081 0.017
7785 0.012 0.037 -0.004
7945 -0.035 -0.073 0.061
8030 0.038 0.027 0.009
8120 0.064 0.039 -0.045
8347 -0.044 -0.063 0.022
8495 -0.051 -0.066 0.044
8575 0.003 0.037 -0.032
8765 -0.007 -0.048 -0.023
8904 -0.010 0.005 0.040
9033 0.004 0.048 0.050
9210 -0.018 -0.031 0.034
9290 -0.007 0.026 0.023
9381 0.004 -0.014 -0.006
9525 0.012 0.015 -0.012
9607 -0.007 0.004 0.005
