START_TIME=1432053308030
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=6
COLS=+TIME Gx Gy Gz
====================
535 -4.437 1.970 -8.521
641 -4.208 1.969 -8.637
774 -4.045 1.414 -8.821
856 -3.159 0.426 -9.274
967 -1.686 -0.389 -9.653
1107 -0.301 -0.669 -9.779
1196 -1.196 -0.845 -9.697
1306 -2.786 -0.850 -9.364
1402 -3.415 -1.252 -9.107
1518 -3.497 -1.456 -9.045
1647 -0.404 -4.471 -8.719
1802 5.318 -2.450 -7.867
1927 5.435 0.843 -8.119
2100 3.725 -6.158 -6.661
2247 3.977 -6.079 -6.588
2345 3.507 -4.161 -8.158
2479 4.267 0.157 -8.829
2602 6.098 -0.201 -7.677
2736 8.652 1.349 -4.415
2817 8.066 1.703 -5.312
2932 7.638 1.739 -5.899
3118 7.331 2.219 -6.124
3221 7.063 2.366 -6.379
3366 6.657 2.374 -6.799
3486 4.915 -5.269 -6.653
3701 5.430 -7.081 -4.067
3793 5.498 -7.320 -3.516
3902 5.533 -7.505 -3.037
4076 5.701 -7.555 -2.569
4203 5.715 -7.606 -2.378
4311 5.729 -7.650 -2.197
4420 5.747 -7.647 -2.160
4500 5.752 -7.646 -2.150
4635 5.761 -7.664 -2.059
4794 5.731 -7.677 -2.095
5141 5.611 -7.743 -2.174
5361 5.612 -7.742 -2.175
5497 5.613 -7.739 -2.182
5597 5.634 -7.721 -2.193
5677 5.627 -7.721 -2.212
5811 5.621 -7.719 -2.235
5925 5.612 -7.722 -2.245
6034 5.608 -7.723 -2.251
6136 5.604 -7.724 -2.259
6243 5.605 -7.722 -2.264
6404 5.603 -7.722 -2.268
6492 5.606 -7.721 -2.264
6618 5.617 -7.732 -2.200
6715 5.613 -7.737 -2.190
6799 5.612 -7.738 -2.191
6912 5.612 -7.738 -2.190
7007 5.612 -7.738 -2.191
7129 5.610 -7.739 -2.194
7249 5.606 -7.741 -2.197
7335 5.605 -7.741 -2.198
7438 5.603 -7.742 -2.202
7588 5.582 -7.771 -2.150
7697 5.555 -7.781 -2.183
7808 5.563 -7.781 -2.162
7975 5.518 -7.806 -2.187
8059 5.489 -7.821 -2.207
8148 5.508 -7.816 -2.176
8484 5.492 -7.809 -2.241
8588 5.463 -7.812 -2.300
8787 5.464 -7.813 -2.298
8923 5.456 -7.812 -2.320
9021 5.458 -7.810 -2.320
9235 5.461 -7.808 -2.320
9358 5.463 -7.806 -2.322
9597 5.465 -7.805 -2.322
