START_TIME=1432224322815
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=6
COLS=+TIME Gx Gy Gz
====================
385 2.856 0.694 9.356
524 2.101 0.525 9.564
664 1.195 0.610 9.714
769 -0.122 1.516 9.688
859 -0.478 1.875 9.614
1019 0.360 1.880 9.618
1104 1.443 1.913 9.509
1252 1.900 1.253 9.539
1379 6.956 6.132 3.190
1626 7.121 3.255 5.905
1754 5.975 7.333 -2.590
1871 6.940 6.500 -2.399
1970 7.451 6.245 -1.286
2060 7.890 5.820 0.204
2184 6.445 5.283 5.169
2305 6.467 5.268 5.156
2446 6.318 5.318 5.289
2622 2.120 1.154 9.505
2717 1.808 0.636 9.618
2811 1.690 0.440 9.650
2913 1.624 0.334 9.665
3118 1.573 0.264 9.676
3220 1.540 0.217 9.683
3313 1.511 0.185 9.688
3408 1.489 0.155 9.692
3499 1.475 0.135 9.694
3783 1.465 0.117 9.696
3905 1.501 0.094 9.691
4028 1.505 0.082 9.690
4135 1.504 0.073 9.690
4236 1.502 0.064 9.691
4326 1.498 0.056 9.691
4456 1.494 0.050 9.692
4576 1.492 0.044 9.692
4706 1.489 0.039 9.693
4813 1.485 0.033 9.694
4916 1.482 0.031 9.694
5032 1.478 0.028 9.695
5145 1.475 0.025 9.695
5344 1.474 0.023 9.695
5453 1.472 0.020 9.696
5566 1.470 0.018 9.696
5674 1.470 0.016 9.696
5761 1.467 0.013 9.696
5875 1.465 0.010 9.697
5965 1.463 0.006 9.697
6105 1.462 0.002 9.697
6192 1.460 -0.000 9.697
6289 1.459 -0.003 9.698
6377 1.457 -0.005 9.698
6553 1.456 -0.007 9.698
6678 1.454 -0.008 9.698
6759 1.454 -0.008 9.698
6840 1.452 -0.010 9.699
7051 1.452 -0.011 9.699
7249 1.451 -0.013 9.699
7431 1.450 -0.014 9.699
7554 1.450 -0.016 9.699
7711 1.449 -0.018 9.699
16265 1.448 -0.019 9.699
16357 1.410 -0.055 9.705
16458 1.423 -0.052 9.703
16548 1.687 -0.086 9.660
16630 2.982 -0.188 9.341
20242 4.109 -0.459 8.893
20622 4.475 -6.604 5.703
20762 9.246 0.047 3.268
20991 9.223 2.986 1.483
21192 9.140 3.546 -0.255
