START_TIME=1432053254407
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=6
COLS=+TIME rX rY rZ
====================
415 0.011 0.279 0.015
559 -0.083 0.015 0.043
683 0.014 0.203 0.086
789 -0.069 0.626 0.029
928 -0.137 0.798 -0.177
1037 -0.226 0.642 -0.134
1126 -0.179 0.492 -0.145
1277 -0.456 -0.028 -0.341
1384 0.169 -0.221 -0.089
1497 2.860 -0.051 0.516
1584 3.160 0.795 0.849
1683 2.143 0.827 2.540
1859 -0.982 -2.910 -2.843
2017 -1.424 2.540 -1.124
2104 -1.749 3.619 -1.128
2199 3.046 0.069 -5.223
2377 6.589 2.575 1.025
2481 -1.280 -1.313 -1.036
2561 -0.651 -4.438 -2.487
2669 -2.056 -0.272 -3.718
2817 0.980 -1.595 -3.195
2939 0.147 7.343 -3.525
3198 0.438 1.128 -0.202
3309 0.244 0.471 -0.259
3533 -0.153 0.620 0.095
3683 -0.377 -0.316 0.166
3808 -0.253 -0.299 0.034
3894 -0.160 -0.294 0.125
4169 -0.266 -0.078 0.010
4292 -0.225 -0.218 -0.055
4379 -0.150 -0.050 -0.134
4467 -0.132 -0.020 0.053
4549 -0.010 -0.055 -0.061
4648 0.055 0.050 0.021
4748 0.018 0.016 -0.070
4836 0.045 0.003 -0.093
4953 0.076 -0.007 0.016
5048 -0.069 -0.063 0.005
5143 -0.069 -0.081 0.035
5225 -0.058 -0.077 0.018
5358 -0.157 -0.100 -0.045
5454 -0.154 -0.132 -0.065
5582 -0.138 -0.156 0.004
5689 -0.071 -0.057 -0.029
5799 -0.079 -0.112 -0.012
5888 0.099 -0.058 -0.010
5973 0.029 -0.118 0.005
6067 -0.049 0.016 -0.017
6430 0.022 0.011 -0.002
6517 -0.007 -0.007 0.002
6628 -0.010 0.005 -0.007
6718 0.014 -0.031 -0.012
6849 -0.021 -0.035 0.022
6959 0.000 0.015 -0.001
7093 0.032 -0.003 -0.012
7192 0.021 -0.002 -0.010
7312 0.015 -0.020 0.010
7399 -0.017 0.019 0.001
7491 -0.001 -0.009 0.001
7573 -0.034 -0.031 0.016
7699 -0.008 -0.077 0.039
7784 -0.024 -0.070 0.076
7904 -0.065 -0.180 0.136
8009 0.004 0.017 -0.020
8105 0.066 -0.050 -0.024
8195 -0.011 -0.097 -0.021
8308 -0.024 -0.066 -0.012
8449 0.017 -0.028 -0.015
8552 0.014 0.015 0.015
8634 -0.019 -0.001 -0.002
8733 0.023 -0.002 0.004
8839 -0.015 -0.014 0.004
8938 -0.019 0.002 0.012
9097 -0.023 -0.026 -0.006
9212 -0.006 0.003 0.013
9323 -0.018 -0.014 0.000
9438 -0.065 0.009 0.023
9523 -0.039 0.019 -0.006
9604 0.011 0.006 -0.013
