START_TIME=1431762484136
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=8
COLS=+TIME Gx Gy Gz
====================
391 0.017 -1.744 9.650
488 0.121 -0.076 9.806
577 0.770 0.209 9.774
672 1.182 0.097 9.735
767 1.249 0.007 9.727
857 0.924 0.397 9.755
957 1.017 0.172 9.752
1038 1.098 -0.912 9.702
1118 1.821 -2.036 9.419
1218 2.552 -2.057 9.243
1318 1.109 -1.644 9.604
1423 -1.545 -1.147 9.616
1505 -2.720 -0.546 9.406
1632 -4.303 0.474 8.799
1739 -5.129 1.251 8.265
1832 -5.362 1.954 7.975
1922 -4.962 2.418 8.106
2021 -4.467 1.579 8.586
2106 -4.060 0.385 8.918
2197 -5.479 8.107 -0.653
2287 -1.575 1.130 -9.613
2402 -2.011 -8.579 -4.303
2492 -3.963 -8.960 -0.427
2584 -5.187 -8.076 2.012
2667 -7.240 -0.215 6.611
2767 5.658 -1.451 7.878
2877 -3.268 4.597 8.022
2987 -7.114 6.130 -2.825
3097 -8.768 -2.137 -3.837
3177 -4.935 -1.376 8.362
3297 -6.831 5.167 4.776
3397 -7.295 6.237 2.016
3487 -9.327 -2.746 -1.281
3578 -5.967 -2.384 -7.408
3729 -6.150 -2.406 -7.250
3920 -6.151 -2.405 -7.249
4006 -6.151 -2.405 -7.249
4186 -6.151 -2.405 -7.249
4467 -6.151 -2.405 -7.249
4561 -6.151 -2.405 -7.249
4696 -6.151 -2.405 -7.249
4802 -2.824 -1.737 -9.229
4882 -1.978 -1.453 -9.495
4973 -1.501 -1.266 -9.608
5057 -1.190 -1.133 -9.668
5137 -0.974 -1.034 -9.703
5263 -0.816 -0.956 -9.726
5372 -0.694 -0.893 -9.741
5467 -0.600 -0.843 -9.752
5552 -0.524 -0.798 -9.760
5642 -0.440 -0.747 -9.768
5781 -0.371 -0.705 -9.774
5891 -0.328 -0.676 -9.778
5982 -0.279 -0.644 -9.782
6062 -0.245 -0.620 -9.784
6147 -0.218 -0.600 -9.786
6233 -0.192 -0.583 -9.787
6416 -0.185 -0.576 -9.788
6517 -0.177 -0.570 -9.788
6615 -0.163 -0.559 -9.789
6715 -0.142 -0.543 -9.791
6895 -0.124 -0.527 -9.792
7045 -0.112 -0.517 -9.792
7208 -0.100 -0.508 -9.793
7292 -0.095 -0.503 -9.793
7412 -0.079 -0.489 -9.794
7532 -0.060 -0.473 -9.795
7627 -0.044 -0.457 -9.796
7737 -0.032 -0.446 -9.796
7817 -0.024 -0.440 -9.797
7937 -0.009 -0.428 -9.797
8057 0.002 -0.417 -9.798
8147 0.014 -0.406 -9.798
8227 0.025 -0.397 -9.799
8366 0.030 -0.392 -9.799
8470 0.037 -0.386 -9.799
8606 0.040 -0.384 -9.799
8690 0.045 -0.380 -9.799
8788 0.047 -0.378 -9.799
8881 0.051 -0.375 -9.799
9036 0.054 -0.373 -9.799
9132 0.056 -0.371 -9.799
