START_TIME=1431762747361
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=8
COLS=+TIME aX aY aZ
====================
391 0.354 -0.342 -0.538
487 0.495 -7.283 11.559
567 -0.682 -5.661 10.802
677 1.668 -2.480 6.758
787 1.092 -2.135 0.527
877 1.905 -1.632 -5.050
997 1.912 -0.968 -1.649
1087 2.490 -0.787 3.031
1171 0.592 -2.927 3.542
1263 0.780 -0.214 -13.298
1357 0.528 0.239 -10.671
1447 0.431 0.493 -8.277
1532 0.685 0.712 -6.769
1627 0.955 0.899 -5.530
1777 1.520 1.368 -3.676
1887 2.129 1.663 -1.407
1967 -11.195 -7.142 -10.300
2071 0.420 -0.980 7.937
2187 -0.154 12.168 -5.885
2308 -5.557 -2.273 8.285
2402 -7.201 10.278 0.793
2493 -9.313 5.092 6.785
2582 -4.448 3.197 4.404
2677 -0.894 0.569 2.828
2767 5.732 -3.115 0.007
2882 -1.966 -14.509 1.343
2972 6.666 -6.840 -6.998
3053 6.896 -5.804 7.177
3157 -2.689 -5.138 7.511
3238 -3.018 -1.933 4.288
3332 -3.521 -1.169 6.191
3432 -4.000 -0.526 5.518
3517 -3.408 -0.281 4.600
3597 -2.997 -0.169 4.296
3728 -2.395 3.293 -3.896
3858 -1.645 4.214 -5.335
3938 -0.797 4.505 -5.568
4037 -0.203 4.791 -5.356
4133 -0.067 4.128 -4.113
4222 0.007 3.343 -2.952
4313 0.181 2.365 -1.610
4473 0.079 1.354 -0.474
4592 0.236 0.808 -0.235
4688 0.051 0.686 -0.147
4778 0.157 0.598 -0.120
4888 -0.002 0.504 -0.088
4998 0.009 0.431 -0.070
5088 0.042 0.314 -0.058
5207 0.013 0.318 -0.038
5298 0.056 0.231 -0.033
5380 0.055 0.248 -0.031
5508 0.066 0.198 -0.027
5597 0.067 0.180 -0.024
5738 0.133 0.095 -0.026
5832 0.067 0.118 -0.018
5922 0.055 0.099 -0.016
6028 0.032 0.074 -0.012
6122 0.066 0.099 -0.015
6217 0.051 0.098 -0.013
6312 0.041 0.065 -0.011
6403 0.045 0.071 -0.011
6493 0.044 0.043 -0.010
6602 0.018 0.082 -0.007
6687 -0.011 0.028 -0.003
6782 0.031 0.051 -0.007
6862 0.045 0.036 -0.008
6972 -0.029 0.034 -0.000
7092 -0.009 0.100 -0.004
7192 0.026 0.016 -0.005
7272 0.029 0.100 -0.007
7398 -0.015 0.044 -0.001
7507 0.031 0.010 -0.005
7597 0.025 0.017 -0.004
7687 0.030 0.051 -0.005
7767 0.039 0.038 -0.006
7887 -0.001 0.017 -0.001
7998 0.008 0.028 -0.002
8127 0.004 -0.008 -0.001
8267 0.047 0.002 -0.006
8389 0.049 0.024 -0.006
8477 0.012 0.029 -0.003
8577 -0.007 0.031 -0.001
8687 0.003 0.002 -0.001
8767 -0.001 -0.006 -0.000
8867 0.027 0.020 -0.004
8967 0.042 -0.009 -0.005
9055 0.001 0.033 -0.001
9147 -0.002 -0.008 -0.000
9227 -0.004 0.022 -0.001
9312 0.039 -0.024 -0.004
