START_TIME=1431762747361
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=8
COLS=+TIME Gx Gy Gz
====================
379 3.798 0.402 9.032
478 -1.017 7.550 -6.176
570 -0.887 8.065 -5.509
679 -1.842 8.129 -5.167
789 -2.293 8.743 -3.804
879 -3.102 9.302 0.154
1000 -3.793 8.697 2.478
1090 -3.613 8.882 2.058
1174 -3.746 8.972 1.286
1267 -3.763 9.056 0.053
1362 -3.895 8.997 -0.216
1450 -4.204 8.851 -0.401
1536 -4.616 8.644 -0.374
1632 -5.145 8.348 -0.123
1783 -5.935 7.782 0.629
1893 -6.687 7.170 0.232
1973 -4.292 5.126 7.175
2075 -5.775 -0.077 -7.925
2192 2.469 9.179 2.413
2313 7.441 6.372 0.440
2407 8.253 4.989 -1.780
2497 6.698 6.624 -2.728
2586 4.523 8.060 -3.278
2682 0.288 9.191 -3.407
2771 -6.098 7.129 -2.857
2921 -8.529 4.768 -0.832
3003 -4.943 7.945 2.935
3128 1.331 9.714 0.173
3244 1.279 9.723 -0.057
3338 1.306 9.716 0.249
3438 1.312 9.717 0.178
3523 1.307 9.718 0.172
3603 1.307 9.718 0.172
3732 1.862 5.604 7.829
3862 1.814 4.169 8.689
3944 1.749 3.328 9.058
4043 1.691 2.785 9.250
4138 1.619 2.252 9.406
4226 1.561 1.904 9.492
4318 1.520 1.662 9.545
4479 1.481 1.475 9.581
4596 1.450 1.327 9.608
4694 1.393 1.269 9.624
4783 1.362 1.213 9.636
4894 1.352 1.181 9.641
5003 1.333 1.125 9.650
5093 1.317 1.073 9.658
5212 1.272 0.958 9.676
5303 1.254 0.901 9.684
5385 1.242 0.872 9.689
5515 1.226 0.832 9.694
5603 1.217 0.809 9.697
5745 1.206 0.776 9.701
5840 1.199 0.756 9.704
5925 1.191 0.737 9.706
6032 1.184 0.719 9.708
6127 1.179 0.703 9.710
6222 1.173 0.688 9.712
6317 1.169 0.674 9.713
6407 1.165 0.660 9.715
6497 1.160 0.647 9.716
6605 1.156 0.635 9.718
6692 1.152 0.623 9.719
6784 1.146 0.605 9.721
6866 1.140 0.591 9.722
6976 1.134 0.577 9.724
7096 1.130 0.569 9.725
7197 1.127 0.561 9.726
7301 1.122 0.550 9.727
7401 1.118 0.543 9.728
7511 1.114 0.532 9.729
7602 1.112 0.525 9.729
7691 1.107 0.516 9.730
7772 1.105 0.511 9.731
7892 1.101 0.502 9.732
8002 1.099 0.497 9.732
8132 1.096 0.489 9.733
8272 1.094 0.484 9.733
8394 1.092 0.478 9.734
8481 1.089 0.469 9.735
8580 1.087 0.465 9.735
8690 1.084 0.459 9.736
8797 1.081 0.453 9.736
8897 1.079 0.448 9.737
9012 1.078 0.442 9.737
9107 1.075 0.437 9.738
9187 1.074 0.434 9.738
9277 1.072 0.431 9.738
