START_TIME=1432226691712
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=6
COLS=+TIME aX aY aZ
====================
286 2.385 -6.087 -2.931
410 -2.902 0.036 3.792
543 -3.807 1.362 3.052
661 -3.869 1.877 2.182
786 -2.616 0.591 1.326
942 -3.283 -0.159 0.181
1074 -1.829 1.504 -2.443
1199 -1.934 -1.312 1.734
1336 -1.248 1.567 4.413
1518 4.577 1.865 6.260
1875 -5.309 -1.482 -2.901
2058 -7.256 -2.258 -3.570
2283 -5.992 1.630 -1.940
2386 -5.161 1.962 -3.631
2567 -4.313 1.575 -2.295
2678 -3.232 1.021 -2.002
2783 -2.930 0.806 -1.830
2886 -2.637 0.763 -1.360
3046 1.479 1.233 -1.580
3227 4.426 1.251 -0.664
3334 5.917 1.028 0.226
3479 6.711 0.194 0.198
3615 6.894 -0.051 0.527
3721 6.309 -0.660 0.811
3855 5.602 -0.740 0.927
4024 4.834 -0.790 0.939
4153 3.949 -0.778 0.883
4331 3.058 -0.776 0.835
4423 1.656 -0.671 0.672
4543 0.905 -0.549 0.561
4663 0.543 -0.463 0.372
4758 0.378 -0.407 0.277
4875 0.307 -0.364 0.241
4983 0.204 -0.313 0.159
5071 0.185 -0.315 0.150
5197 0.192 -0.255 0.161
5428 0.132 -0.235 0.111
5659 0.134 -0.243 0.119
5809 0.092 -0.216 0.086
5963 0.097 -0.209 0.093
6137 0.057 -0.138 0.049
6224 0.086 -0.142 0.081
6346 0.024 -0.155 0.028
6460 0.054 -0.121 0.052
6545 0.034 -0.132 0.038
6665 0.103 -0.164 0.110
6788 0.078 -0.122 0.081
6924 0.063 -0.107 0.065
7025 0.048 -0.128 0.056
7150 0.083 -0.135 0.090
7324 0.081 -0.047 0.074
7433 0.008 -0.112 0.019
7538 0.011 -0.076 0.017
7653 0.029 -0.097 0.037
7759 0.023 -0.092 0.031
7850 -0.055 -0.069 -0.045
7961 -0.040 -0.070 -0.030
8096 -0.016 -0.030 -0.015
8177 0.013 -0.034 0.013
8279 -0.004 -0.051 0.001
8384 -0.022 -0.081 -0.011
8466 -0.004 -0.049 0.001
8562 -0.009 -0.014 -0.010
8645 0.004 -0.051 0.009
8753 -0.026 -0.017 -0.025
8836 -0.005 -0.032 -0.002
8982 0.031 -0.020 0.029
9073 0.022 -0.038 0.024
9237 0.031 -0.026 0.030
9359 0.015 -0.042 0.019
9475 -0.022 -0.040 -0.016
