START_TIME=1432225905305
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=4
COLS=+TIME Gx Gy Gz
====================
460 -6.262 -0.387 -7.537
561 -6.889 -0.188 -6.976
662 -6.724 0.037 -7.139
824 -6.671 0.237 -7.184
920 -6.682 0.660 -7.147
1016 -6.667 0.652 -7.162
1103 -4.459 -0.098 -8.734
1198 -0.501 3.528 -9.136
1367 -1.935 4.653 -8.413
1498 -6.471 3.615 -6.422
1590 -6.300 1.780 -7.302
1768 -2.736 4.927 -8.025
2046 1.997 2.963 -9.133
2126 1.524 0.871 -9.648
2301 0.216 -2.330 -9.523
2426 1.313 -2.631 -9.356
2536 3.738 -5.580 -7.146
2641 3.067 -5.353 -7.623
2840 3.617 -5.011 -7.615
2941 5.732 -4.982 -6.204
3028 7.965 -4.650 -3.332
3233 8.460 -4.472 -2.146
3460 9.042 -3.792 -0.191
3545 9.408 -2.284 1.565
3652 9.481 -1.638 1.897
3775 9.567 -0.397 2.119
3857 9.621 0.435 1.847
4237 9.671 0.876 1.372
4323 9.741 1.032 0.465
4404 9.762 0.922 0.136
4590 9.776 0.762 -0.102
4711 9.789 0.499 -0.300
4898 9.794 0.339 -0.352
5024 9.800 0.090 -0.337
5141 9.803 -0.027 -0.272
5237 9.804 -0.092 -0.193
5386 9.805 -0.121 -0.140
5552 9.805 -0.140 -0.088
5659 9.806 -0.138 -0.037
5765 9.806 -0.131 -0.012
5893 9.806 -0.063 0.042
6090 9.806 -0.031 0.056
6249 9.807 0.002 0.043
6343 9.807 0.018 0.023
6436 9.807 0.010 -0.003
6581 9.807 0.006 -0.007
6687 9.807 0.003 -0.008
6856 9.807 -0.002 -0.005
6985 9.807 -0.002 0.001
7074 9.807 0.000 0.001
7161 9.807 0.000 0.000
7254 9.807 0.000 -0.000
7336 9.807 -0.000 -0.000
7439 9.807 -0.000 0.000
7546 9.807 -0.000 0.000
7674 9.807 -0.001 0.000
7802 9.807 -0.001 0.001
7893 9.807 0.000 0.001
8225 9.807 -0.003 0.001
8331 9.807 0.005 -0.001
8462 9.807 0.000 -0.002
16748 9.807 -0.037 -0.002
17652 -8.020 0.758 -5.593
