START_TIME=1432225905305
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=4
COLS=+TIME rX rY rZ
====================
474 -0.026 -0.114 0.062
554 -0.130 -0.087 0.097
655 -0.195 0.435 0.193
751 -0.293 0.241 0.124
909 0.156 -0.232 0.362
1001 0.843 -0.017 0.673
1090 2.007 4.690 1.111
1180 0.635 -4.252 1.102
1268 -0.123 -2.903 -0.658
1351 -1.161 -4.120 -0.490
1484 4.704 -0.123 -3.211
1564 4.005 8.643 5.284
1745 -1.859 1.388 1.821
1826 2.484 2.492 0.305
1956 1.521 3.018 0.198
2063 0.881 0.725 -0.656
2180 2.373 -0.899 -0.341
2289 0.784 0.125 -0.080
2404 -0.644 0.424 -0.926
2503 0.271 0.853 1.675
2599 -0.913 -0.658 -0.506
2810 -0.225 0.721 0.134
2919 0.020 -0.271 0.072
3014 -0.128 -0.180 0.101
3170 -0.101 -0.099 -0.092
3259 -0.016 0.036 0.028
3376 0.029 -0.024 -0.021
3479 0.022 -0.029 -0.018
3640 -0.027 -0.087 -0.007
3760 0.057 0.032 -0.000
3844 0.029 0.018 -0.007
4152 0.018 0.006 0.004
4248 0.000 -0.024 -0.003
4350 -0.004 0.012 -0.003
4430 0.000 -0.004 -0.013
4569 -0.009 -0.010 0.003
4688 0.005 0.021 -0.016
4810 0.034 -0.017 0.001
4913 -0.012 0.006 0.007
5009 0.010 0.000 -0.007
5123 -0.007 -0.013 -0.013
5220 0.009 -0.011 -0.002
5364 0.016 -0.002 -0.000
5529 0.007 -0.016 -0.009
5620 -0.005 -0.001 0.001
5744 -0.007 -0.004 0.011
5824 0.001 -0.018 0.001
5930 0.007 0.004 -0.005
6071 0.018 -0.001 0.007
6182 0.000 -0.013 0.006
6324 -0.006 0.007 -0.004
6404 -0.010 -0.004 0.004
6500 0.002 -0.006 0.001
6660 -0.002 -0.007 -0.013
6780 0.013 0.000 0.006
6868 0.009 -0.010 -0.002
6982 -0.004 -0.013 -0.009
7070 0.017 -0.005 0.001
7156 -0.009 0.000 0.004
7247 -0.006 0.005 0.002
7328 0.006 -0.008 -0.002
7428 -0.020 -0.011 0.002
7529 -0.020 0.010 0.007
7659 -0.004 -0.017 -0.003
7784 0.006 -0.008 -0.007
7876 0.004 0.003 -0.002
8206 0.006 -0.010 -0.004
8314 0.017 -0.012 0.008
8445 0.011 -0.023 0.001
16732 -0.020 0.012 -0.016
17642 -0.162 0.624 -0.064
