START_TIME=1432225905305
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=4
COLS=+TIME aX aY aZ
====================
483 3.831 4.013 16.785
601 6.216 8.722 7.283
725 4.874 7.559 5.748
817 4.397 6.580 5.263
916 4.108 3.437 4.611
1008 3.144 2.302 3.594
1097 -0.281 -0.014 3.059
1190 -3.887 -0.093 0.729
1358 -1.312 -2.654 -3.178
1491 15.947 -8.647 8.388
1584 4.790 -6.604 -11.050
1757 -4.210 -7.108 -4.311
1966 6.602 -5.837 1.450
2079 3.857 -5.257 7.078
2187 7.837 -5.331 10.113
2296 -1.702 0.120 5.224
2417 -1.358 0.905 5.330
2527 -3.983 5.224 0.786
2626 0.008 5.932 -0.299
2830 0.639 4.665 -0.903
2931 -3.592 2.068 -2.970
3022 -5.084 0.698 -5.045
3195 -4.783 -0.209 -5.535
3388 -3.837 -1.348 -5.598
3486 -3.335 -2.183 -5.880
3646 -2.694 -3.203 -5.720
3767 -2.460 -3.946 -5.008
3851 -1.870 -3.959 -3.627
4161 -1.145 -3.595 -2.092
4254 -0.701 -3.193 -0.927
4359 -0.388 -2.211 0.340
4581 -0.268 -1.397 1.028
4701 -0.099 -0.201 1.254
4882 -0.099 0.085 1.149
5016 -0.026 0.659 0.599
5130 -0.031 0.541 0.315
5230 -0.013 0.457 0.088
5376 -0.016 0.383 -0.141
5541 -0.017 0.283 -0.217
5628 -0.003 0.262 -0.145
5755 -0.006 0.169 -0.219
5880 -0.004 0.019 -0.235
6082 -0.005 -0.059 -0.155
6190 -0.011 -0.105 -0.174
6336 -0.005 -0.115 -0.064
6429 -0.001 -0.077 -0.002
6570 0.004 -0.009 -0.073
6672 0.008 -0.018 0.026
6791 -0.018 -0.118 0.057
6877 0.001 -0.014 0.021
6984 -0.005 -0.017 -0.012
7072 0.006 0.018 0.037
7159 -0.018 -0.063 -0.031
7251 0.011 0.053 -0.018
7333 0.003 0.025 -0.036
7433 -0.009 -0.030 -0.032
7538 -0.006 -0.041 0.047
7668 0.005 0.013 0.027
7793 0.011 0.048 0.003
7885 0.000 -0.007 0.025
8216 -0.005 -0.018 -0.010
8322 -0.011 -0.067 0.048
8454 0.002 0.002 0.022
16734 -0.009 0.013 -0.047
17649 13.641 6.232 8.453
