START_TIME=1432260697125
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=1
COLS=+TIME rX rY rZ
====================
438 -0.190 -0.178 0.174
531 0.179 0.094 0.387
632 0.174 -0.289 0.408
722 -0.154 0.040 0.149
822 -0.377 0.341 0.034
922 -0.326 0.521 0.003
1002 -0.796 1.051 0.195
1082 0.024 1.086 0.246
1172 1.651 0.406 0.064
1282 -0.304 -0.739 -0.094
1416 -0.551 -0.721 0.387
1511 -0.548 0.039 0.210
1591 -0.355 -0.252 0.115
1671 -0.162 -0.227 -0.177
1761 0.289 -0.233 -0.094
1851 -0.614 -0.155 -0.390
1942 0.350 -0.214 -0.313
2027 0.014 0.480 -0.419
2126 0.303 0.100 -0.314
2221 -0.092 -0.228 -0.055
2331 -0.306 0.394 0.152
2416 -0.937 -0.212 0.160
2630 -0.548 0.282 0.663
2711 0.286 -0.150 0.684
2827 0.803 0.026 0.455
2947 0.573 -0.151 -0.046
3069 0.385 0.032 -0.307
3181 -0.105 0.365 -0.413
3291 0.352 0.073 0.034
3381 0.587 -0.117 0.192
3485 0.146 0.229 -0.289
3586 -0.244 0.185 -0.242
3676 -0.037 -0.309 -0.206
3776 -0.277 -0.322 0.003
3909 -0.348 -0.418 -0.323
4014 0.193 -0.611 -0.002
4116 -0.228 0.083 0.416
4205 -0.007 -0.061 0.204
4337 -0.079 0.164 0.033
4436 -1.025 0.528 0.257
4565 -0.441 -0.588 0.072
4657 -0.303 -0.921 0.424
4747 1.594 -0.760 0.239
4846 2.969 -1.727 0.375
4946 1.047 -1.334 -0.050
5053 -0.031 -0.059 -0.121
5133 0.686 -0.440 0.058
5251 0.363 0.059 0.281
5331 -0.277 0.110 0.066
5441 0.197 0.266 -0.011
5530 0.044 0.093 -0.407
5616 -0.221 0.502 0.022
5701 0.410 0.319 0.022
5791 0.362 -0.023 0.018
5887 -0.289 -0.342 0.033
6023 -0.377 -0.902 -0.381
6112 -0.378 -0.278 0.085
6222 -0.354 0.053 0.192
6322 -0.273 0.159 0.148
6402 0.075 0.014 -0.111
6482 0.302 0.296 -0.010
6562 0.016 0.086 -0.284
6647 -0.661 0.584 0.011
6727 -0.058 0.401 0.573
6837 -0.017 0.458 0.056
6919 -0.165 0.104 -0.450
7026 0.219 0.054 0.327
7121 0.482 -0.759 0.554
7211 0.035 -0.704 0.234
7332 -0.180 -0.120 0.213
7416 0.357 0.091 0.140
7573 -0.133 -0.274 0.221
7681 0.353 0.138 0.290
7791 0.454 0.146 0.757
7881 0.244 0.042 0.816
7996 -0.151 0.326 0.859
8086 -0.526 0.638 0.817
8176 -0.755 0.144 0.480
8276 -0.157 -0.188 0.565
8366 -0.512 0.141 0.591
8536 -0.602 0.153 0.426
8646 -0.427 0.036 -0.356
8735 0.159 0.651 0.115
8852 0.116 0.545 -0.093
8946 0.178 0.005 0.612
9056 -0.017 0.146 0.636
9165 -0.066 0.137 0.451
9295 -0.355 0.203 0.234
9376 0.044 0.137 0.745
9459 -0.090 -0.048 0.611
9577 -0.534 -0.068 0.596
