START_TIME=1432053224871
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=6
COLS=+TIME Gx Gy Gz
====================
463 6.971 -0.919 -6.836
552 7.027 -0.763 -6.798
691 7.326 -0.954 -6.449
802 7.707 -1.079 -5.968
925 8.084 -1.128 -5.435
1180 8.704 -0.260 -4.510
1294 8.847 -0.700 -4.172
1692 8.142 1.286 -5.312
1788 8.408 3.819 -3.299
1887 5.473 6.193 -5.278
1990 2.315 8.940 -3.299
2082 -1.725 9.503 -1.701
2210 -6.438 6.313 -3.855
2342 -6.499 -2.268 -6.985
2571 -7.857 -3.341 -4.825
2668 -1.985 -9.014 -3.312
2748 -0.498 -8.840 -4.217
3024 2.293 -8.348 -4.608
3110 2.579 -8.019 -5.022
3366 6.174 -6.510 -3.959
3453 6.288 -6.815 -3.191
3575 6.435 -6.971 -2.484
3669 6.456 -7.087 -2.065
3761 6.448 -7.158 -1.834
3926 6.473 -7.195 -1.584
4088 6.558 -7.174 -1.303
4180 6.594 -7.157 -1.212
4320 6.642 -7.126 -1.128
4454 6.659 -7.123 -1.048
4576 6.637 -7.147 -1.020
4658 6.661 -7.127 -1.000
4792 6.676 -7.118 -0.969
4918 6.683 -7.115 -0.934
5004 6.690 -7.112 -0.913
5086 6.694 -7.110 -0.904
5192 6.700 -7.106 -0.887
5296 6.707 -7.102 -0.864
5415 6.712 -7.099 -0.844
5512 6.716 -7.097 -0.831
5615 6.723 -7.093 -0.812
5696 6.728 -7.090 -0.803
5851 6.732 -7.088 -0.789
5946 6.734 -7.086 -0.777
6236 6.735 -7.086 -0.773
6330 6.738 -7.084 -0.762
6482 6.738 -7.085 -0.758
6573 6.739 -7.084 -0.754
6658 6.742 -7.083 -0.743
6797 6.744 -7.082 -0.735
6945 6.748 -7.079 -0.731
7095 6.749 -7.078 -0.725
7184 6.751 -7.077 -0.720
7301 6.753 -7.075 -0.716
7392 6.754 -7.075 -0.711
7482 6.754 -7.075 -0.708
7605 6.756 -7.074 -0.703
7690 6.756 -7.074 -0.694
7800 6.724 -7.094 -0.793
7892 6.724 -7.094 -0.797
7982 6.728 -7.091 -0.792
8067 6.729 -7.090 -0.789
8161 6.728 -7.091 -0.788
8283 6.728 -7.091 -0.786
8530 6.730 -7.090 -0.780
8669 6.732 -7.089 -0.776
8754 6.735 -7.087 -0.769
9214 6.736 -7.086 -0.767
9305 6.739 -7.084 -0.762
9386 6.740 -7.083 -0.760
9563 6.743 -7.080 -0.750
