START_TIME=1432224546939
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=5
COLS=+TIME aX aY aZ
====================
453 0.328 -0.307 0.100
600 6.218 4.362 -7.719
690 4.048 2.971 -6.273
770 3.412 2.812 -5.381
871 2.600 2.234 -4.462
967 2.573 2.047 -3.501
1055 2.155 1.150 -3.273
1178 0.682 0.996 -2.399
1262 -1.726 -2.966 1.235
1362 -1.507 -3.315 1.221
1453 -3.819 -7.056 3.989
1533 -3.671 -6.802 3.853
1643 -6.019 1.676 0.004
1754 -0.236 -0.608 4.512
1894 -3.633 -1.689 -3.190
1975 0.141 -0.387 8.642
2069 2.001 -2.484 -2.080
2160 2.314 0.106 -1.377
2279 -1.659 -3.022 2.711
2399 -2.946 -1.464 1.848
2488 -0.727 -0.351 2.274
2609 -0.359 -0.185 2.953
2709 0.806 1.620 2.076
2829 0.470 1.075 0.709
2948 0.922 1.005 0.635
3058 1.037 0.833 0.804
3192 0.418 0.642 0.221
3302 0.256 0.614 0.086
3448 -0.007 0.354 -0.023
3558 -0.025 0.251 -0.015
3642 -0.090 0.273 -0.109
3737 -0.034 0.176 -0.052
3828 -0.026 0.200 -0.048
3917 -0.014 0.098 -0.042
4008 -0.020 0.091 -0.045
4117 0.031 0.124 0.024
4217 0.032 0.081 0.031
4327 0.056 0.087 0.065
4448 0.050 0.069 0.061
4547 -0.007 0.044 -0.005
4637 0.029 0.038 0.034
4803 0.080 0.009 0.089
4893 0.069 0.030 0.078
5002 0.083 0.079 0.092
5082 0.008 0.026 0.010
5163 0.055 0.016 0.059
5304 0.029 0.021 0.031
5413 0.043 0.049 0.046
5527 -0.010 0.038 -0.009
5609 0.005 0.036 0.005
5707 0.010 0.094 0.011
5787 0.020 -0.003 0.017
5868 0.015 0.020 0.012
5992 -0.002 0.091 -0.001
6074 0.022 -0.009 0.019
6169 -0.021 0.040 -0.019
6253 -0.017 0.011 -0.017
6387 -0.001 -0.008 -0.002
6467 0.029 0.006 0.026
6557 0.055 0.024 0.050
6637 0.036 0.039 0.034
6717 0.030 0.011 0.028
6807 0.094 0.041 0.085
6918 0.047 0.006 0.042
7038 0.011 0.022 0.010
7167 0.030 0.044 0.027
7274 0.019 0.041 0.017
7368 0.059 0.003 0.051
7488 0.062 0.022 0.054
7620 0.022 0.051 0.020
7703 -0.013 0.014 -0.011
7797 -0.008 0.000 -0.007
7878 -0.008 0.030 -0.007
7958 -0.029 -0.038 -0.028
8089 -0.030 0.004 -0.027
8181 -0.015 -0.015 -0.015
8319 -0.077 0.024 -0.068
8399 -0.030 -0.013 -0.027
8479 -0.023 0.007 -0.021
8569 0.013 0.009 0.011
8671 0.024 0.011 0.019
8799 -0.006 -0.014 -0.007
8900 0.070 0.007 0.056
9019 -0.043 0.029 -0.039
9179 0.007 0.039 -0.001
9362 -0.044 0.025 -0.042
9443 -0.038 -0.004 -0.036
9523 -0.034 -0.006 -0.032
