START_TIME=1431762578772
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=8
COLS=+TIME rX rY rZ
====================
280 0.661 0.141 0.005
384 0.011 -0.080 -1.118
525 0.754 0.224 -0.072
617 -0.454 -0.082 -0.005
731 -0.786 -0.126 -0.133
821 -1.069 -0.655 -0.947
911 -0.265 0.751 -1.422
1011 0.750 5.800 0.473
1102 0.362 2.906 0.509
1223 0.159 2.834 0.537
1311 0.060 2.769 0.539
1392 -0.064 2.647 0.530
1487 -0.141 2.604 0.518
1582 -0.198 2.577 0.462
1699 -2.620 -3.081 5.467
1811 -8.629 -3.764 6.447
1916 1.229 -13.253 9.961
2032 -2.407 -28.548 -2.516
2156 -7.241 11.671 -1.180
2246 -3.703 8.071 0.492
2368 0.221 0.262 -0.000
2484 0.024 -0.071 -0.008
2573 0.021 -0.023 0.006
2673 -0.002 -0.003 0.010
2771 0.014 0.003 0.002
2908 -0.003 -0.018 0.001
3002 0.019 -0.040 -0.000
3179 0.009 0.021 -0.001
3286 0.015 -0.030 0.001
3413 0.006 -0.023 -0.012
3523 -0.024 0.010 -0.012
3644 0.021 0.008 -0.006
3751 0.010 -0.009 0.002
3866 -0.014 -0.005 0.003
3951 0.000 0.007 -0.006
4077 0.011 -0.012 0.003
4190 0.006 0.007 0.002
4291 -0.006 0.009 0.002
4442 0.003 0.018 -0.006
4527 0.005 -0.009 -0.001
4617 0.004 -0.005 0.003
4874 0.015 0.013 -0.003
5015 0.005 -0.029 0.003
5110 0.004 -0.004 -0.005
5198 0.008 0.004 -0.000
5293 0.008 -0.005 -0.012
5379 0.014 -0.012 0.002
5463 0.009 -0.008 0.006
5548 0.005 -0.010 -0.012
5643 0.002 -0.012 0.002
5806 0.009 -0.012 0.002
5933 0.010 -0.007 -0.004
6149 0.014 -0.004 -0.000
6290 0.004 -0.016 0.001
6392 0.005 -0.019 0.002
6518 0.010 -0.009 -0.003
6622 0.005 0.008 -0.005
6716 0.015 0.008 -0.001
6826 0.002 -0.001 -0.001
6937 -0.018 0.013 -0.000
7022 0.003 0.002 0.005
7125 0.014 -0.003 -0.004
7232 0.000 0.006 0.003
7315 0.014 0.014 -0.000
7424 0.009 -0.003 0.001
7504 0.005 -0.005 0.005
7593 0.000 0.007 -0.001
7720 0.002 0.001 0.002
7803 0.008 0.001 -0.004
7918 -0.001 -0.009 -0.005
8103 0.005 -0.005 -0.004
8254 0.004 -0.003 0.006
8377 0.010 -0.005 0.001
8495 0.006 -0.003 0.007
8595 0.003 -0.003 0.001
8716 0.005 0.003 -0.001
8826 0.005 -0.010 -0.003
8913 0.004 0.007 -0.001
9003 0.003 -0.002 0.002
9160 0.014 -0.009 -0.012
9260 -0.005 -0.007 0.001
