START_TIME=1431762578772
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=8
COLS=+TIME aX aY aZ
====================
277 1.802 3.847 1.045
373 1.724 3.607 0.745
515 0.899 2.343 0.362
595 0.360 1.922 0.211
691 -0.198 0.627 -0.038
801 0.622 0.741 -0.069
906 1.540 -0.051 8.281
1006 6.247 -2.884 1.933
1091 2.716 -0.881 -11.772
1171 3.607 -0.973 -9.504
1257 4.889 -1.131 -7.232
1366 5.432 -1.380 -3.992
1476 5.032 -1.459 -0.866
1576 4.193 -1.594 2.374
1691 -6.212 0.903 -3.327
1771 0.300 -8.865 2.504
1851 -6.310 -8.667 -2.436
1936 -14.754 -3.502 2.471
2026 -16.323 -4.285 4.624
2106 -11.392 -6.498 4.729
2192 -1.316 0.880 3.439
2299 1.930 -1.504 6.395
2406 3.429 0.186 1.943
2531 3.294 1.321 1.090
2621 1.985 4.188 0.535
2701 1.521 3.877 -0.124
2803 -0.228 2.495 -0.166
2901 -0.247 1.896 -0.203
2991 -0.099 1.389 -0.065
3171 0.091 0.598 0.026
3272 0.151 0.225 -0.011
3406 0.054 0.138 -0.010
3516 0.018 0.104 -0.007
3631 0.005 0.087 -0.005
3711 0.048 0.067 -0.009
3791 0.026 0.017 -0.003
3891 0.032 0.061 -0.008
3971 0.051 0.037 -0.008
4055 0.035 -0.006 -0.002
4140 0.043 0.020 -0.006
4233 0.015 0.026 -0.003
4356 0.022 -0.011 -0.001
4436 -0.041 0.042 0.001
4521 -0.029 0.001 0.003
4611 0.042 0.035 -0.007
4850 0.062 0.103 -0.015
5000 0.029 0.047 -0.007
5096 0.036 -0.011 -0.003
5184 0.029 0.012 -0.004
5278 0.009 0.011 -0.002
5371 0.015 0.002 -0.002
5456 -0.003 -0.011 0.001
5541 0.004 0.006 -0.001
5636 -0.004 -0.039 0.004
5788 -0.035 -0.012 0.005
5920 0.008 -0.002 -0.001
6034 -0.023 0.011 0.001
6153 -0.060 -0.012 0.008
6265 -0.018 0.017 0.001
6386 -0.027 -0.025 0.005
6506 -0.066 -0.020 0.009
6616 -0.015 0.005 0.001
6707 0.023 0.030 -0.005
6809 0.028 -0.032 0.000
6920 -0.027 0.020 0.001
7006 0.021 -0.005 -0.002
7106 0.035 -0.017 -0.002
7219 -0.016 0.008 0.001
7312 0.052 -0.007 -0.005
7420 0.031 -0.023 -0.001
7500 -0.013 0.018 -0.000
7590 0.002 0.012 -0.001
7704 0.032 -0.007 -0.003
7785 -0.009 0.042 -0.003
7930 0.040 0.045 -0.009
8026 0.017 -0.021 0.000
8122 0.021 0.003 -0.002
8258 0.040 -0.017 -0.003
8372 -0.020 0.007 0.002
8491 0.025 -0.025 -0.000
8591 -0.000 0.025 -0.002
8702 -0.013 -0.007 0.002
8805 0.015 0.056 -0.007
8899 0.028 -0.005 -0.003
8989 0.001 0.010 -0.001
9131 0.011 -0.019 0.001
9240 0.003 -0.010 0.001
