START_TIME=1432052423119
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=6
COLS=+TIME rX rY rZ
====================
471 0.894 -1.105 -0.409
557 -0.168 0.130 0.000
685 -0.339 -0.815 0.191
783 -0.447 -1.358 -0.110
870 -0.906 -0.190 0.054
1028 1.327 -0.378 -0.063
1186 1.102 1.761 -0.040
1291 1.867 0.278 -0.143
1398 3.420 -0.734 2.586
1526 -3.184 -18.178 2.843
1690 -4.001 6.640 0.593
1776 2.083 2.924 -3.346
1911 -0.493 19.891 1.917
2043 -2.266 -2.218 1.844
2146 -2.397 -5.620 1.868
2332 -2.118 -2.246 1.725
2424 -2.443 -0.273 1.415
2591 -0.999 0.768 0.126
2705 -0.481 -0.526 0.009
2797 -0.314 0.349 0.158
2900 -0.104 0.041 0.046
3087 -0.217 -0.505 -0.055
3184 -0.144 -0.190 0.089
3408 0.084 -0.281 -0.026
3558 0.165 -0.064 -0.018
3737 -0.069 0.002 0.013
3848 0.108 -0.091 0.007
3936 0.066 -0.069 0.001
4050 -0.015 0.024 0.002
4147 0.003 0.020 -0.023
4227 0.003 0.016 0.000
4430 -0.016 -0.003 -0.001
4596 -0.089 -0.068 0.051
4700 -0.040 0.036 0.053
4837 -0.041 0.061 0.020
4922 0.060 -0.005 -0.012
5020 0.086 0.011 0.016
5312 0.048 0.031 -0.028
5499 0.054 -0.009 -0.012
5630 0.043 -0.063 -0.006
5838 -0.121 0.011 -0.021
5956 -0.047 0.160 -0.023
6089 -0.076 0.191 0.026
6172 0.070 0.097 -0.022
6261 -0.029 -0.084 -0.024
6372 -0.012 -0.089 0.006
6458 0.012 0.076 0.028
6587 0.100 0.015 -0.040
6710 0.137 0.017 -0.063
6944 0.049 -0.033 0.000
7129 -0.062 -0.023 0.001
7214 -0.078 -0.006 0.018
7637 -0.023 -0.070 0.012
7750 0.000 0.022 0.004
7851 0.055 0.025 0.005
7939 0.050 -0.007 -0.010
8030 0.039 -0.019 -0.002
8185 -0.004 -0.026 0.012
8277 -0.035 -0.008 0.013
8367 -0.052 0.004 0.005
8473 -0.035 -0.014 0.018
8570 0.003 -0.009 -0.021
8667 -0.043 -0.013 -0.009
8779 -0.013 -0.022 0.009
8881 0.012 0.000 -0.004
8995 -0.011 -0.031 -0.012
9106 -0.033 -0.018 0.006
9227 0.022 -0.014 -0.013
9320 0.017 -0.005 0.005
9420 0.012 0.014 -0.002
