START_TIME=1432226289635
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=5
COLS=+TIME rX rY rZ
====================
456 -0.140 -0.068 -0.082
617 -0.191 -0.055 -0.145
768 -0.358 -0.221 -0.127
874 0.015 -0.836 -0.042
1016 1.324 -0.809 -0.404
1107 3.100 -0.440 0.080
1255 1.163 -2.840 5.171
1388 -1.341 -3.950 -7.339
1516 -4.944 -12.860 -2.911
1672 0.027 -1.324 1.842
1972 0.398 -1.296 0.347
2173 -0.032 1.389 0.097
2266 -0.020 -0.116 -0.031
2505 -0.002 -0.095 0.004
2670 0.004 0.021 0.002
2803 -0.007 -0.079 0.002
2934 0.006 0.003 -0.005
3049 -0.004 -0.008 -0.008
3165 -0.001 -0.024 -0.013
3322 -0.010 -0.017 0.001
3413 0.001 -0.013 -0.004
3547 0.000 0.012 0.006
3694 0.000 -0.004 0.002
3838 0.010 -0.010 -0.005
3967 0.001 -0.011 -0.005
4183 0.006 -0.010 -0.003
4296 0.001 -0.005 -0.013
4389 0.006 -0.002 -0.003
4561 0.001 -0.005 -0.000
4742 0.006 -0.002 0.002
4866 -0.004 -0.008 0.001
4952 -0.001 -0.012 0.001
5150 -0.001 -0.007 0.001
5250 0.000 -0.013 0.002
5338 -0.020 -0.010 -0.003
5450 0.005 -0.008 -0.003
5560 -0.020 -0.001 0.004
5657 -0.004 -0.017 0.001
5843 -0.004 -0.012 0.003
5959 0.005 -0.011 -0.005
6087 0.011 -0.007 -0.004
6343 0.010 -0.005 -0.007
6423 0.009 -0.007 0.001
6555 0.000 -0.004 -0.003
6698 -0.002 -0.010 -0.004
6825 0.011 -0.004 0.004
6988 0.006 0.009 -0.002
7079 -0.020 0.009 -0.003
7196 0.012 0.048 0.012
7414 -0.021 0.067 0.007
7588 -0.027 0.014 -0.003
7821 0.007 0.057 0.002
7942 -0.097 0.020 0.014
8053 0.000 0.099 -0.003
8138 -0.043 -0.176 0.004
8259 -0.017 -0.041 -0.008
8343 0.033 0.005 0.001
8429 0.001 0.011 -0.005
8512 -0.032 0.056 -0.004
8646 0.013 0.176 -0.011
8809 -0.048 0.545 -0.036
9007 -0.009 -0.096 -0.035
9138 -0.100 0.207 -0.021
9241 -0.248 1.095 -0.097
9374 -0.287 0.816 -0.274
9482 -0.292 0.880 -0.116
