START_TIME=1431763285181
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=8
COLS=+TIME Gx Gy Gz
====================
393 6.456 -0.480 -7.366
517 0.585 0.365 -9.782
615 -0.037 0.503 -9.794
701 0.113 0.599 -9.788
791 0.286 1.053 -9.746
875 0.966 1.027 -9.705
965 0.989 1.074 -9.697
1062 -3.164 0.343 -9.276
1147 -5.529 -0.414 -8.089
1237 -7.268 -1.315 -6.451
1357 -8.137 -2.305 -4.965
1443 -8.363 -2.763 -4.313
1562 -7.192 5.330 -4.004
1643 8.660 -1.549 4.333
1726 -6.723 -6.785 2.222
1815 0.998 8.799 4.213
1903 7.851 5.846 0.597
1993 -0.996 3.566 -9.081
2092 2.370 7.428 -5.948
2202 -5.078 6.755 -4.976
2339 -6.929 6.723 1.722
2453 -5.149 5.432 6.337
2543 -4.116 5.175 7.242
2651 -3.863 5.230 7.342
2742 -3.750 5.258 7.379
2855 -0.681 0.887 9.743
2951 -0.398 0.522 9.785
3048 -0.214 0.195 9.802
3141 -0.120 0.010 9.806
3267 -0.048 -0.099 9.806
3357 0.006 -0.146 9.806
3487 0.044 -0.158 9.805
3577 0.084 -0.162 9.805
3662 0.103 -0.160 9.805
3777 0.131 -0.155 9.805
3867 0.145 -0.152 9.804
3964 0.165 -0.147 9.804
4063 0.191 -0.140 9.804
4173 0.206 -0.136 9.804
4273 0.218 -0.132 9.803
4353 0.231 -0.127 9.803
4433 0.242 -0.123 9.803
4523 0.255 -0.116 9.803
4613 0.267 -0.110 9.802
4693 0.274 -0.107 9.802
4803 0.281 -0.103 9.802
4893 0.288 -0.100 9.802
5023 0.296 -0.096 9.802
5103 0.300 -0.095 9.802
5199 0.306 -0.091 9.801
5293 0.309 -0.089 9.801
5382 0.314 -0.087 9.801
5478 0.318 -0.084 9.801
5558 0.321 -0.083 9.801
5662 0.325 -0.081 9.801
5783 0.213 -0.059 9.804
5882 0.135 0.004 9.806
5968 0.011 0.154 9.805
6067 -0.282 0.360 9.796
6173 -0.525 0.452 9.782
6253 -0.515 0.436 9.783
6336 -0.428 0.419 9.788
6423 -0.369 0.395 9.792
6543 -0.363 0.395 9.792
6633 -0.364 0.399 9.792
6733 -0.362 0.400 9.792
6818 -0.344 0.389 9.793
6907 -0.340 0.379 9.793
6993 -0.342 0.386 9.793
7088 -0.319 0.387 9.794
7177 -0.313 0.387 9.794
7278 -0.309 0.388 9.794
7374 -0.306 0.388 9.794
7458 -0.304 0.389 9.794
7547 -0.299 0.390 9.794
7648 -0.297 0.391 9.794
7747 -0.296 0.392 9.794
7843 -0.291 0.392 9.794
7967 -0.289 0.393 9.795
8063 -0.287 0.394 9.795
8182 -0.286 0.396 9.794
8313 -0.283 0.395 9.795
8404 -0.281 0.396 9.795
8499 -0.278 0.389 9.795
8583 -0.277 0.364 9.796
8683 -0.289 0.286 9.798
8790 -0.288 0.237 9.800
8900 -0.286 0.219 9.800
8989 -0.284 0.199 9.801
9078 -0.283 0.170 9.801
9198 -0.282 0.161 9.801
9287 -0.281 0.158 9.801
9388 -0.279 0.168 9.801
