START_TIME=1431763478693
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=11
COLS=+TIME rX rY rZ
====================
359 0.867 -0.371 1.256
460 1.546 -1.600 1.767
540 0.372 0.602 1.532
667 -0.674 -0.757 0.865
753 2.309 -4.090 1.105
846 2.607 -1.475 1.595
930 1.257 -0.420 2.117
1020 -0.721 0.031 0.896
1175 -0.445 0.877 -1.613
1255 1.956 2.024 -3.274
1348 2.413 -0.775 -1.274
1435 -0.134 -2.715 2.326
1585 -0.069 -2.421 2.472
1735 2.402 0.345 1.834
1850 0.497 0.114 -1.520
1930 -0.735 -3.826 -6.930
2055 -0.114 -2.590 0.996
2135 1.516 -0.403 -0.707
2221 3.140 2.716 0.025
2315 1.842 0.936 -0.873
2399 1.716 0.101 -1.004
2526 0.723 1.382 -1.470
2610 -1.543 1.382 -0.128
2750 0.167 4.728 -0.107
2830 -0.871 1.430 0.069
2920 -1.271 0.695 0.237
3000 -0.632 -0.547 -0.030
3121 -0.454 0.992 -0.039
3210 -0.926 0.026 -0.083
3315 -0.851 -0.136 -0.327
3410 -0.267 0.654 -0.555
3491 0.568 2.099 -0.711
3573 1.765 0.604 -1.323
3700 1.654 0.780 -0.449
3785 2.530 -1.523 -0.546
3881 5.527 -1.975 -2.104
3986 0.499 -7.112 -4.320
4080 -0.460 7.542 -0.024
4201 0.240 -2.893 -5.353
4295 0.086 6.464 -0.941
4381 2.221 0.251 1.497
4481 3.041 -1.942 -0.839
4574 2.151 -1.151 -0.537
4676 0.554 0.359 -0.763
4785 0.303 0.268 -0.311
4895 -0.116 -0.018 -0.358
5006 -0.201 0.120 -0.098
5101 -0.562 0.039 -0.006
5201 -0.770 0.265 -0.126
5290 -0.805 0.090 0.146
5375 -0.752 1.026 -0.186
5480 -0.612 2.086 0.764
5590 0.311 1.189 -0.274
5710 0.178 0.051 0.000
5860 0.111 0.293 0.007
5961 -0.066 0.028 0.012
6046 -0.137 -0.063 -0.117
6136 -0.083 -0.071 -0.068
6236 -0.014 -0.011 -0.030
6340 -0.055 -0.035 -0.010
6426 -0.033 -0.061 -0.007
6590 -0.185 -0.008 0.020
6716 -0.080 -0.066 -0.012
6850 -0.006 -0.034 -0.022
6951 0.017 -0.023 -0.033
7081 -0.003 -0.026 -0.029
7186 -0.005 -0.011 -0.022
7276 0.005 -0.021 -0.019
7375 0.018 -0.041 -0.017
7534 -0.008 -0.021 -0.001
7631 -0.003 -0.027 0.000
7721 -0.011 -0.006 0.005
7811 -0.010 0.005 0.000
7911 0.007 0.005 0.003
8006 -0.009 -0.019 0.005
8111 -0.004 -0.019 0.000
8221 -0.006 -0.001 -0.004
8314 0.014 -0.008 -0.013
8406 -0.002 -0.004 0.001
8487 -0.014 0.005 0.000
8596 -0.010 0.006 -0.013
8676 -0.003 0.017 0.009
8756 -0.011 -0.032 0.007
8880 -0.010 -0.010 0.000
8961 -0.006 0.001 -0.002
9066 0.033 -0.015 -0.066
9176 -0.004 -0.043 -0.015
9291 -0.000 0.026 -0.041
