START_TIME=1432052331206
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=6
COLS=+TIME rX rY rZ
====================
330 0.114 -0.987 -0.076
468 -0.116 -1.292 0.017
631 -0.170 0.174 -0.038
743 0.131 -0.673 -0.508
828 -0.145 0.244 -0.371
930 -0.620 0.030 -0.009
1026 -0.908 -0.871 0.011
1117 2.643 -2.899 -0.476
1214 6.284 0.818 -2.713
1324 0.007 1.223 -1.769
1415 -2.018 3.552 -2.219
1509 -2.506 3.818 -1.741
1594 -2.793 5.345 -0.272
1720 -4.715 4.658 -3.950
2025 4.949 -3.803 -1.411
2120 1.911 -11.617 -2.214
2204 0.280 -1.844 1.917
2304 0.495 -1.935 2.378
2395 0.497 -1.917 0.365
2489 0.893 -8.260 0.238
2625 0.951 -1.099 -0.639
2814 -1.033 -2.365 1.341
2925 -0.746 1.679 1.240
3143 -0.363 -0.209 0.799
3455 0.163 0.537 -0.206
3548 0.164 0.417 -0.200
3689 0.121 0.358 -0.265
3773 0.050 0.220 -0.206
3895 -0.013 0.149 -0.088
4029 -0.004 0.008 -0.050
4149 0.038 -0.097 -0.050
4241 -0.008 -0.080 0.011
4340 -0.043 -0.057 0.023
4473 -0.027 -0.080 -0.038
4588 -0.023 -0.048 -0.068
4766 0.006 0.026 -0.028
4944 0.016 -0.011 -0.016
5044 -0.011 -0.030 -0.015
5179 0.026 -0.014 -0.015
5259 0.015 -0.020 -0.004
5404 -0.010 -0.016 -0.007
5493 0.007 0.014 -0.021
5583 0.011 0.025 -0.038
5679 0.012 0.022 -0.023
5793 -0.004 0.032 -0.012
5884 -0.029 0.033 -0.011
5964 -0.013 0.004 -0.026
6068 0.015 0.013 -0.020
6254 0.007 0.016 -0.043
6359 0.017 -0.022 -0.049
6473 0.003 -0.030 -0.039
6603 0.020 -0.005 -0.037
6719 0.006 -0.035 0.013
6847 0.007 -0.018 -0.032
6988 -0.040 -0.028 -0.007
7079 0.032 0.011 0.000
7165 0.038 -0.002 -0.007
7344 -0.002 0.042 0.009
7474 0.034 -0.013 -0.033
7554 0.048 0.008 -0.062
7649 0.009 0.002 -0.012
7730 -0.001 0.003 -0.012
7810 -0.011 -0.016 -0.023
7899 -0.007 -0.023 -0.022
7989 0.006 -0.028 0.004
8085 -0.012 0.002 0.000
8185 0.026 0.038 -0.016
8296 -0.008 -0.006 -0.001
8394 0.032 0.024 -0.020
8474 0.017 -0.012 -0.012
8604 0.027 0.003 0.016
8696 -0.002 -0.022 0.004
8803 0.011 -0.024 -0.017
8949 0.011 0.011 -0.040
9084 0.016 0.049 -0.062
9284 0.022 0.091 -0.017
9494 -0.012 -0.031 -0.015
