START_TIME=1432052484765
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=6
COLS=+TIME rX rY rZ
====================
533 -0.150 0.134 0.152
621 -0.266 0.237 0.112
797 -0.377 -0.209 0.127
919 -0.391 -0.113 0.359
1001 -0.448 0.024 0.222
1121 3.686 -0.472 -1.109
1203 3.516 -2.268 -1.227
1335 -0.495 3.338 0.386
1446 1.669 -1.648 -1.086
1553 -3.085 4.986 -3.736
1648 -6.486 1.971 2.381
1751 -9.033 0.749 1.087
1847 -6.299 -0.887 -0.746
1988 -1.121 3.072 -2.815
2195 1.044 0.006 2.086
2331 -0.817 -3.717 1.472
2502 -1.270 -3.131 0.775
2582 -1.562 -1.463 -0.068
2710 -1.174 -1.873 -0.377
2825 -0.308 -0.548 0.357
3033 -0.111 -0.176 0.171
3128 -0.197 -0.020 0.109
3289 -0.122 -0.013 -0.103
3375 -0.116 -0.006 0.023
3476 -0.161 0.055 0.009
3591 -0.143 -0.007 0.021
3695 -0.150 -0.143 0.000
3881 -0.195 -0.184 -0.167
3965 -0.249 -0.150 -0.195
4098 -0.164 -0.078 -0.360
4235 -0.010 -0.046 -0.095
4361 -0.015 -0.013 -0.073
4514 -0.055 0.002 -0.044
4632 -0.106 0.048 -0.050
4755 -0.096 0.043 0.004
4838 -0.151 0.015 -0.049
4926 -0.170 -0.113 -0.056
5038 -0.060 -0.089 -0.012
5133 -0.095 -0.149 -0.002
5217 -0.275 -0.193 0.032
5370 -0.239 -0.146 -0.054
5483 -0.188 -0.317 -0.132
5712 0.114 -0.108 -0.134
5797 0.007 0.060 -0.138
6065 -0.061 0.069 -0.040
6197 -0.056 -0.052 0.002
6460 -0.012 0.027 -0.009
6583 -0.007 -0.019 -0.011
6700 0.031 -0.016 -0.052
6799 0.003 0.019 -0.022
6915 -0.033 -0.025 -0.011
7058 -0.006 -0.023 -0.024
7193 0.000 0.030 -0.018
7311 -0.015 0.005 -0.024
7420 0.020 0.005 -0.010
7605 -0.010 0.015 0.004
7688 -0.002 -0.024 -0.002
7829 0.009 0.015 -0.011
7968 -0.002 -0.002 -0.001
8080 -0.006 -0.002 -0.012
8234 0.003 -0.005 -0.009
8398 -0.001 -0.002 0.002
8500 0.006 -0.003 -0.004
8580 0.006 0.002 -0.009
8696 -0.001 0.002 -0.010
8911 0.000 -0.013 -0.004
9030 0.001 0.003 -0.004
9113 0.005 -0.002 0.000
9232 -0.001 -0.020 0.000
9320 0.000 0.005 -0.009
9442 0.001 -0.011 -0.004
