START_TIME=1432226527764
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=8
COLS=+TIME Gx Gy Gz
====================
349 -7.004 5.841 3.605
432 -1.149 0.970 9.691
516 -1.155 1.153 9.670
601 -1.191 1.375 9.637
688 -1.111 1.601 9.611
775 -1.101 1.676 9.600
901 -1.876 1.964 9.423
1002 -2.308 3.287 8.946
1118 -2.110 5.007 8.164
1272 -0.634 7.828 5.873
1359 -1.084 6.666 7.110
1533 -1.995 4.839 8.293
1628 0.147 -5.901 7.831
1723 -2.047 0.352 9.584
1838 0.093 0.220 9.804
1923 -0.607 0.023 9.788
2020 -0.644 0.028 9.785
2128 -0.644 0.028 9.785
2226 -0.243 -0.177 9.802
2333 -0.174 -0.308 9.800
2443 -0.140 -0.382 9.798
2528 -0.127 -0.408 9.797
2676 -0.091 -0.452 9.796
2779 -0.069 -0.468 9.795
2891 -0.052 -0.474 9.795
2989 -0.042 -0.478 9.795
3099 -0.033 -0.479 9.795
3201 -0.025 -0.478 9.795
3313 -0.016 -0.475 9.795
3422 -0.010 -0.471 9.795
3518 -0.002 -0.466 9.796
3613 0.002 -0.462 9.796
3704 0.004 -0.459 9.796
3833 0.007 -0.457 9.796
3943 0.011 -0.452 9.796
4079 0.012 -0.452 9.796
4193 0.013 -0.450 9.796
4327 0.015 -0.446 9.796
4413 0.016 -0.442 9.797
4497 0.018 -0.441 9.797
4660 0.020 -0.439 9.797
4758 0.022 -0.435 9.797
4851 0.024 -0.433 9.797
4972 0.025 -0.430 9.797
5053 0.025 -0.428 9.797
5159 0.026 -0.425 9.797
5273 0.027 -0.424 9.797
5364 0.027 -0.423 9.797
5494 0.029 -0.421 9.798
5612 0.030 -0.419 9.798
5699 0.031 -0.416 9.798
5793 0.033 -0.414 9.798
5878 0.033 -0.413 9.798
5984 0.034 -0.412 9.798
6069 0.034 -0.409 9.798
6170 0.035 -0.408 9.798
6292 0.035 -0.407 9.798
6387 0.036 -0.405 9.798
6467 0.036 -0.403 9.798
6551 0.037 -0.402 9.798
6761 0.037 -0.401 9.798
6888 0.038 -0.401 9.798
6977 0.039 -0.400 9.798
7109 0.039 -0.399 9.798
7258 0.040 -0.398 9.798
7398 0.040 -0.397 9.799
7499 0.041 -0.394 9.799
7586 0.041 -0.392 9.799
7693 0.042 -0.391 9.799
7790 0.042 -0.390 9.799
7880 0.042 -0.389 9.799
7982 0.042 -0.388 9.799
8103 0.042 -0.388 9.799
8205 0.042 -0.387 9.799
8318 0.042 -0.386 9.799
8399 0.042 -0.386 9.799
8538 0.042 -0.385 9.799
8643 0.043 -0.385 9.799
8724 0.043 -0.384 9.799
8833 0.043 -0.383 9.799
8959 0.044 -0.382 9.799
9069 0.044 -0.382 9.799
9199 0.044 -0.381 9.799
9296 0.044 -0.380 9.799
9376 0.044 -0.380 9.799
9465 0.044 -0.379 9.799
9548 0.045 -0.379 9.799
