START_TIME=1432226527764
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=8
COLS=+TIME rX rY rZ
====================
403 0.089 0.025 0.017
512 0.174 -0.076 -0.121
596 -0.016 -0.071 -0.008
683 -0.021 -0.043 0.059
772 -0.102 -0.011 -0.213
897 1.262 1.322 -0.665
997 2.013 -0.131 -0.462
1078 2.868 0.054 0.382
1168 2.816 -0.828 1.046
1268 -1.675 0.131 0.062
1354 -1.949 1.536 0.751
1527 -2.096 1.466 -0.701
1623 0.264 -19.521 0.314
1718 0.121 -0.621 0.536
1798 -0.987 3.676 -0.437
1880 0.047 0.109 0.011
1994 0.007 -0.007 0.003
2084 0.011 0.020 -0.005
2194 -0.005 -0.006 0.005
2277 -0.004 -0.001 -0.001
2383 -0.013 0.020 0.000
2522 0.012 -0.002 0.003
2672 -0.003 -0.001 -0.012
2777 0.003 0.006 0.003
2872 -0.002 0.000 -0.007
2986 -0.016 -0.002 -0.001
3096 0.003 0.003 0.000
3176 -0.004 -0.002 0.003
3271 -0.009 -0.005 -0.004
3386 -0.010 0.001 -0.001
3471 0.009 0.001 0.006
3552 -0.005 -0.006 0.006
3678 -0.009 -0.001 -0.001
3767 0.002 0.001 -0.001
3887 0.003 -0.006 0.009
4073 0.006 0.020 -0.002
4188 -0.006 -0.007 -0.002
4321 0.009 -0.010 -0.002
4408 -0.003 0.020 -0.012
4493 0.003 -0.007 -0.001
4623 -0.016 -0.008 -0.004
4723 -0.000 0.003 0.000
4847 -0.002 -0.005 0.012
4968 -0.002 -0.006 -0.012
5049 -0.002 -0.006 -0.004
5153 0.018 -0.010 -0.012
5268 0.009 0.001 0.003
5355 -0.017 0.003 0.010
5488 0.001 -0.007 0.001
5586 -0.030 0.007 -0.007
5682 -0.002 0.001 -0.006
5772 -0.016 -0.002 -0.001
5876 0.006 -0.001 -0.005
5982 0.005 0.001 0.005
6067 -0.016 -0.005 0.000
6162 -0.000 0.000 -0.002
6244 0.001 -0.002 0.001
6351 0.008 -0.006 0.004
6449 0.002 -0.004 0.003
6549 0.017 0.005 0.005
6744 -0.002 -0.002 -0.002
6830 -0.003 -0.001 0.005
6912 0.002 0.020 0.001
6999 -0.002 0.000 -0.004
7107 -0.005 -0.012 0.005
7256 0.002 -0.005 0.001
7388 0.009 -0.008 0.003
7477 0.005 0.003 -0.002
7583 0.005 -0.005 0.004
7691 -0.008 0.000 0.000
7788 0.012 0.020 0.000
7877 0.001 -0.006 0.000
7978 -0.000 0.011 -0.001
8098 -0.005 0.001 -0.012
8178 -0.000 0.003 0.007
8313 -0.000 -0.004 -0.012
8393 0.002 -0.005 -0.007
8527 0.006 -0.004 0.003
8640 0.014 0.001 -0.012
8722 -0.005 -0.006 0.000
8817 -0.013 0.003 0.009
8956 0.010 0.019 0.004
9066 0.010 -0.002 -0.003
9166 0.004 0.019 0.003
9293 0.000 -0.004 0.009
9373 0.015 -0.004 0.006
9462 -0.016 -0.003 0.009
9543 -0.006 0.019 0.010
