START_TIME=1431762870207
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=8
COLS=+TIME Gx Gy Gz
====================
336 6.570 -6.898 2.330
462 -0.010 -1.367 -9.711
592 -0.367 -0.618 -9.780
709 -0.674 -0.230 -9.781
868 -1.048 0.492 -9.738
994 -0.131 -0.791 -9.774
1097 2.049 -4.008 -8.712
1186 0.208 -5.483 -8.128
1277 -1.309 -6.755 -6.987
1357 -1.716 -7.136 -6.504
1477 -2.725 -8.694 -3.627
1575 -2.404 -9.279 -2.071
1664 -1.475 -9.681 0.527
1760 0.366 -9.543 2.230
1856 -1.795 -8.210 -5.055
1981 -4.448 4.482 -7.503
2134 -6.650 7.191 -0.487
2232 1.323 6.950 6.791
2312 7.312 6.223 1.995
2398 6.607 -4.092 -5.981
2479 -8.164 -2.717 4.705
2570 -4.333 6.533 5.892
2656 4.824 3.758 -7.667
2786 4.656 3.054 8.072
2878 -1.005 9.320 2.880
2978 0.609 9.713 1.208
3061 -0.380 9.799 -0.112
3181 -0.491 9.770 -0.684
3266 -0.487 9.771 -0.685
3349 -0.487 9.771 -0.685
3445 -0.487 9.771 -0.685
3531 -0.487 9.771 -0.685
3642 5.113 7.706 -3.262
3747 2.896 3.678 -8.617
3862 2.102 2.175 -9.328
3976 1.626 1.486 -9.556
4066 1.328 1.112 -9.652
4186 1.125 0.878 -9.702
4287 0.982 0.722 -9.731
4381 0.874 0.618 -9.748
4475 0.818 0.562 -9.756
4558 0.770 0.516 -9.763
4651 0.728 0.481 -9.768
4775 0.690 0.447 -9.772
4884 0.644 0.408 -9.777
4994 0.616 0.385 -9.780
5090 0.570 0.350 -9.784
5201 0.542 0.328 -9.786
5299 0.524 0.315 -9.788
5438 0.497 0.290 -9.790
5521 0.480 0.273 -9.791
5626 0.469 0.263 -9.792
5729 0.454 0.251 -9.793
5826 0.446 0.244 -9.793
5920 0.433 0.232 -9.794
6031 0.427 0.224 -9.795
6163 0.420 0.217 -9.795
6244 0.414 0.211 -9.796
6349 0.405 0.199 -9.796
6433 0.394 0.186 -9.797
6594 0.384 0.185 -9.797
6690 0.378 0.174 -9.798
6800 0.373 0.167 -9.798
7001 0.367 0.159 -9.798
7094 0.365 0.156 -9.799
7249 0.364 0.154 -9.799
7435 0.362 0.152 -9.799
7792 0.359 0.147 -9.799
7920 0.353 0.137 -9.799
8035 0.350 0.130 -9.800
8173 0.348 0.125 -9.800
8261 0.344 0.118 -9.800
8341 0.340 0.111 -9.800
8448 0.338 0.107 -9.800
8550 0.335 0.103 -9.800
8660 0.332 0.097 -9.801
8765 0.330 0.092 -9.801
8957 0.326 0.086 -9.801
9075 0.322 0.078 -9.801
9170 0.320 0.074 -9.801
9301 0.315 0.067 -9.801
