START_TIME=1431762725856
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=8
COLS=+TIME aX aY aZ
====================
455 -0.214 0.155 0.010
620 -0.272 -0.075 -0.005
711 0.374 -0.013 -0.010
802 0.039 -0.203 0.001
891 -0.274 -0.206 0.007
986 0.387 -0.169 -0.013
1086 0.744 1.193 -0.076
1246 -0.899 2.515 8.847
1333 -9.134 -4.191 7.434
1423 -0.596 -3.407 -10.502
1514 -3.530 -4.728 -6.197
1646 -4.094 -5.491 -1.127
1763 1.420 -4.982 3.631
1853 8.263 -2.322 2.587
1933 7.410 2.134 -3.620
2030 4.608 4.558 -5.821
2113 9.445 0.295 14.010
2215 5.028 3.690 3.675
2303 0.880 8.040 -1.299
2390 -5.528 23.138 10.119
2478 -2.530 10.346 0.615
2587 -0.798 8.516 2.228
2682 -0.249 6.371 0.516
2831 -0.642 4.783 -0.931
2952 0.770 -7.594 4.385
3063 1.188 -9.753 2.745
3148 0.807 -8.615 0.995
3238 0.736 -6.813 0.324
3340 0.573 -4.205 -0.448
3455 0.298 -1.624 -0.990
3578 0.141 -0.679 -0.588
3677 0.096 -0.438 -0.412
3777 0.079 -0.321 -0.322
3895 0.040 -0.208 -0.206
3985 0.044 -0.175 -0.183
4075 0.048 -0.148 -0.163
4214 0.028 -0.116 -0.123
4310 0.035 -0.090 -0.101
4431 0.017 -0.081 -0.089
4527 0.009 -0.099 -0.109
4611 0.031 -0.074 -0.089
4732 0.013 -0.040 -0.045
4911 0.012 -0.026 -0.030
4999 0.037 -0.010 -0.021
5094 0.029 -0.012 -0.020
5192 0.004 0.012 0.015
5297 0.043 0.005 -0.006
5410 -0.001 -0.029 -0.031
5524 -0.011 -0.021 -0.019
5669 -0.020 -0.021 -0.016
5769 -0.009 -0.043 -0.046
5884 0.020 -0.004 -0.010
5981 0.045 -0.009 -0.024
6065 0.019 -0.006 -0.012
6195 0.017 -0.016 -0.023
6285 0.026 0.009 0.002
6375 -0.007 -0.023 -0.024
6487 0.030 -0.018 -0.030
6602 0.009 -0.005 -0.009
6692 -0.006 -0.028 -0.030
6781 0.021 0.002 -0.004
6871 -0.016 -0.016 -0.013
7001 0.039 0.002 -0.010
7096 -0.007 -0.012 -0.011
7192 0.027 0.040 0.038
7282 -0.003 -0.001 0.000
7391 -0.013 0.016 0.023
7531 0.022 0.011 0.006
7740 -0.026 -0.030 -0.026
7940 0.019 -0.003 -0.009
8043 -0.035 -0.026 -0.018
8310 -0.021 -0.061 -0.063
8409 0.002 -0.014 -0.017
8501 0.000 0.010 0.012
8606 0.011 0.008 0.007
8691 -0.027 -0.043 -0.041
8786 -0.005 0.019 0.024
8871 0.025 0.006 -0.001
8951 0.042 -0.014 -0.029
9040 -0.002 0.008 0.011
9145 0.018 -0.026 -0.036
9234 0.006 -0.006 -0.009
9353 0.003 -0.020 -0.024
9457 0.008 -0.017 -0.022
