START_TIME=1432225219873
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=4
COLS=+TIME aX aY aZ
====================
506 -2.982 -5.742 5.727
588 3.359 0.356 -3.416
741 2.576 0.129 -2.704
822 2.815 0.411 -2.773
962 2.558 -0.520 -2.660
1059 1.445 0.128 -2.339
1272 0.374 -0.506 -3.940
1361 -0.874 -1.996 -2.391
1487 -1.645 -1.367 -1.363
1577 -3.143 -1.772 -4.915
1762 5.636 7.778 1.076
1853 7.037 16.427 15.824
2097 12.587 24.549 20.844
2182 -4.743 8.486 11.684
2494 -6.751 8.473 4.292
2577 -0.927 -10.151 -2.914
2707 -0.676 -1.977 0.029
2825 -0.573 1.265 -2.695
2916 0.113 2.171 -1.607
2998 0.301 1.408 -1.806
3100 1.068 0.939 -2.332
3323 3.106 1.380 -1.302
3441 3.153 2.609 0.322
3527 1.967 2.865 0.834
3639 1.580 1.512 0.357
3739 1.485 1.259 0.341
3822 0.616 0.320 0.039
3902 0.307 0.346 -0.026
3992 0.045 0.274 -0.045
4116 -0.018 0.166 -0.024
4226 -0.094 -0.111 -0.047
4312 -0.018 -0.007 -0.009
4399 0.023 0.006 -0.058
4543 -0.039 0.177 -0.081
4678 -0.161 -0.033 0.071
4769 -0.490 -0.138 0.377
4872 -3.334 -2.198 2.265
4958 -4.836 -10.133 -2.228
5053 -0.704 -11.709 -4.751
5143 -0.074 -9.151 -3.740
5264 0.176 -6.190 -2.907
5352 0.565 -3.969 -2.117
5442 0.702 -0.846 -1.009
5593 0.382 -0.128 -0.120
5692 0.071 0.116 -0.052
5773 -0.011 0.151 0.007
5857 -0.042 0.116 -0.093
6047 -0.043 0.071 -0.159
6167 -0.030 0.177 -0.102
6293 -0.051 0.101 -0.120
6398 -0.069 0.085 -0.092
6485 -0.041 0.090 0.009
6588 -0.077 0.078 -0.022
6684 -0.021 -0.009 -0.021
6815 -0.029 0.007 -0.058
6918 -0.024 0.013 0.010
7027 -0.005 0.020 -0.048
7112 -0.048 0.033 -0.040
7231 0.049 0.002 0.000
7328 -0.017 0.002 -0.027
7462 0.021 0.039 0.051
7563 -0.008 0.130 -0.012
7717 0.022 0.031 -0.125
7912 0.036 -0.064 0.039
8017 -0.003 0.081 0.022
8115 0.005 0.021 -0.052
8195 -0.040 -0.009 -0.022
8371 0.004 0.071 0.023
8461 -0.026 0.049 0.065
8548 0.004 -0.014 -0.001
8722 -0.013 0.012 -0.059
8817 0.008 0.035 0.013
8926 0.019 0.000 -0.009
9127 -0.044 0.010 0.004
9231 -0.013 -0.003 -0.028
9327 0.007 0.038 -0.014
9414 -0.012 0.083 0.022
9602 0.026 -0.039 -0.054
