START_TIME=1431763444717
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=11
COLS=+TIME aX aY aZ
====================
425 -1.429 -2.330 0.541
528 7.603 -0.580 2.984
622 9.905 -1.802 8.514
741 9.368 -17.552 5.176
831 2.074 -7.314 -3.993
916 -3.123 5.100 -7.364
1001 -13.997 6.248 -3.409
1086 -13.643 -5.682 0.369
1177 0.457 -5.333 -0.613
1258 14.493 -7.561 20.964
1369 -1.873 9.400 6.480
1477 -3.815 13.217 -2.631
1581 -2.604 13.484 -6.726
1669 -2.860 12.201 -3.769
1769 -0.102 8.415 -18.347
1879 -1.584 4.093 -8.360
1962 -0.510 1.865 -4.437
2047 -0.586 1.749 -3.790
2167 4.202 -2.682 7.572
2247 4.156 -4.523 8.160
2373 3.502 -4.030 6.657
2478 2.971 -3.524 5.464
2582 1.882 -2.432 3.220
2676 1.052 -1.569 1.520
2795 0.483 -0.956 0.376
2880 0.309 -0.350 0.050
2996 0.230 -0.242 0.026
3097 0.190 -0.109 0.018
3187 0.111 -0.106 0.011
3281 0.091 -0.081 0.008
3367 0.050 -0.074 0.005
3453 0.077 -0.090 0.005
3564 0.018 -0.061 0.003
3675 0.057 -0.041 0.003
3767 0.013 0.023 0.001
3857 0.043 -0.028 0.002
3977 0.006 -0.003 0.001
4112 0.022 -0.004 0.001
4202 0.012 -0.044 0.001
4291 -0.006 -0.020 -0.000
4372 -0.009 -0.016 -0.000
4452 0.025 0.023 0.001
4542 -0.014 -0.008 -0.000
4642 0.003 0.008 0.000
4737 0.068 -0.182 0.005
4817 0.126 0.113 0.006
4897 -0.001 0.004 -0.000
4986 0.025 0.004 0.001
5122 0.021 -0.011 0.001
5221 0.000 0.047 -0.000
5339 0.053 -0.003 0.002
5459 -0.039 -0.005 -0.002
5578 -0.046 0.012 -0.002
5662 -0.050 -0.019 -0.002
5757 0.009 -0.018 0.000
5887 0.013 0.021 0.000
5976 -0.010 0.020 -0.000
6074 0.035 -0.020 0.001
6172 0.033 -0.033 0.001
6277 0.004 -0.009 0.000
6361 -0.007 -0.083 0.000
6455 0.016 -0.004 0.001
6568 -0.005 0.002 -0.000
6693 0.010 0.024 0.000
6781 0.015 -0.014 0.001
6862 -0.019 0.022 -0.001
6952 0.028 0.042 0.001
7032 -0.011 0.008 -0.000
7133 0.026 -0.011 0.001
7217 -0.009 -0.032 -0.000
7317 0.041 0.026 0.002
7427 -0.000 -0.021 0.000
7512 0.027 -0.001 0.001
7617 0.005 0.001 0.000
7736 -0.040 0.019 -0.002
7852 -0.026 -0.016 -0.001
7967 0.012 -0.060 0.001
8077 -0.007 -0.019 -0.000
8160 0.017 0.000 0.001
8243 0.050 0.002 0.002
8353 0.006 -0.006 0.000
8467 -0.008 0.028 -0.000
8562 -0.002 0.024 -0.000
8653 0.008 0.002 0.000
8763 -0.029 0.009 -0.001
8852 -0.015 0.000 -0.001
8982 0.001 0.010 -0.000
9118 0.016 -0.003 0.001
9217 0.027 -0.008 0.001
9306 -0.050 0.012 -0.002
9396 -0.013 -0.005 -0.001
