START_TIME=1432226496267
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=8
COLS=+TIME rX rY rZ
====================
321 0.110 0.017 0.024
427 0.035 -0.132 -0.066
553 -0.141 0.010 -0.073
679 -0.560 -0.077 -0.490
767 4.171 0.047 0.844
928 2.746 -1.284 -2.757
1031 -36.144 -2.228 3.747
1125 0.101 1.354 0.136
1307 0.007 -0.453 0.008
1393 -0.002 -0.007 -0.013
1500 -0.010 -0.001 0.001
1600 0.014 -0.003 0.008
1695 -0.000 -0.001 -0.000
1790 -0.002 -0.006 -0.005
1874 0.011 -0.013 0.003
1965 0.008 -0.005 0.011
2059 -0.006 -0.005 0.002
2139 0.012 -0.006 -0.004
2223 0.003 -0.003 0.003
2347 0.001 -0.003 -0.013
2434 -0.000 -0.006 0.004
2556 0.001 0.017 0.006
2643 -0.005 -0.006 0.002
2800 0.002 -0.001 0.003
2902 0.003 -0.006 -0.000
3013 -0.003 -0.001 0.004
3102 -0.000 0.017 -0.000
3186 -0.009 -0.002 -0.003
3278 0.003 -0.003 0.002
3394 -0.026 0.003 0.002
3530 0.003 -0.008 0.002
3614 -0.004 -0.011 0.002
3724 -0.000 0.002 -0.004
3814 0.005 -0.002 -0.008
3946 0.001 0.002 0.003
4029 -0.005 -0.002 -0.000
4121 -0.000 -0.009 0.002
4209 0.003 0.017 -0.000
4320 -0.013 -0.003 -0.004
4420 0.002 -0.001 0.001
4520 -0.008 -0.003 -0.008
4655 0.023 -0.002 0.006
4835 -0.005 -0.011 0.001
4930 -0.000 0.002 0.001
5100 0.002 0.000 0.006
5190 0.001 -0.001 0.002
5280 -0.006 0.017 0.001
5370 0.001 -0.003 0.007
5488 -0.005 -0.003 0.002
5621 -0.002 0.017 0.001
5710 -0.004 -0.003 0.003
5853 0.006 0.002 -0.005
5946 0.003 -0.005 -0.013
6064 0.001 0.002 0.001
6154 0.019 -0.005 -0.004
6253 -0.019 -0.006 -0.004
6357 0.001 0.003 0.001
6443 0.020 -0.006 0.003
6586 -0.021 -0.002 0.001
6683 -0.009 -0.006 0.006
6788 -0.011 -0.001 0.002
6920 -0.019 0.000 0.007
7056 0.003 0.003 0.001
7190 0.002 0.017 0.004
7300 -0.009 -0.002 0.003
7442 0.001 -0.002 0.000
7522 -0.004 -0.001 0.003
7624 -0.002 -0.006 -0.001
7710 0.004 -0.002 -0.002
7827 0.011 -0.004 0.003
7940 -0.005 -0.012 -0.002
8034 0.004 -0.008 0.010
8130 0.008 0.001 0.002
8240 0.006 0.000 -0.013
8334 -0.007 0.002 -0.001
8435 -0.011 -0.010 -0.013
8554 -0.001 -0.005 0.006
8655 -0.001 -0.005 -0.003
8745 -0.003 0.006 0.002
8860 0.003 0.001 0.004
8961 -0.009 -0.002 -0.002
9066 0.002 -0.005 0.009
9166 0.014 0.000 0.004
9254 -0.037 -0.007 -0.013
9349 0.001 0.002 0.003
9456 -0.008 -0.005 0.005
9538 -0.004 0.005 0.005
