START_TIME=1432051828609
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=2
COLS=+TIME aX aY aZ
====================
551 -0.475 -0.701 5.496
662 5.422 -3.598 2.437
815 4.627 -3.658 2.130
1067 3.895 -3.405 1.932
1158 3.199 -2.836 1.941
1297 -3.630 2.651 -2.690
1387 -3.987 3.510 -4.858
1549 -3.223 2.008 -2.100
1636 -2.662 1.441 -1.937
1721 -2.608 0.866 2.705
1837 -3.387 12.137 3.914
1932 -2.861 2.000 -1.160
2057 -0.769 1.440 -3.148
2142 0.665 5.804 -2.796
2276 2.398 -11.539 4.404
2407 -11.875 -6.252 0.600
2505 -9.626 -3.952 2.400
2690 3.598 -2.190 -6.644
2847 2.144 -3.525 -0.641
2933 1.657 -2.518 -0.255
3254 0.716 -1.115 -1.736
3449 1.049 -0.746 -1.614
3529 0.138 0.646 -2.632
3654 0.656 1.381 -1.730
3771 0.938 3.789 0.468
3882 1.251 2.635 1.831
3969 -0.030 2.391 2.155
4082 0.151 1.846 1.525
4233 0.170 1.524 1.642
4344 0.221 0.691 1.007
4477 0.069 0.924 1.375
4577 0.296 0.121 0.343
4693 0.253 0.143 -0.084
4777 0.562 0.275 -0.593
4907 -0.952 0.669 -2.389
5140 2.858 -1.659 -3.161
5262 -0.465 0.209 0.526
5384 -0.132 -0.191 0.583
5505 -0.175 -0.203 0.643
5589 -0.273 -0.106 0.632
5733 -0.170 -0.138 0.558
5831 -0.177 0.066 0.254
5967 -0.045 -0.045 0.113
6081 -0.099 -0.092 0.205
6193 -0.068 -0.096 0.178
6503 -0.043 -0.120 0.174
6627 -0.068 -0.048 0.122
6755 0.006 -0.067 0.068
6876 -0.012 -0.005 0.015
6960 -0.004 0.020 -0.016
7061 -0.022 0.058 -0.035
7218 -0.099 0.057 0.041
7338 -0.081 0.118 -0.034
7425 -0.155 0.143 0.016
7509 -0.138 0.123 0.020
7642 -0.058 0.058 0.002
7727 -0.142 0.086 0.061
7817 -0.091 0.034 0.060
7927 0.041 -0.037 -0.004
8012 -0.040 0.007 0.035
8103 -0.028 0.003 0.026
8203 -0.003 0.040 -0.032
8297 0.013 0.005 -0.016
8443 -0.003 0.021 -0.015
8528 -0.037 -0.026 0.061
8618 0.004 -0.061 0.052
8698 -0.007 -0.021 0.028
8798 -0.017 -0.038 0.053
8894 0.006 -0.021 0.014
8994 0.031 -0.013 -0.017
9104 -0.029 0.048 -0.015
9196 -0.089 0.006 0.083
9288 -0.055 0.044 0.015
9391 -0.002 0.018 -0.014
9478 -0.021 0.020 0.002
