START_TIME=1431762815058
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=8
COLS=+TIME aX aY aZ
====================
420 0.186 0.472 -0.008
502 1.892 -1.508 18.053
590 2.245 -1.610 15.569
715 2.600 -2.130 14.558
837 2.493 -2.094 13.369
981 3.248 -0.727 14.243
1094 -3.713 -2.188 8.702
1182 -1.740 0.921 -10.534
1265 -2.795 1.176 -10.805
1366 -3.585 1.297 -10.072
1483 -4.018 1.355 -9.114
1576 -4.149 1.332 -7.498
1684 -3.340 1.219 -5.186
1775 -1.940 -1.317 -2.058
1902 -10.397 -0.957 -4.155
1988 8.893 -0.292 -5.496
2070 -7.001 0.799 1.162
2166 5.379 0.035 -11.811
2302 9.782 0.064 -1.490
2396 17.667 3.806 -13.447
2495 7.650 0.698 -0.360
2594 5.902 -4.789 -14.090
2696 0.895 2.029 4.939
2785 -1.961 1.605 4.468
2885 -5.079 0.368 4.787
3008 -4.855 0.446 3.619
3105 -3.541 0.318 3.051
3218 -2.470 -0.234 1.314
3306 -1.739 -0.199 0.612
3409 -1.432 -0.168 0.451
3498 -0.829 -0.111 0.182
3581 -0.536 -0.106 0.085
3665 -0.396 -0.071 0.059
3776 -0.265 -0.101 0.041
3893 -0.269 -0.090 0.035
3996 -0.199 -0.039 0.024
4076 -0.154 -0.074 0.020
4166 -0.121 -0.102 0.018
4253 -0.138 -0.053 0.014
4346 -0.135 -0.032 0.012
4450 -0.109 -0.037 0.010
4571 -0.111 -0.061 0.011
4696 -0.042 -0.053 0.008
4780 -0.069 -0.032 0.007
4878 -0.059 -0.037 0.006
4961 -0.075 0.001 0.004
5045 -0.037 0.006 0.003
5154 -0.042 -0.066 0.006
5250 -0.044 0.001 0.003
5340 -0.029 -0.027 0.003
5427 -0.029 -0.017 0.003
5525 -0.022 -0.022 0.003
5608 -0.042 -0.043 0.004
5698 0.004 -0.025 0.002
5817 -0.015 0.003 0.001
5904 -0.000 -0.000 0.001
6013 -0.029 -0.008 0.002
6129 -0.034 -0.028 0.003
6210 -0.016 0.011 0.000
6307 -0.026 -0.032 0.003
6421 -0.009 -0.031 0.002
6539 -0.019 -0.034 0.002
6695 -0.021 0.022 0.000
6787 0.035 -0.016 0.000
6907 -0.039 -0.010 0.002
6992 0.003 -0.026 0.001
7097 -0.041 0.026 0.000
7177 -0.012 -0.013 0.001
7267 -0.004 -0.031 0.002
7420 -0.039 -0.049 0.004
7551 -0.019 0.010 0.000
7642 -0.011 0.009 0.000
7730 -0.028 0.006 0.001
7845 0.002 0.019 -0.001
7966 0.011 0.000 -0.000
8066 -0.019 -0.027 0.002
8163 -0.036 0.007 0.001
8267 0.033 -0.015 -0.000
8354 -0.028 -0.004 0.001
8445 0.011 -0.050 0.002
8525 -0.015 -0.019 0.001
8644 -0.021 -0.046 0.003
8785 0.013 0.007 -0.001
8871 0.012 -0.004 -0.000
8960 0.001 -0.030 0.001
9106 0.015 0.015 -0.001
9195 -0.013 -0.030 0.002
9336 0.020 -0.029 0.001
