START_TIME=1431762815058
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=8
COLS=+TIME Gx Gy Gz
====================
408 -7.590 -6.093 -1.200
494 -1.471 0.759 -9.666
583 -1.672 1.076 -9.603
709 -1.867 1.147 -9.559
835 -2.401 1.663 -9.361
975 -2.382 1.514 -9.392
1088 -0.951 1.118 -9.696
1176 0.676 0.957 -9.736
1260 1.718 0.860 -9.617
1360 2.901 0.749 -9.338
1479 3.856 0.582 -8.998
1571 4.959 0.307 -8.455
1657 5.069 0.244 -8.391
1771 5.125 2.440 -7.997
1897 8.147 2.106 -5.036
1985 -9.633 1.753 -0.543
2068 6.871 1.032 -6.920
2162 -4.484 1.739 8.546
2296 -6.531 -1.611 7.136
2389 -9.734 -1.171 0.216
2491 -8.581 0.331 4.735
2590 -7.353 0.180 6.486
2689 -5.708 -1.457 -7.840
2780 -5.783 -1.519 -7.773
2880 -3.578 -1.208 -9.051
3004 -2.341 -1.060 -9.464
3101 -1.802 -1.021 -9.585
3210 -1.424 -0.982 -9.653
3301 -1.246 -0.962 -9.680
3403 -1.157 -0.947 -9.692
3493 -1.050 -0.918 -9.707
3574 -0.969 -0.893 -9.718
3657 -0.924 -0.877 -9.724
3771 -0.864 -0.855 -9.731
3890 -0.831 -0.842 -9.735
3991 -0.787 -0.819 -9.741
4071 -0.737 -0.797 -9.746
4161 -0.704 -0.781 -9.750
4250 -0.676 -0.766 -9.753
4344 -0.660 -0.756 -9.755
4446 -0.638 -0.743 -9.758
4567 -0.625 -0.736 -9.759
4692 -0.600 -0.721 -9.762
4778 -0.585 -0.712 -9.763
4875 -0.561 -0.697 -9.766
4956 -0.544 -0.685 -9.768
5041 -0.531 -0.674 -9.769
5150 -0.517 -0.666 -9.770
5245 -0.507 -0.659 -9.771
5335 -0.496 -0.651 -9.772
5420 -0.488 -0.645 -9.773
5520 -0.480 -0.640 -9.774
5605 -0.473 -0.635 -9.775
5695 -0.468 -0.632 -9.775
5811 -0.461 -0.626 -9.776
5900 -0.454 -0.621 -9.776
6011 -0.446 -0.615 -9.777
6104 -0.441 -0.611 -9.778
6194 -0.437 -0.608 -9.778
6304 -0.433 -0.604 -9.778
6419 -0.428 -0.599 -9.779
6510 -0.424 -0.595 -9.779
6594 -0.421 -0.593 -9.780
6690 -0.418 -0.590 -9.780
6784 -0.415 -0.588 -9.780
6904 -0.412 -0.584 -9.781
6989 -0.408 -0.580 -9.781
7094 -0.403 -0.576 -9.781
7174 -0.401 -0.574 -9.782
7264 -0.396 -0.571 -9.782
7416 -0.393 -0.567 -9.782
7546 -0.390 -0.566 -9.783
7637 -0.388 -0.564 -9.783
7726 -0.386 -0.561 -9.783
7841 -0.382 -0.557 -9.783
7962 -0.379 -0.555 -9.784
8062 -0.377 -0.553 -9.784
8156 -0.376 -0.550 -9.784
8258 -0.374 -0.549 -9.784
8350 -0.372 -0.547 -9.784
8441 -0.370 -0.544 -9.785
8521 -0.368 -0.542 -9.785
8641 -0.366 -0.540 -9.785
8781 -0.363 -0.538 -9.785
8866 -0.362 -0.536 -9.785
8956 -0.361 -0.535 -9.785
9101 -0.358 -0.534 -9.786
9191 -0.357 -0.533 -9.786
9271 -0.356 -0.532 -9.786
