START_TIME=1432226667847
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=4
COLS=+TIME Gx Gy Gz
====================
461 -6.729 3.533 -6.198
567 -0.972 0.695 9.734
668 -0.795 0.345 9.768
767 -0.710 0.319 9.776
849 -0.732 0.213 9.777
938 -0.951 0.264 9.757
1023 -2.277 3.344 8.933
1143 -3.150 4.026 8.369
1235 -1.950 5.267 8.039
1334 0.655 8.124 5.454
1429 1.891 2.188 9.371
1509 2.957 -3.885 8.505
1607 3.540 -7.224 5.608
1688 3.027 -7.341 5.755
1777 3.991 -7.609 4.727
1897 2.204 -8.023 5.191
1992 5.741 -7.657 2.140
2089 5.909 -3.089 -7.191
2183 6.505 -3.352 -6.528
2274 6.696 -3.316 -6.351
2403 7.023 -1.231 -6.732
2494 6.982 -0.349 -6.878
2584 7.217 -0.082 -6.639
2682 7.213 0.162 -6.642
2764 7.048 0.448 -6.804
2845 6.981 0.545 -6.866
2969 6.800 0.740 -7.028
3088 6.663 0.861 -7.144
3178 6.660 0.910 -7.141
3286 6.705 0.938 -7.095
3399 6.694 0.995 -7.097
3489 6.558 1.054 -7.215
3585 6.492 1.103 -7.267
3701 6.397 1.161 -7.342
3809 6.255 1.291 -7.442
3915 6.112 1.373 -7.545
4014 6.008 1.450 -7.614
4117 5.942 1.464 -7.663
4204 5.924 1.477 -7.674
4300 5.918 1.500 -7.675
4410 5.914 1.516 -7.675
4500 5.909 1.529 -7.676
4580 5.904 1.536 -7.678
4670 5.900 1.541 -7.680
4753 5.894 1.554 -7.682
4881 5.896 1.539 -7.683
4966 5.945 1.470 -7.659
5075 6.032 1.444 -7.596
5195 6.057 1.457 -7.574
5320 5.957 1.558 -7.632
5410 6.043 1.519 -7.572
5494 5.944 1.525 -7.650
5576 5.918 1.527 -7.669
5660 5.833 1.544 -7.730
5751 5.831 1.584 -7.724
5850 5.798 1.609 -7.744
5942 5.874 1.622 -7.684
6032 5.912 1.614 -7.656
6122 5.908 1.599 -7.662
6212 5.829 1.594 -7.723
6304 5.782 1.597 -7.758
6394 5.767 1.599 -7.769
6489 5.766 1.602 -7.769
6603 5.766 1.606 -7.768
6706 5.765 1.609 -7.768
6795 5.765 1.612 -7.767
6887 5.767 1.616 -7.766
7010 5.767 1.617 -7.765
7116 5.771 1.621 -7.761
7236 5.803 1.589 -7.744
7361 5.798 1.574 -7.751
7449 5.797 1.562 -7.754
7539 5.801 1.558 -7.752
7670 5.806 1.560 -7.748
7750 5.799 1.561 -7.753
7875 5.800 1.568 -7.751
7965 5.803 1.571 -7.748
8065 5.804 1.573 -7.746
8150 5.770 1.576 -7.771
8260 5.769 1.578 -7.772
8360 5.769 1.580 -7.771
8451 5.771 1.583 -7.769
8534 5.772 1.584 -7.768
8616 5.772 1.585 -7.768
8764 5.772 1.587 -7.767
8847 5.773 1.587 -7.767
8945 5.773 1.589 -7.767
9025 5.773 1.590 -7.766
9115 5.773 1.591 -7.766
9226 5.772 1.592 -7.767
9322 5.772 1.594 -7.766
9440 5.773 1.595 -7.765
