START_TIME=1432226667847
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=4
COLS=+TIME rX rY rZ
====================
470 0.097 -0.226 -0.008
564 -0.127 -0.606 -0.059
665 -0.271 0.010 0.133
764 -0.239 -0.016 0.331
844 0.086 0.218 0.745
934 -0.187 -0.144 0.217
1019 -0.568 -1.247 -1.367
1140 0.443 0.870 -0.438
1229 2.680 -3.279 1.886
1330 7.542 -3.406 21.039
1424 -6.801 12.186 1.843
1505 -6.813 -2.402 2.920
1604 1.221 0.007 3.578
1684 -1.644 -4.737 -2.125
1774 -1.924 2.880 -3.113
1894 -0.031 -6.201 -0.509
1989 -1.064 2.709 -1.509
2084 0.571 1.663 0.311
2179 0.290 0.736 -0.146
2269 -0.179 -0.063 -0.375
2400 0.222 0.095 -0.213
2489 0.173 -0.037 0.179
2575 0.135 0.440 0.093
2655 -0.198 -0.133 0.168
2744 -0.008 -0.129 -0.025
2827 0.091 -0.033 -0.072
2914 -0.020 -0.166 -0.091
2999 0.017 -0.111 -0.039
3084 -0.063 -0.118 -0.022
3174 -0.047 0.097 0.072
3255 -0.017 0.061 0.047
3395 0.032 -0.074 -0.026
3485 -0.016 -0.186 -0.057
3580 -0.039 -0.154 -0.037
3675 -0.048 -0.066 -0.021
3759 -0.042 -0.118 -0.037
3879 -0.017 -0.168 -0.047
3964 0.017 -0.041 -0.080
4085 0.024 -0.120 0.001
4184 -0.037 0.001 0.022
4274 -0.018 0.005 0.025
4369 -0.009 -0.027 0.008
4449 -0.007 -0.012 -0.004
4529 -0.006 -0.002 -0.020
4651 -0.017 0.017 -0.000
4749 -0.011 0.004 -0.003
4840 0.074 0.102 0.011
4940 0.088 0.011 0.052
5035 0.021 0.126 0.033
5125 -0.005 0.004 0.009
5225 -0.018 -0.079 -0.060
5315 -0.133 -0.146 -0.052
5405 0.036 -0.129 0.049
5485 0.079 -0.101 -0.089
5570 0.080 -0.057 -0.094
5655 0.143 -0.081 -0.077
5746 -0.110 -0.046 -0.011
5845 0.019 0.088 0.038
5939 -0.050 0.058 0.034
6029 0.054 0.047 -0.025
6119 0.055 -0.116 -0.013
6209 -0.003 -0.072 0.002
6299 -0.011 -0.052 -0.010
6389 0.021 -0.005 -0.005
6484 -0.011 -0.006 0.011
6595 0.009 0.007 -0.003
6700 0.005 0.028 -0.005
6790 0.009 0.026 0.027
6880 0.032 0.049 0.034
6960 0.003 0.047 -0.006
7110 -0.055 0.043 0.060
7230 -0.006 0.043 0.044
7355 -0.013 -0.048 -0.038
7445 -0.039 0.029 0.055
7535 0.021 0.036 -0.010
7665 -0.026 -0.045 0.024
7745 -0.037 0.011 -0.002
7825 0.037 0.005 -0.000
7905 0.042 0.009 -0.020
8027 0.039 -0.034 -0.020
8110 0.020 -0.072 -0.017
8200 0.014 -0.024 -0.002
8287 -0.005 -0.008 0.002
8423 0.004 0.007 0.007
8510 0.015 0.000 -0.020
8610 0.027 0.000 -0.011
8759 0.011 0.009 -0.000
8841 -0.011 0.005 0.006
8940 -0.017 -0.021 0.012
9020 0.002 -0.033 0.001
9110 -0.016 -0.002 0.003
9219 0.006 0.006 -0.005
9316 0.019 0.011 -0.005
9435 0.013 -0.012 -0.010
