START_TIME=1432224443773
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=6
COLS=+TIME Gx Gy Gz
====================
432 8.245 -1.076 5.199
541 8.851 -0.368 4.206
672 4.115 8.844 1.013
759 3.003 9.283 0.986
849 2.615 9.383 1.134
954 2.833 9.344 0.911
1043 2.803 9.365 0.777
1168 2.718 9.414 -0.387
1271 2.901 9.201 -1.757
1453 2.767 9.193 -1.999
1589 1.604 9.533 -1.648
1700 0.473 8.923 -4.042
1827 -1.737 7.883 -5.569
1968 -1.362 5.851 -7.752
2058 0.570 2.664 -9.421
2144 0.439 2.058 -9.578
2243 0.483 0.433 -9.785
2348 0.414 -2.210 -9.545
2454 0.451 -5.519 -8.093
2623 1.089 -8.009 -5.553
2720 5.208 -7.417 -3.747
2843 6.509 -6.562 -3.277
2937 7.078 -5.606 -3.826
3053 7.720 -4.305 -4.248
3143 7.709 -4.134 -4.432
3230 7.577 -4.060 -4.720
3330 7.614 -3.765 -4.901
3452 7.640 -3.634 -4.959
3534 8.352 -2.754 -4.338
3734 8.323 -2.808 -4.361
3838 8.166 -2.762 -4.675
3923 8.146 -2.714 -4.738
4005 8.094 -2.629 -4.873
4146 8.139 -2.462 -4.885
4238 8.182 -2.363 -4.863
4341 8.234 -2.229 -4.838
4518 8.238 -2.196 -4.846
4607 8.240 -2.138 -4.867
4732 8.240 -2.116 -4.879
4817 8.244 -2.083 -4.885
4916 8.250 -2.018 -4.903
5068 8.239 -1.970 -4.940
5156 8.268 -1.960 -4.895
5318 8.271 -1.943 -4.897
5450 8.305 -1.928 -4.846
5539 8.346 -1.906 -4.783
5697 8.381 -1.887 -4.729
5822 8.385 -1.874 -4.728
5930 8.388 -1.861 -4.728
6024 8.390 -1.849 -4.729
6175 8.393 -1.838 -4.728
6262 8.413 -1.825 -4.696
6367 8.437 -1.814 -4.658
6464 8.441 -1.797 -4.657
6566 8.443 -1.788 -4.657
6656 8.446 -1.773 -4.657
6756 8.448 -1.765 -4.657
6854 8.450 -1.759 -4.656
6935 8.455 -1.744 -4.653
7036 8.457 -1.738 -4.651
7131 8.460 -1.730 -4.648
7219 8.462 -1.725 -4.646
7315 8.465 -1.721 -4.643
7443 8.467 -1.716 -4.641
7547 8.469 -1.711 -4.639
7640 8.470 -1.707 -4.638
7870 8.472 -1.703 -4.637
7960 8.472 -1.699 -4.638
8050 8.473 -1.695 -4.638
8152 8.472 -1.691 -4.640
8290 8.473 -1.688 -4.640
8455 8.495 -1.684 -4.602
8557 8.497 -1.679 -4.600
8669 8.500 -1.672 -4.597
8752 8.502 -1.667 -4.595
8845 8.503 -1.662 -4.595
8974 8.505 -1.658 -4.593
9075 8.506 -1.653 -4.591
9205 8.508 -1.649 -4.590
9325 8.510 -1.645 -4.587
9491 8.511 -1.643 -4.586
