START_TIME=1432224386249
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=6
COLS=+TIME aX aY aZ
====================
564 6.307 -7.605 10.346
727 -0.634 -1.651 11.682
871 1.670 -0.554 11.026
985 1.422 -0.499 8.830
1126 0.986 0.309 7.017
1207 0.304 -0.068 5.832
1315 -0.433 -1.882 5.469
1435 1.557 0.090 1.347
1541 -0.248 -4.085 -1.056
1685 -0.381 -5.363 -1.488
1785 0.586 -1.337 5.825
1904 17.537 3.738 4.453
2036 -2.421 -6.434 -3.913
2217 -11.233 -8.602 -6.937
2436 12.021 -12.539 3.407
2550 -6.000 -8.830 -7.267
2646 7.155 -2.102 -11.341
2744 4.594 -2.656 -10.664
2827 2.350 -0.812 -10.304
2946 -0.016 -1.070 -7.136
3047 0.422 -0.668 -6.161
3171 1.187 1.936 -3.241
3305 -0.146 2.855 -0.548
3406 -0.847 1.891 0.380
3490 -0.773 1.542 1.499
3601 0.100 0.940 3.498
3766 -0.238 0.999 3.381
3911 0.208 1.031 2.695
4035 0.147 0.184 2.147
4116 0.860 -0.027 1.745
4221 0.022 -0.323 1.321
4351 -0.193 -0.398 0.815
4511 -0.146 -0.512 1.025
4595 0.087 -0.237 0.930
4746 0.058 0.113 0.831
4840 -0.018 -0.289 0.581
4971 -0.070 -0.429 0.633
5055 -0.008 -0.317 0.573
5166 -0.021 0.049 0.695
5405 -0.046 0.064 0.660
5525 -0.104 0.071 0.556
5617 -0.102 0.122 0.432
5702 -0.016 0.070 0.639
5784 0.022 0.015 0.420
5882 0.026 0.089 0.388
5997 0.016 0.032 0.298
6091 -0.031 0.147 0.225
6180 -0.100 0.019 0.096
6286 -0.160 -0.129 0.079
6381 -0.279 -0.033 0.092
6571 -0.196 0.107 0.246
6680 -0.199 0.154 0.259
6770 -0.188 0.116 0.292
6855 -0.111 0.231 0.368
6986 -0.059 0.238 0.355
7166 -0.068 0.130 0.319
7295 -0.124 0.215 0.255
7415 -0.137 0.085 0.173
7509 -0.045 0.148 0.328
7635 -0.044 0.282 0.356
7715 -0.043 0.220 0.208
7812 -0.096 0.197 0.109
10825 -0.010 0.031 0.106
10921 -0.036 0.093 0.226
11036 -0.037 0.131 0.257
11117 -0.044 0.151 0.224
11302 -0.034 0.105 0.217
11395 -0.042 0.222 0.236
11522 -0.049 0.175 0.118
11706 -0.045 0.091 0.135
11828 -0.050 0.158 0.110
11948 0.016 0.165 0.029
13779 0.001 0.136 0.029
