START_TIME=1431763300628
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=8
COLS=+TIME rX rY rZ
====================
395 -0.136 0.219 -0.071
476 0.075 -0.812 0.405
556 -0.770 0.256 -0.673
645 -0.913 0.575 -0.678
731 0.401 -0.030 -0.358
826 -1.120 0.151 0.075
906 -2.188 0.476 -1.471
1025 1.020 0.158 0.064
1110 2.889 0.296 0.089
1200 1.399 -0.444 -0.442
1281 1.310 -0.718 -0.473
1361 1.216 -0.719 -0.506
1481 1.149 -0.794 -0.578
1630 0.916 -0.824 -0.647
1731 0.618 -0.656 -0.667
1815 0.235 -0.446 -0.657
1905 -24.867 2.829 -0.662
1985 1.232 -21.731 -1.829
2076 -2.167 -21.564 -1.766
2176 -2.412 -21.226 0.950
2269 -25.776 -21.171 3.437
2356 2.985 -7.282 -2.306
2466 -6.798 1.367 -1.597
2565 1.592 0.965 1.135
2651 3.952 -8.742 0.086
2736 -4.939 3.736 -0.304
2818 0.659 2.983 0.059
2935 0.308 -1.152 0.011
3025 -0.019 0.116 0.009
3112 0.020 0.013 0.005
3226 -0.016 -0.014 0.001
3320 -0.001 -0.001 -0.001
3420 0.007 0.003 0.001
3510 -0.002 -0.006 0.008
3592 0.000 0.002 0.004
3710 -0.010 -0.007 -0.005
3800 0.005 -0.003 -0.008
3900 -0.004 -0.003 -0.001
3981 0.020 -0.001 0.004
4085 0.010 -0.001 -0.011
4210 -0.012 0.015 -0.002
4315 -0.018 0.006 0.003
4401 -0.001 0.000 0.010
4511 0.005 0.004 0.003
4630 0.006 0.000 0.004
4715 0.036 0.002 -0.005
4855 0.005 -0.011 0.004
4940 -0.008 0.000 -0.007
5021 0.004 -0.006 0.001
5120 0.022 -0.002 0.006
5215 -0.010 0.003 0.010
5300 0.003 -0.012 0.001
5385 0.025 -0.002 -0.002
5500 0.000 0.004 0.003
5585 -0.001 0.005 0.000
5690 0.009 0.028 -0.001
5775 -0.012 -0.012 -0.003
5855 0.009 0.002 -0.001
5945 -0.006 -0.045 -0.011
6025 -0.004 0.026 -0.001
6120 0.010 0.009 -0.001
6221 -0.017 -0.009 0.010
6332 0.004 -0.005 0.009
6421 -0.010 -0.014 -0.006
6510 0.031 0.005 0.009
6595 0.017 0.019 -0.001
6675 -0.001 0.021 -0.002
6775 -0.034 0.004 0.004
6890 -0.030 0.003 -0.005
6980 0.016 0.005 -0.011
7065 -0.004 -0.005 0.000
7151 0.003 -0.011 -0.002
7241 -0.007 0.014 -0.002
7325 0.011 -0.018 0.001
7411 0.004 0.014 0.003
7511 0.003 -0.007 0.006
7591 0.005 0.004 0.016
7680 -0.017 -0.005 0.006
7766 -0.004 0.003 0.000
7852 -0.018 0.000 0.004
7996 -0.022 0.004 -0.003
8091 0.017 0.008 -0.003
8216 0.065 0.003 -0.007
8305 -0.051 0.004 0.005
8401 0.032 0.002 -0.007
8495 -0.008 0.002 0.011
8582 -0.017 -0.001 0.006
8705 -0.005 -0.001 -0.001
8826 -0.015 -0.002 0.011
8925 -0.018 -0.008 0.001
9035 0.017 0.009 0.003
9145 0.015 -0.007 0.003
9226 0.003 0.002 0.003
9326 0.003 -0.005 -0.002
9406 -0.022 -0.001 0.000
