START_TIME=1431762501941
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=8
COLS=+TIME Gx Gy Gz
====================
860 5.801 7.854 -0.913
949 1.552 2.830 -9.260
1031 1.237 4.253 -8.750
1137 1.520 5.326 -8.093
1786 1.803 5.977 -7.563
1913 -4.857 4.499 -7.235
2007 -7.268 3.707 -5.441
2127 -9.145 2.700 -2.293
2237 -9.628 1.716 0.732
2368 -8.390 -0.085 5.077
2478 6.915 4.618 5.199
2598 8.126 3.749 4.010
2728 7.365 -0.422 6.461
2857 5.919 3.436 -7.023
2937 5.468 3.609 -7.297
3026 3.537 2.763 -8.719
3112 3.713 2.866 -8.612
3241 1.883 2.151 -9.381
3331 1.210 1.987 -9.527
3421 0.901 1.832 -9.592
3503 0.682 1.650 -9.643
3613 0.612 1.573 -9.660
3708 0.510 1.430 -9.688
3793 0.452 1.332 -9.705
3916 0.418 1.270 -9.715
4017 0.365 1.167 -9.730
4107 0.342 1.117 -9.737
4217 0.320 1.074 -9.742
4502 0.300 1.034 -9.747
5610 0.252 0.928 -9.759
5772 0.087 0.554 -9.791
5852 0.080 0.536 -9.792
5942 0.078 0.532 -9.792
6037 0.068 0.507 -9.793
6157 0.063 0.495 -9.794
6247 0.057 0.481 -9.795
6347 0.051 0.467 -9.795
6447 0.049 0.460 -9.796
6562 0.044 0.448 -9.796
6653 0.041 0.439 -9.797
6757 0.038 0.433 -9.797
6838 0.034 0.425 -9.797
6947 0.030 0.415 -9.798
7043 0.026 0.406 -9.798
7133 0.024 0.401 -9.798
7219 0.020 0.394 -9.799
7348 0.016 0.385 -9.799
7467 0.014 0.379 -9.799
7552 0.011 0.373 -9.800
7647 0.008 0.365 -9.800
7767 0.005 0.358 -9.800
7857 0.004 0.355 -9.800
7967 0.001 0.348 -9.800
8094 -0.002 0.343 -9.801
8223 -0.004 0.338 -9.801
8343 -0.007 0.331 -9.801
8437 -0.007 0.330 -9.801
8547 -0.009 0.323 -9.801
8632 -0.011 0.321 -9.801
8732 -0.012 0.316 -9.802
8851 -0.014 0.312 -9.802
8952 -0.016 0.308 -9.802
9067 -0.017 0.305 -9.802
9157 -0.020 0.300 -9.802
9269 -0.021 0.296 -9.802
9353 -0.022 0.293 -9.802
9442 -0.023 0.290 -9.802
9552 -0.025 0.286 -9.802
9637 -0.026 0.282 -9.803
9753 -0.028 0.278 -9.803
