START_TIME=1432053339612
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=4
COLS=+TIME Gx Gy Gz
====================
459 3.599 -7.971 4.437
548 3.150 -7.941 4.816
657 3.037 -7.917 4.926
812 2.383 -7.726 5.549
938 2.502 -7.792 5.403
1182 2.355 -7.753 5.525
1275 5.733 7.730 1.885
1406 4.767 8.063 2.905
1729 -6.101 3.220 6.970
1893 -6.875 -6.654 2.152
2016 -6.900 -6.950 0.508
2101 -7.283 -6.524 0.753
2314 -8.294 -5.155 0.904
2428 -9.443 -1.867 1.872
2562 -9.163 0.965 3.360
2686 -9.112 1.473 3.313
2788 -9.095 1.985 3.083
2922 -9.117 2.165 2.892
3023 -9.141 2.081 2.879
3123 -9.224 1.826 2.786
3204 -2.281 -9.537 0.085
3323 -0.290 -9.627 -1.848
3516 0.535 -9.472 -2.483
3596 2.232 -8.935 -3.369
3684 1.955 -9.317 -2.355
4133 2.999 -8.899 -2.826
4263 3.046 -8.922 -2.699
4457 3.133 -8.867 -2.780
4563 3.141 -8.838 -2.863
4678 3.056 -8.814 -3.025
4851 3.182 -8.806 -2.915
5045 3.231 -8.810 -2.850
5133 3.258 -8.799 -2.852
5269 3.263 -8.794 -2.861
5474 3.266 -8.787 -2.879
5808 3.267 -8.784 -2.888
5904 3.276 -8.774 -2.908
6004 3.281 -8.769 -2.917
6181 3.287 -8.763 -2.929
6263 3.292 -8.757 -2.941
6407 3.295 -8.754 -2.945
6559 3.300 -8.751 -2.950
6714 3.322 -8.745 -2.944
6824 3.325 -8.742 -2.948
6985 3.331 -8.739 -2.951
7114 3.392 -8.705 -2.981
7203 3.401 -8.682 -3.039
7299 3.407 -8.649 -3.123
7406 3.413 -8.640 -3.143
7504 3.420 -8.633 -3.152
7611 3.424 -8.628 -3.164
8038 3.426 -8.624 -3.171
8153 3.434 -8.618 -3.179
8257 3.438 -8.615 -3.181
8411 3.440 -8.621 -3.165
8561 3.443 -8.618 -3.169
8682 3.444 -8.618 -3.170
8827 3.447 -8.615 -3.173
9163 3.379 -8.613 -3.252
9251 3.362 -8.610 -3.275
9412 3.347 -8.608 -3.297
9493 3.337 -8.603 -3.321
