START_TIME=1432226805067
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=4
COLS=+TIME aX aY aZ
====================
453 -4.426 -7.428 13.976
543 0.076 0.903 4.910
628 -0.435 1.324 4.170
734 0.406 1.210 2.802
823 1.387 0.775 2.412
954 1.265 1.161 0.417
1079 1.623 0.134 -4.916
1199 1.666 -1.129 -2.507
1349 1.092 -0.652 -2.664
1448 -1.304 -2.643 -4.839
1534 1.678 -5.572 -1.698
1629 -7.348 6.298 -16.050
1748 -7.664 3.630 -5.484
1840 5.789 0.905 -0.535
1925 -2.376 -0.077 -5.254
2009 -13.448 -2.490 -2.135
2111 -4.530 -2.048 -0.484
2236 6.506 -7.191 7.375
2324 -2.638 -7.773 1.010
2456 0.952 2.845 1.629
2539 2.198 5.765 -0.265
2621 3.957 5.949 1.676
2706 2.916 5.358 1.204
2799 2.728 4.976 2.629
2882 0.529 2.040 0.713
2977 0.394 0.209 0.884
3078 0.371 -0.055 0.922
3220 0.283 -0.110 0.621
3326 0.283 0.185 0.637
3430 0.104 0.165 0.253
3549 0.122 -0.081 0.266
3661 0.081 0.005 0.169
3741 0.098 0.011 0.198
3849 0.069 0.006 0.134
3966 0.047 -0.049 0.089
4047 0.081 -0.087 0.153
4157 0.041 -0.115 0.075
4243 0.091 -0.063 0.171
4367 0.135 -0.031 0.252
4457 -0.056 0.276 -0.105
4562 -0.112 0.042 -0.221
4692 0.223 -0.004 0.409
4780 0.142 -0.220 0.269
4878 -0.277 0.051 -0.549
4980 0.216 -0.118 0.405
5083 0.028 -0.013 0.079
5175 0.049 -0.214 0.104
5269 -0.004 0.061 0.020
5409 -0.095 -0.002 -0.156
5498 -0.055 0.046 -0.085
5589 -0.012 0.083 -0.009
5678 0.083 0.190 0.158
5785 -0.056 0.149 -0.095
5871 -0.132 -0.019 -0.249
5962 0.011 -0.173 0.009
6057 0.118 0.035 0.213
6176 -0.006 0.127 -0.001
6283 0.681 -0.266 1.027
6371 -0.556 0.268 -1.123
6495 0.196 -0.286 0.343
6606 -0.014 0.025 0.014
6737 0.005 0.147 0.044
6858 0.087 0.024 0.176
6992 -0.107 -0.063 -0.146
7096 -0.063 -0.086 -0.087
7252 -0.125 0.043 -0.200
7403 0.018 -0.009 0.034
7536 0.134 -0.014 0.216
7666 -0.003 0.053 0.000
7795 0.031 0.014 0.054
7918 -0.047 0.032 -0.073
8015 0.007 0.064 0.015
8110 -0.035 0.007 -0.057
8290 0.053 -0.060 0.085
8400 -0.022 0.003 -0.035
8530 0.045 -0.002 0.073
8644 0.041 -0.013 0.066
8730 0.021 -0.025 0.034
8859 -0.060 -0.098 -0.100
8996 0.000 0.126 0.002
9091 -0.057 -0.005 -0.091
9198 -0.063 -0.051 -0.103
9320 0.007 -0.013 0.012
9433 -0.023 -0.059 -0.038
9525 0.015 0.024 0.026
