START_TIME=1432226805067
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=4
COLS=+TIME rX rY rZ
====================
437 -0.075 -0.463 0.003
539 0.162 -0.051 -0.069
624 0.301 0.662 -0.065
729 0.219 -0.562 -0.414
818 0.592 0.326 -0.495
920 -0.169 0.144 -0.364
1025 0.364 -2.394 -1.083
1129 0.773 0.434 -0.504
1225 1.421 2.370 0.056
1310 -0.509 6.392 -2.433
1444 -2.852 0.383 -0.853
1530 2.529 -2.210 5.102
1625 -6.326 -13.825 -2.273
1744 -13.321 1.955 -7.176
1835 2.063 2.023 -1.471
1920 1.680 -2.041 -4.009
2005 -1.669 -2.431 -13.421
2105 5.190 8.097 -0.892
2231 -1.120 7.037 6.231
2320 0.604 -7.653 -0.140
2415 -0.178 -1.349 0.342
2505 -0.328 0.450 -0.039
2592 -0.538 -0.189 -0.074
2679 -0.459 -0.287 0.145
2796 -0.101 -0.443 -0.130
2879 0.022 0.078 -0.019
2973 0.148 -0.133 -0.032
3074 0.041 -0.276 0.013
3214 -0.024 -0.051 0.017
3321 -0.084 -0.039 0.002
3425 0.013 0.009 -0.021
3510 0.039 -0.021 -0.021
3614 0.010 0.000 -0.019
3738 -0.017 -0.010 -0.011
3847 -0.002 0.000 -0.008
3963 -0.009 0.001 -0.011
4044 0.016 0.020 -0.011
4154 0.027 -0.028 0.006
4239 -0.012 0.007 -0.016
4364 0.102 -0.024 0.022
4454 0.097 -0.012 -0.063
4559 -0.028 0.042 -0.002
4655 0.185 -0.101 -0.013
4756 -0.063 -0.024 0.034
4849 0.048 0.040 -0.004
4935 -0.009 -0.057 -0.008
5078 0.171 -0.129 0.013
5173 -0.059 -0.111 -0.021
5264 -0.020 0.026 0.009
5404 -0.011 -0.007 0.013
5495 -0.079 -0.018 0.041
5585 -0.055 -0.001 0.033
5674 -0.019 0.021 -0.083
5754 0.042 0.100 0.009
5844 0.002 0.047 -0.016
5959 0.024 -0.017 0.045
6054 -0.053 -0.050 0.018
6172 0.008 0.042 0.006
6279 0.284 -0.100 0.011
6369 0.025 0.031 -0.039
6490 0.015 -0.118 -0.055
6600 -0.100 -0.068 0.035
6734 -0.018 0.034 0.006
6854 0.008 -0.055 0.084
6987 -0.016 -0.005 -0.011
7090 -0.025 -0.028 0.067
7245 0.017 0.022 -0.010
7365 0.002 -0.029 0.019
7530 0.013 0.007 -0.011
7660 0.017 0.000 0.019
7790 0.030 -0.011 0.011
7913 -0.020 0.014 0.014
8008 -0.023 -0.013 0.001
8104 -0.017 -0.010 0.005
8249 0.024 -0.060 -0.016
8335 -0.005 0.016 -0.016
8429 -0.002 -0.016 0.007
8525 -0.006 -0.006 0.016
8605 -0.003 -0.001 -0.013
8693 -0.002 0.011 0.001
8775 0.008 0.010 -0.016
8855 0.036 0.021 0.018
8955 -0.046 -0.030 -0.025
9064 0.008 0.012 0.005
9195 -0.016 0.001 0.014
9315 -0.019 -0.008 -0.004
9428 -0.009 -0.006 0.012
9520 0.011 0.006 -0.009
