START_TIME=1432226199543
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=6
COLS=+TIME rX rY rZ
====================
500 0.853 -0.200 -0.027
696 -0.222 -1.365 0.157
780 -0.731 1.074 0.127
907 -0.689 -0.303 -0.215
1028 0.087 0.231 -0.068
1238 -0.638 0.958 0.097
1572 7.005 0.897 -1.363
1845 -0.706 -2.959 -5.491
1957 -0.801 0.426 -0.223
2092 -2.154 1.836 -0.487
2194 -2.963 -0.310 2.156
2396 0.379 1.681 0.210
2600 -0.561 0.358 0.128
2715 -0.549 -0.296 -0.064
2808 -0.282 -0.175 0.057
2893 -0.334 -0.151 -0.024
3003 -0.073 -0.015 -0.002
3110 -0.380 -0.093 0.046
3224 -0.109 -0.096 -0.031
3318 0.266 0.060 0.009
3444 0.099 0.198 0.025
3613 0.035 0.043 0.025
3803 -0.111 0.000 0.015
3933 -0.184 -0.056 0.003
4045 -0.133 -0.150 -0.011
4225 0.095 0.027 -0.002
4317 0.006 0.038 0.007
4463 -0.054 -0.045 -0.008
4613 0.022 -0.015 0.002
4753 -0.051 -0.026 -0.005
4837 -0.032 -0.060 0.004
4921 0.004 -0.028 -0.007
5031 0.018 0.005 0.001
5208 0.018 -0.005 0.002
5376 -0.006 0.003 -0.002
5711 -0.038 -0.002 -0.002
5822 -0.006 -0.043 0.011
5963 -0.009 -0.005 0.004
6154 -0.007 -0.004 0.001
6314 -0.002 0.012 0.002
6498 0.024 -0.010 -0.000
6604 -0.076 -0.004 0.006
6782 -0.106 -0.071 0.003
6886 0.077 -0.004 0.018
6992 0.067 0.036 0.013
7083 -0.017 0.028 0.002
7166 -0.094 -0.028 -0.013
7325 -0.059 -0.072 -0.013
7446 0.012 -0.006 -0.004
7617 0.009 -0.002 -0.005
7705 0.009 0.012 0.001
7885 0.015 -0.004 0.002
8020 0.038 0.012 0.001
8150 0.016 0.006 -0.005
8424 0.005 -0.010 0.003
8555 0.020 0.005 -0.002
9502 0.006 -0.008 0.001
9629 -0.010 -0.001 -0.003
9733 -0.005 -0.012 0.001
9973 -0.020 0.012 -0.007
10097 0.000 -0.004 -0.000
10204 0.023 0.007 -0.013
10329 -0.007 0.000 0.006
10422 -0.031 -0.024 -0.000
