START_TIME=1432225366481
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=6
COLS=+TIME aX aY aZ
====================
364 -0.164 -1.935 -1.502
508 -0.859 0.494 2.702
609 -0.832 0.025 0.967
725 -0.995 0.260 0.846
833 -0.579 0.117 0.169
968 -0.694 0.062 0.337
1064 0.301 -0.709 -0.574
1149 -0.148 -0.513 -1.005
1291 -0.033 -0.551 -1.472
1382 -2.348 -4.631 -1.120
1468 -2.385 -5.147 -0.727
1613 -0.166 4.145 -1.645
1723 3.736 -5.638 10.921
1831 -0.994 3.289 8.494
1945 -2.278 -8.558 -4.073
2030 -4.622 5.040 -2.810
2120 12.717 -3.621 15.035
2215 12.746 -3.886 2.772
2344 -2.076 1.901 2.520
2451 5.157 -4.511 -2.712
2590 2.230 -2.379 -2.062
2685 -1.762 4.821 -1.752
2825 -0.427 4.428 -2.061
2941 -0.935 3.406 -3.610
3047 -2.655 1.770 -2.289
3162 -2.420 0.830 -1.843
3259 -2.018 0.689 -1.571
3378 -1.072 -0.458 -1.020
3490 -0.700 -0.187 -0.511
3644 -0.519 -0.202 -0.413
3738 -0.506 -0.447 -0.204
3886 -0.417 -0.442 -0.126
4024 -0.099 -0.224 0.044
4134 -0.086 -0.176 0.030
4216 -0.136 -0.174 -0.019
4344 -0.153 -0.201 -0.018
4519 -0.036 -0.182 0.083
4623 -0.019 -0.050 0.025
4795 0.007 -0.108 0.080
4883 -0.062 -0.001 -0.045
4967 -0.053 -0.028 -0.026
5052 -0.033 -0.065 0.011
5218 -0.023 0.009 -0.018
5421 -0.027 -0.022 -0.007
5556 0.083 -0.029 0.106
5777 0.047 -0.036 0.073
5936 -0.016 -0.003 -0.007
6130 -0.091 -0.079 -0.042
6313 0.001 -0.056 0.036
6545 0.044 -0.036 0.069
6671 -0.049 -0.070 -0.007
6854 -0.049 0.032 -0.060
6949 -0.054 -0.069 -0.013
7133 -0.125 -0.072 -0.079
7468 -0.426 -0.856 -0.051
7602 0.455 0.445 0.406
7729 0.005 -0.035 0.028
7949 -0.126 -0.138 -0.093
8044 -0.103 -0.022 -0.107
8337 0.008 -0.053 0.021
8435 -0.158 -0.013 -0.167
8572 -0.223 -0.110 -0.207
8797 -0.089 -0.144 -0.049
8972 0.014 -0.037 0.030
9175 -0.034 0.111 -0.082
9319 0.042 -0.041 0.027
9422 -0.936 -0.020 -0.790
9562 -0.075 0.573 -0.321
