START_TIME=1432226564143
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=8
COLS=+TIME Gx Gy Gz
====================
293 0.553 7.670 6.085
388 -0.862 1.336 9.677
488 0.041 2.387 9.512
568 0.478 4.440 8.731
693 -0.018 6.022 7.740
788 -1.200 5.226 8.211
868 -4.975 4.275 7.290
964 -8.291 2.248 4.730
1058 -9.136 2.385 2.648
1209 -8.992 2.977 2.540
1328 -8.868 2.963 2.957
1453 -8.861 2.963 2.980
1539 -8.861 2.963 2.980
1638 -7.101 3.411 5.841
1743 -5.225 2.654 7.863
1834 -4.477 2.185 8.447
1919 -4.121 1.947 8.683
2019 -3.837 1.754 8.853
2109 -3.409 1.459 9.078
2224 -3.174 1.292 9.188
2344 -2.986 1.157 9.269
2459 -2.829 1.047 9.331
2569 -2.660 0.924 9.394
2679 -2.556 0.847 9.430
2784 -2.465 0.779 9.460
2884 -2.410 0.740 9.477
3004 -2.336 0.688 9.500
3129 -2.269 0.641 9.519
3209 -2.229 0.613 9.530
3304 -2.173 0.572 9.546
3406 -2.125 0.537 9.559
3544 -2.081 0.505 9.570
3644 -2.040 0.475 9.580
3759 -2.002 0.448 9.590
3874 -1.956 0.413 9.601
3989 -1.925 0.390 9.608
4094 -1.905 0.375 9.612
4174 -1.887 0.359 9.617
4264 -1.869 0.345 9.621
4359 -1.844 0.327 9.626
4449 -1.827 0.314 9.630
4529 -1.812 0.303 9.633
4613 -1.798 0.291 9.636
4699 -1.783 0.280 9.639
4843 -1.757 0.258 9.644
4929 -1.745 0.248 9.647
5052 -1.734 0.238 9.649
5194 -1.716 0.224 9.653
5294 -1.699 0.210 9.656
5394 -1.688 0.202 9.658
5479 -1.678 0.194 9.660
5594 -1.668 0.186 9.662
5684 -1.658 0.178 9.664
5764 -1.644 0.167 9.666
5844 -1.640 0.163 9.667
5954 -1.631 0.155 9.669
6034 -1.622 0.148 9.670
6114 -1.613 0.141 9.672
6203 -1.605 0.134 9.674
6319 -1.601 0.130 9.674
6404 -1.593 0.124 9.676
6484 -1.590 0.120 9.676
6566 -1.575 0.108 9.679
6663 -1.568 0.102 9.680
6758 -1.559 0.094 9.681
6869 -1.546 0.083 9.684
6949 -1.534 0.073 9.686
7053 -1.526 0.065 9.687
7143 -1.517 0.057 9.688
7234 -1.511 0.053 9.689
7318 -1.504 0.046 9.691
7427 -1.496 0.038 9.692
7533 -1.488 0.032 9.693
7633 -1.483 0.028 9.694
7723 -1.476 0.023 9.695
7808 -1.466 0.014 9.696
7903 -1.461 0.011 9.697
7993 -1.455 0.005 9.698
8108 -1.449 0.000 9.699
8218 -1.445 -0.003 9.700
8309 -1.441 -0.007 9.700
8418 -1.437 -0.010 9.701
8570 -1.432 -0.015 9.702
8659 -1.428 -0.018 9.702
8744 -1.424 -0.021 9.703
8878 -1.416 -0.027 9.704
9004 -1.411 -0.031 9.705
9084 -1.407 -0.036 9.705
9169 -1.403 -0.039 9.706
9269 -1.400 -0.042 9.706
9358 -1.397 -0.045 9.707
9469 -1.392 -0.048 9.707
