START_TIME=1432307190381
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=7
COLS=+TIME aX aY aZ
====================
51 -0.604 -0.935 0.774
131 -0.190 -0.458 0.955
214 -0.146 -0.072 0.223
295 -0.200 0.004 0.142
379 -0.148 -0.256 0.086
470 -0.181 -0.209 -0.221
570 0.054 -0.249 0.387
654 -0.150 -0.292 3.114
747 -1.460 -0.592 5.964
828 -3.062 -3.943 7.714
919 0.956 -3.953 1.918
999 1.792 1.384 -7.100
1081 1.331 2.381 -8.440
1178 -2.122 5.084 -8.049
1354 9.112 5.876 -1.497
1542 4.665 -7.758 6.404
1627 -0.068 -2.859 2.905
1715 0.854 -2.586 3.523
1798 0.128 -1.218 1.578
1897 -0.375 -1.202 3.794
1977 -0.680 -1.143 3.888
2057 -0.331 -1.729 4.625
2146 0.231 -2.621 4.541
2230 0.939 -4.956 7.414
2310 -0.780 0.698 -4.348
2393 -0.803 3.170 -8.695
2478 0.063 5.813 -7.988
2558 1.786 10.550 -2.732
2646 5.962 -1.201 4.870
2726 2.637 -5.254 7.971
2809 -2.235 -1.198 0.466
2903 -1.077 -2.768 -0.470
2985 -0.388 -4.210 0.219
3073 1.061 -4.273 1.552
3155 -2.624 -2.639 1.358
3255 -2.996 -1.920 1.008
3335 -0.969 -0.986 2.387
3415 -1.312 -0.394 1.917
3498 -1.798 -2.328 5.576
3580 -1.085 -5.185 6.663
3667 -1.299 -7.054 6.711
3749 1.245 -1.301 -1.451
3829 -0.044 2.226 -8.067
3912 0.281 5.978 -7.871
3994 2.520 10.903 -2.252
4075 6.910 -2.682 5.342
4157 3.212 -10.072 8.240
4237 -2.038 -1.921 -1.649
4317 -2.046 -1.206 0.296
4399 0.259 -3.421 9.570
4480 0.232 -1.925 4.998
4575 0.278 1.528 0.057
4661 -1.493 2.314 -0.416
4749 -0.727 1.829 -1.099
4879 -0.884 1.139 -0.714
4963 -0.121 1.240 -1.098
5043 0.083 0.562 -0.485
5124 0.033 0.143 -0.291
5206 -0.616 0.279 -0.650
5287 -0.483 0.102 0.081
5367 -0.059 0.167 -0.376
5448 0.262 0.013 -0.022
5529 0.039 0.017 0.157
5612 -0.128 -0.048 0.715
5694 -0.353 0.185 -0.271
5776 0.237 0.165 -0.613
5857 0.545 -0.037 -0.353
5940 0.153 -0.143 0.283
6028 -0.477 -0.047 -0.198
6121 -0.057 -0.035 -0.273
6212 0.477 -0.096 0.092
6299 0.336 -0.124 -0.192
6397 -0.132 -0.227 0.182
6483 0.067 -0.160 0.720
6575 0.158 -0.002 -0.043
6655 -0.049 -0.023 -1.482
6737 -0.930 -0.609 0.447
6827 0.138 -0.544 2.436
6909 0.402 0.310 -0.353
6989 -0.113 0.197 -0.229
7070 -0.159 0.081 -0.182
7157 -0.132 0.023 0.155
7241 0.001 0.024 0.131
7323 0.095 0.072 -0.146
7404 -0.146 0.003 0.033
7485 -0.163 0.163 0.141
7565 -0.218 0.177 0.356
7647 -0.051 0.142 -0.156
7731 0.115 0.004 -0.147
7819 0.049 0.109 0.063
7900 -0.057 0.037 0.424
7981 0.054 0.062 0.107
8061 0.182 0.096 -0.394
8142 -0.239 -0.060 -0.080
8248 -0.209 -0.027 0.331
8328 -0.129 0.157 0.022
8413 -0.062 0.107 -0.029
8506 -0.044 0.013 0.117
8595 0.081 0.079 -0.018
8677 0.163 0.067 0.031
8757 -0.032 -0.086 0.220
8838 -0.176 0.002 0.007
8924 -0.087 0.039 -0.059
9011 0.238 0.008 0.029
9091 -0.009 0.034 0.038
9173 0.003 0.037 0.068
9253 -0.093 0.078 -0.020
9335 0.042 0.000 0.168
9423 0.019 0.599 0.044
9517 -0.134 0.011 0.109
