START_TIME=1432051700186
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=6
COLS=+TIME rX rY rZ
====================
387 0.213 0.015 0.059
511 -0.446 -0.206 -0.084
663 -0.333 -0.152 -0.209
752 0.847 0.440 -0.228
869 0.468 0.358 -0.015
972 -0.254 -0.136 -0.096
1099 -1.614 0.077 -0.194
1222 1.422 -2.580 -0.369
1308 2.056 -0.702 0.313
1426 -0.630 -1.322 0.078
1525 -0.925 -2.136 0.688
1676 -0.559 -1.914 0.230
1796 -0.423 0.020 0.513
1898 0.106 -2.113 1.842
2037 0.518 2.535 -1.064
2158 -0.391 3.062 -0.421
2288 0.227 2.407 -0.574
2370 1.025 0.525 -0.638
2465 0.158 0.511 -2.065
2613 5.656 3.154 4.247
2727 -2.506 -2.230 -1.233
2837 -0.071 3.217 -1.035
2940 1.223 0.437 -3.806
3058 5.928 2.623 0.040
3172 6.555 -2.288 -1.917
3252 4.565 -1.599 -1.883
3346 -3.033 -7.117 -7.003
3452 2.325 2.853 -0.733
3554 1.109 0.825 -0.558
3647 1.366 3.903 -0.072
3737 0.538 0.300 -0.294
3954 0.808 1.638 -0.159
4034 0.246 0.292 -0.109
4120 -0.013 0.396 0.016
4215 -0.084 0.577 0.045
4302 -0.062 0.301 0.241
4389 -0.286 0.218 0.253
4493 -0.068 -0.178 -0.137
4587 -0.035 -0.613 -0.182
4695 -0.062 0.097 0.006
4779 -0.080 0.024 -0.099
4860 0.043 -0.151 0.060
4948 0.076 0.015 -0.048
5067 0.083 0.074 -0.098
5156 0.099 0.047 -0.067
5262 0.078 0.010 -0.021
5369 0.039 0.026 0.017
5607 0.003 0.021 -0.016
5693 0.005 -0.040 -0.045
5804 0.016 0.000 -0.034
5884 0.021 0.041 -0.038
6092 0.007 0.021 -0.033
6212 0.000 0.015 -0.007
6315 -0.002 0.009 -0.012
6404 -0.005 -0.008 -0.007
6504 0.010 -0.018 -0.010
6599 0.016 -0.002 0.002
6709 0.015 -0.017 0.000
6790 -0.015 0.005 -0.006
6875 0.015 -0.014 0.000
6959 -0.001 -0.006 0.012
7055 0.003 -0.013 -0.007
7163 -0.006 0.008 -0.009
7245 -0.004 -0.007 -0.017
7329 0.016 -0.005 0.004
7434 0.012 -0.005 -0.004
7525 0.007 -0.022 -0.002
7608 -0.001 -0.008 0.000
7732 0.001 0.015 -0.005
7824 0.007 0.005 -0.001
7904 -0.017 -0.008 -0.018
8000 0.016 -0.001 0.005
8097 0.014 -0.006 0.001
8230 0.006 0.003 0.000
8349 0.005 -0.007 0.000
8521 -0.001 -0.006 -0.005
8648 -0.012 0.005 -0.011
8729 0.005 0.015 0.001
8915 0.006 -0.007 0.004
9039 0.012 -0.005 -0.002
9148 -0.001 -0.008 -0.001
9237 0.001 0.010 -0.001
9324 -0.015 0.005 0.001
9527 0.006 -0.002 -0.012
