START_TIME=1432260715078
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=1
COLS=+TIME rX rY rZ
====================
439 0.055 0.020 0.039
568 0.011 0.011 0.017
654 -0.068 0.031 0.014
789 0.087 0.119 0.146
878 0.032 -0.117 -0.394
971 0.351 -0.055 0.039
1051 1.174 -0.573 -0.357
1156 -0.019 0.053 0.319
1246 0.335 -1.051 1.328
1351 -0.967 0.164 0.516
1434 0.818 0.029 0.295
1558 0.280 0.020 0.007
1773 0.160 0.070 -0.089
1915 0.086 -0.173 0.283
2022 0.063 -0.072 0.541
2150 0.020 -0.159 0.279
2269 0.035 0.231 0.194
2360 -0.282 0.175 0.082
2458 -0.103 0.032 0.108
2544 0.022 0.026 0.035
2684 0.195 -0.104 -0.184
2783 0.159 -0.182 -0.235
2868 -0.045 0.029 -0.344
2999 0.002 0.054 -0.454
3136 0.298 0.572 -0.118
3234 -0.007 -0.316 -0.027
3315 -0.002 0.369 0.113
3429 -0.108 -0.032 0.016
3510 0.093 0.022 -0.228
3599 -0.117 -0.056 -0.213
3699 0.019 -0.133 -0.234
3804 0.377 0.467 -0.619
3904 -0.271 -0.048 0.256
4069 -0.117 -0.074 0.310
4158 -0.375 -0.060 0.334
4285 -0.284 -0.289 0.470
4382 0.025 -0.115 0.349
4563 -0.018 0.007 -0.010
4659 -0.005 -0.368 -0.170
4759 0.124 -0.204 -0.253
4839 0.171 0.077 -0.148
4934 -0.009 -0.006 -0.068
5023 -0.058 -0.085 -0.078
5121 -0.013 -0.100 0.099
5221 -0.139 -0.013 0.011
5322 0.044 -0.153 -0.077
5419 0.201 -0.029 0.045
5535 -0.111 -0.048 0.013
5653 0.022 -0.095 -0.107
5754 -0.090 -0.216 -0.066
5857 0.121 -0.125 -0.041
5943 0.112 0.055 0.006
6058 0.145 -0.041 0.108
6168 0.026 -0.066 -0.043
6299 0.015 -0.004 -0.148
6420 -0.006 0.049 -0.274
6550 0.044 -0.041 -0.082
6696 -0.029 -0.104 -0.239
6798 0.046 -0.032 -0.137
6923 -0.052 -0.065 -0.043
7008 0.176 -0.072 -0.009
7103 -0.180 0.251 -0.014
7228 0.037 -0.170 -0.171
7317 0.094 -0.013 -0.121
7414 0.252 0.015 -0.022
7549 0.080 0.015 -0.088
7634 -0.145 0.128 -0.099
7744 0.268 -0.160 -0.169
7854 0.004 0.198 0.008
7954 -0.024 -0.044 0.061
8050 -0.069 0.028 0.046
8158 -0.013 -0.012 -0.028
8293 -0.080 -0.040 0.056
8422 0.010 -0.048 0.072
8519 -0.036 0.020 0.085
8633 -0.081 0.072 0.041
8754 -0.006 0.060 -0.122
8838 -0.039 0.001 -0.175
8967 -0.007 0.020 -0.284
9072 0.020 0.045 -0.097
9199 0.060 -0.039 0.060
9282 0.022 -0.028 0.096
9374 0.006 0.011 0.090
9460 0.003 0.004 0.039
