START_TIME=1432260715078
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=1
COLS=+TIME Gx Gy Gz
====================
398 -0.626 -0.388 -9.779
499 -7.111 -6.681 -0.982
634 -7.294 -6.544 0.362
723 -7.363 -6.202 1.868
838 -7.494 -5.829 2.456
968 -7.283 -5.347 3.814
1048 -7.128 -4.916 4.603
1153 -6.697 -4.604 5.488
1243 -6.703 -3.811 6.060
1348 -6.358 -3.399 6.648
1429 -6.381 -3.089 6.776
1554 -6.143 -2.599 7.189
1729 -6.141 -2.265 7.302
1813 -5.807 -1.956 7.656
1910 -5.541 -1.593 7.933
2016 -5.270 -1.133 8.192
2144 -4.872 -0.718 8.480
2264 -4.507 -0.385 8.701
2354 -4.518 -0.325 8.698
2454 -4.519 -0.296 8.698
2539 -4.486 -0.269 8.716
2679 -4.267 -0.070 8.830
2779 -4.038 -0.045 8.937
2864 -3.848 -0.032 9.020
2994 -3.745 -0.150 9.062
3131 -3.990 -0.084 8.958
3229 -3.988 -0.067 8.959
3309 -3.906 0.031 8.995
3424 -3.806 0.032 9.038
3504 -3.731 0.020 9.069
3594 -3.598 0.020 9.123
3694 -3.355 -0.116 9.214
3800 -3.321 -0.004 9.227
3899 -3.626 0.004 9.112
4064 -3.392 -0.043 9.201
4154 -3.327 -0.086 9.225
4279 -3.092 -0.094 9.306
4378 -2.939 -0.029 9.356
4556 -2.847 0.059 9.384
4654 -2.516 -0.038 9.478
4754 -2.222 -0.027 9.552
4834 -2.198 0.043 9.557
4929 -2.209 0.034 9.554
5019 -2.121 -0.010 9.575
5118 -1.959 0.013 9.609
5218 -1.906 -0.007 9.620
5318 -1.800 -0.066 9.640
5414 -1.688 0.055 9.660
5530 -1.470 0.064 9.696
5649 -1.426 -0.045 9.702
5749 -1.240 -0.068 9.728
5843 -1.068 -0.031 9.748
5939 -0.974 0.105 9.758
6054 -0.953 0.225 9.758
6164 -0.935 0.321 9.757
6293 -0.879 0.337 9.761
6414 -0.970 0.263 9.755
6544 -0.920 0.280 9.759
6693 -0.819 0.270 9.769
6793 -0.775 0.304 9.771
6918 -0.675 0.221 9.781
7004 -0.563 0.277 9.787
7099 -0.677 0.366 9.776
7224 -0.522 0.242 9.790
7313 -0.427 0.257 9.794
7409 -0.401 0.381 9.791
7489 -0.371 0.624 9.780
7593 -0.327 0.759 9.772
7689 -0.365 0.673 9.777
7784 -0.365 0.811 9.766
7904 -0.615 0.878 9.748
8043 -0.592 0.850 9.752
8154 -0.529 0.773 9.762
8289 -0.469 0.718 9.769
8378 -0.411 0.679 9.774
8489 -0.362 0.699 9.775
8583 -0.298 0.653 9.780
8708 -0.293 0.583 9.785
8793 -0.312 0.496 9.789
8888 -0.314 0.436 9.792
8975 -0.343 0.403 9.792
9069 -0.405 0.437 9.789
9158 -0.395 0.454 9.788
9278 -0.325 0.427 9.792
9368 -0.308 0.410 9.793
9454 -0.300 0.410 9.793
