START_TIME=1431763426044
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=11
COLS=+TIME aX aY aZ
====================
389 -0.437 0.040 0.123
482 -5.646 -5.972 8.018
574 0.061 -2.895 6.436
664 3.605 -0.367 -12.149
773 4.426 0.138 -10.498
864 4.673 0.524 -9.157
947 4.630 1.005 -8.017
1046 4.860 1.527 -6.663
1159 19.039 8.744 10.371
1250 1.538 1.553 -4.787
1413 12.532 -6.234 -1.268
1510 -10.803 -7.683 18.301
1600 -0.737 -0.099 9.456
1685 -5.055 -2.535 11.171
1811 0.440 -0.454 18.958
1934 -0.751 -0.835 2.374
2039 -2.299 1.389 0.765
2128 -1.505 1.680 -0.944
2211 -1.291 3.538 -4.364
2294 -0.535 3.359 -5.095
2389 -1.996 2.978 -3.393
2478 -1.936 2.846 -2.863
2588 -1.648 2.615 -1.290
2672 -1.319 2.222 -1.141
2753 -1.003 1.640 -0.617
2897 -0.741 1.088 -0.298
2977 -0.494 0.706 -0.149
3084 -0.366 0.513 -0.082
3179 -0.316 0.429 -0.058
3282 -0.236 0.371 -0.045
3373 -0.199 0.273 -0.029
3503 -0.140 0.234 -0.022
3583 -0.182 0.198 -0.011
3683 -0.168 0.172 -0.007
3798 -0.087 0.103 -0.007
3889 -0.086 0.103 -0.004
4030 -0.074 0.052 -0.003
4135 -0.049 0.075 -0.004
4258 -0.091 0.040 0.000
4394 -0.042 0.040 -0.002
4495 -0.002 0.048 -0.005
4575 -0.030 0.039 -0.002
4696 -0.321 -0.047 0.015
4800 -0.085 -0.013 0.002
4936 -0.045 0.068 -0.001
5051 -0.037 0.037 -0.001
5151 -0.029 0.024 -0.001
5285 -0.050 0.053 0.001
5394 0.000 0.059 -0.002
5480 0.006 0.024 -0.002
5580 -0.038 0.017 0.001
5660 -0.024 0.013 0.000
5790 -0.031 0.051 0.001
5890 -0.013 0.022 -0.000
5979 -0.031 0.019 0.001
6076 -0.012 0.055 -0.001
6160 -0.043 0.041 0.002
6255 -0.006 0.043 -0.001
6381 -0.011 0.013 0.000
6474 -0.013 0.049 -0.000
6564 -0.041 0.018 0.002
6659 -0.024 -0.020 0.001
6774 -0.003 -0.017 -0.000
6865 -0.006 -0.007 0.000
6950 -0.024 0.008 0.001
7044 -0.027 -0.011 0.002
7197 0.025 0.042 -0.003
7305 -0.012 0.021 0.000
7385 -0.017 -0.042 0.001
7520 0.029 0.032 -0.003
7611 -0.048 0.012 0.003
7725 -0.021 0.034 0.001
7835 0.027 0.011 -0.002
7972 -0.005 0.031 -0.000
8066 -0.022 0.019 0.001
8195 -0.039 -0.003 0.002
8325 0.018 -0.002 -0.001
8440 -0.026 -0.003 0.002
8541 0.022 0.024 -0.002
8665 -0.014 0.022 0.001
8766 0.002 0.039 -0.001
8860 -0.007 -0.036 0.001
9032 0.029 -0.015 -0.002
9114 -0.031 -0.003 0.002
9232 -0.011 -0.018 0.001
9330 -0.004 -0.021 0.000
