START_TIME=1431763426044
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=11
COLS=+TIME rX rY rZ
====================
379 -3.334 0.015 -0.253
477 -0.160 -0.196 -0.367
569 3.036 3.487 -0.955
659 0.692 0.974 -1.411
769 0.478 0.094 -1.425
859 0.338 -0.311 -1.443
939 0.310 -0.451 -1.449
1039 0.545 0.407 -1.421
1154 -2.294 2.717 1.237
1244 -4.652 0.014 2.526
1370 -0.749 -0.928 -1.494
1479 6.856 11.968 -2.111
1559 -1.999 2.550 1.068
1680 2.496 -2.133 3.945
1809 0.949 -2.437 -0.088
1929 0.012 -3.539 -0.005
2034 -0.045 0.677 0.009
2124 -0.002 0.159 0.015
2205 0.007 -0.011 0.003
2289 0.000 -0.002 -0.002
2385 -0.004 0.016 0.008
2474 -0.001 0.006 -0.001
2584 0.001 -0.001 -0.003
2669 -0.007 -0.011 -0.002
2749 0.015 -0.001 -0.005
2864 -0.001 0.000 -0.006
2974 -0.002 -0.012 -0.001
3079 -0.006 -0.002 -0.001
3174 0.012 0.004 0.003
3279 0.001 0.004 0.005
3368 -0.007 0.004 -0.001
3499 0.032 -0.011 -0.001
3579 -0.002 0.004 0.001
3679 0.020 0.002 0.000
3794 0.005 -0.007 -0.002
3885 0.000 0.002 0.000
3999 -0.008 -0.005 0.005
4129 -0.016 0.004 0.003
4254 -0.005 0.005 0.004
4387 -0.011 -0.006 0.001
4490 -0.005 -0.005 0.004
4570 0.006 -0.011 0.011
4690 0.004 -0.096 0.003
4794 0.005 -0.022 -0.005
4929 -0.002 -0.006 0.001
5044 0.004 0.004 -0.001
5144 0.000 -0.008 -0.001
5244 0.012 -0.007 0.003
5355 -0.016 -0.001 0.012
5445 0.005 -0.007 0.009
5534 -0.004 0.011 0.006
5623 0.009 0.005 0.016
5735 -0.001 0.017 -0.003
5840 0.004 0.004 -0.007
5950 -0.009 0.012 -0.011
6064 0.000 0.012 -0.011
6155 0.009 0.011 -0.001
6250 -0.004 -0.010 0.006
6376 0.001 0.008 -0.001
6470 -0.006 0.004 -0.010
6559 -0.021 0.004 0.002
6655 -0.005 -0.002 0.002
6769 -0.003 -0.008 -0.010
6860 0.001 0.003 0.002
6945 -0.013 0.015 0.005
7035 -0.003 0.010 0.000
7154 -0.011 -0.001 0.000
7244 0.005 -0.005 0.005
7339 -0.004 -0.011 -0.003
7450 -0.003 -0.011 0.001
7540 0.013 0.001 0.001
7636 0.013 -0.005 0.004
7720 0.001 0.013 -0.006
7829 -0.014 -0.005 -0.003
7930 -0.004 -0.012 0.000
8060 -0.005 -0.011 0.001
8189 -0.009 -0.007 0.000
8320 -0.005 -0.005 0.005
8435 -0.006 -0.009 0.005
8534 -0.001 -0.006 0.010
8659 -0.005 -0.011 0.004
8760 -0.003 0.001 0.000
8855 -0.003 -0.005 -0.010
9020 0.008 -0.004 -0.001
9109 -0.009 -0.009 0.000
9195 -0.007 -0.024 0.011
9285 -0.014 -0.005 0.004
9369 0.011 0.004 0.001
