START_TIME=1432225563362
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=6
COLS=+TIME aX aY aZ
====================
418 7.990 -4.220 0.772
504 6.707 -3.139 0.240
711 5.894 -2.893 0.218
812 6.538 -1.556 -2.370
903 7.147 -0.464 -5.243
1070 3.185 -2.110 -1.091
1158 -1.586 -3.536 -3.331
1243 1.937 -0.334 2.020
1397 0.342 5.529 5.891
1542 -0.464 9.126 3.634
1674 0.809 2.731 -9.199
1955 -4.760 12.256 0.469
2052 -12.919 8.945 -0.915
2160 -17.731 2.766 -1.429
2316 -10.464 -0.279 -4.699
2411 -11.878 -12.237 -0.737
2529 -10.698 -7.731 -4.911
2658 -9.434 -1.844 -1.842
2863 -1.838 -2.668 5.345
2956 2.453 -0.596 6.655
3130 3.495 1.984 4.828
3223 5.924 2.704 3.248
3309 2.340 1.491 2.145
3438 3.733 -3.789 1.073
3558 3.401 -4.583 -0.544
3649 2.989 -4.604 -0.900
3739 2.523 -4.556 -1.250
3841 1.262 -3.993 -1.905
3953 1.107 -3.820 -1.847
4063 0.935 -3.545 -1.788
4187 0.759 -2.278 -1.521
4283 0.726 -1.799 -1.549
4378 0.392 -1.285 -1.346
4531 0.170 -0.699 -1.039
4622 0.126 -0.163 -0.842
4735 0.106 -0.045 -0.788
4829 0.043 -0.058 -0.633
4949 0.073 0.182 -0.632
5037 0.074 0.293 -0.567
5128 0.083 0.323 -0.669
5267 0.041 0.261 -0.544
5407 0.036 0.249 -0.546
5502 0.061 0.402 -0.581
5648 0.024 0.481 -0.335
5735 0.040 0.464 -0.447
5828 0.044 0.691 -0.210
6011 0.015 0.413 -0.244
6093 -0.003 0.328 -0.192
6181 -0.015 0.390 0.016
6350 0.027 0.216 -0.157
6440 0.012 0.042 -0.138
6533 0.011 0.107 -0.004
6629 0.017 0.118 0.029
6770 0.001 -0.050 0.015
6866 0.007 0.029 0.040
6954 0.009 0.097 0.073
7047 0.026 0.119 -0.020
7148 -0.025 -0.010 0.128
7238 -0.001 0.001 0.005
7328 0.004 0.050 0.013
7440 -0.010 0.029 0.072
7580 0.005 -0.054 -0.063
7694 -0.011 0.001 0.053
17687 -0.014 -0.012 0.114
17806 -8.026 7.433 2.608
17894 -7.577 6.821 2.345
18079 -2.311 1.072 5.776
18251 -0.056 -2.560 5.435
18387 5.228 -7.076 -0.174
18765 4.266 -5.543 -0.743
18878 1.142 -1.393 -1.530
18978 0.511 -0.780 -1.333
19105 -0.023 -0.259 -0.598
19195 0.171 -0.284 -0.753
