START_TIME=1431762764247
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=8
COLS=+TIME Gx Gy Gz
====================
431 -0.162 1.344 9.713
522 1.587 -1.111 9.613
617 1.269 -1.200 9.650
702 1.545 -1.057 9.626
784 1.890 -1.099 9.560
902 1.768 -1.304 9.557
992 2.075 -1.515 9.464
1077 2.295 -1.673 9.387
1237 0.889 -1.670 9.622
1404 2.823 -2.701 8.995
1512 4.674 -3.971 7.652
1660 5.778 -4.755 6.339
1765 6.499 -5.269 5.116
1866 6.389 -5.026 5.486
1960 6.228 -5.751 4.930
2098 -6.978 -5.681 3.899
2186 3.896 7.140 -5.478
2286 0.662 8.854 -4.165
2417 3.445 2.173 -8.921
2508 -2.550 0.823 -9.434
2596 -2.519 -4.481 -8.351
2695 -1.242 -6.536 -7.205
2821 -2.026 -6.300 -7.237
2903 -2.084 -6.290 -7.229
2991 -0.787 -2.792 -9.368
3087 -0.301 -1.604 -9.670
3177 -0.151 -1.249 -9.726
3271 -0.098 -1.099 -9.744
3413 -0.054 -0.989 -9.756
3511 0.034 -0.782 -9.775
3592 0.044 -0.760 -9.777
3710 0.072 -0.684 -9.782
3810 0.087 -0.653 -9.785
3900 0.104 -0.617 -9.787
3980 0.113 -0.593 -9.788
4079 0.125 -0.565 -9.790
4184 0.134 -0.541 -9.791
4331 0.141 -0.512 -9.792
4451 0.146 -0.487 -9.793
4533 0.148 -0.481 -9.794
4662 0.152 -0.461 -9.795
4747 0.155 -0.447 -9.795
4836 0.155 -0.434 -9.796
4918 0.157 -0.421 -9.796
5027 0.159 -0.411 -9.797
5116 0.160 -0.401 -9.797
5217 0.162 -0.394 -9.797
5361 0.163 -0.407 -9.797
5472 0.164 -0.423 -9.796
5582 0.164 -0.419 -9.796
5697 0.164 -0.411 -9.797
5778 0.165 -0.405 -9.797
5897 0.165 -0.399 -9.797
5987 0.166 -0.393 -9.797
6077 0.167 -0.383 -9.798
6164 0.167 -0.376 -9.798
6245 0.168 -0.366 -9.798
6342 0.168 -0.362 -9.799
6461 0.169 -0.356 -9.799
6541 0.170 -0.353 -9.799
6622 0.170 -0.349 -9.799
6702 0.170 -0.346 -9.799
6792 0.171 -0.339 -9.799
6900 0.170 -0.334 -9.799
7000 0.171 -0.331 -9.800
7091 0.172 -0.326 -9.800
7181 0.172 -0.324 -9.800
7261 0.171 -0.318 -9.800
7383 0.171 -0.315 -9.800
7471 0.173 -0.307 -9.800
7562 0.173 -0.305 -9.800
7664 0.173 -0.304 -9.800
7747 0.173 -0.300 -9.801
7833 0.174 -0.296 -9.801
7979 0.174 -0.294 -9.801
8093 0.174 -0.292 -9.801
8173 0.174 -0.290 -9.801
8264 0.173 -0.287 -9.801
8389 0.174 -0.285 -9.801
8480 0.174 -0.282 -9.801
8568 0.174 -0.280 -9.801
8684 0.175 -0.278 -9.801
8774 0.175 -0.275 -9.801
8864 0.175 -0.273 -9.801
8975 0.175 -0.270 -9.801
9079 0.175 -0.268 -9.801
9159 0.175 -0.266 -9.801
9244 0.175 -0.263 -9.802
9344 0.175 -0.261 -9.802
