START_TIME=1432226734222
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=5
COLS=+TIME rX rY rZ
====================
435 -0.132 -0.037 -0.058
632 -0.089 -0.175 -0.252
729 -0.090 -0.320 -0.262
858 -0.091 -0.045 -0.369
973 -0.036 -0.221 -0.424
1163 -0.210 0.627 -0.182
1383 1.071 -0.795 4.460
1471 -5.174 -11.697 -5.578
1564 -2.932 6.084 -7.636
1647 -1.877 2.593 -1.672
1773 -1.345 -2.090 1.187
1959 -0.673 -0.443 -0.024
2039 -0.521 1.004 0.193
2159 0.116 -0.555 0.341
2249 0.320 -1.718 0.139
2362 0.445 -0.474 0.233
2444 0.180 0.816 0.071
2613 -0.079 0.543 -0.008
2724 -0.007 -0.557 -0.010
2809 -0.023 -0.302 -0.020
2939 -0.039 -0.094 -0.039
3179 -0.113 -0.129 -0.110
3338 0.087 0.864 0.025
3484 -0.041 -0.129 0.002
3567 0.022 0.045 0.009
3664 -0.001 -0.024 -0.003
3748 0.002 0.000 0.002
3854 0.002 0.004 -0.005
3945 0.005 0.020 -0.006
4078 0.009 0.006 0.005
4179 -0.003 -0.002 -0.006
4302 0.003 0.006 0.001
4469 -0.001 0.001 0.003
4604 -0.001 0.003 0.003
4784 -0.017 -0.006 -0.002
5094 -0.007 -0.001 -0.000
5257 -0.001 -0.004 -0.013
5463 -0.017 -0.004 -0.000
5628 0.003 0.020 -0.000
5728 0.004 0.000 -0.013
5808 0.005 -0.001 0.002
5914 0.005 0.020 -0.013
6018 -0.005 0.006 0.003
6102 0.002 -0.002 0.006
6293 0.004 -0.002 0.002
6418 0.009 -0.002 -0.000
6558 -0.007 -0.004 -0.013
6718 0.000 0.000 0.003
6874 0.003 0.020 -0.013
6979 0.005 -0.005 -0.005
7068 -0.017 0.000 0.001
7228 -0.002 0.020 0.002
7308 0.003 -0.001 0.011
7453 -0.017 0.020 -0.003
7644 -0.017 -0.002 0.005
7758 0.002 -0.005 0.001
7843 -0.002 0.005 0.005
7923 0.004 0.004 0.002
8035 0.014 -0.002 -0.004
8158 0.006 -0.002 -0.006
8270 0.000 -0.005 0.005
8497 0.004 0.006 0.002
8588 0.000 0.000 -0.006
8677 -0.003 0.004 -0.013
8798 0.003 -0.002 -0.006
8890 -0.017 0.005 -0.005
9013 0.002 -0.001 -0.003
9154 0.006 -0.002 -0.002
9270 -0.006 0.001 -0.004
9351 0.006 -0.008 0.001
9448 0.008 -0.007 -0.008
16812 -0.017 0.020 -0.013
