START_TIME=1432052456176
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=6
COLS=+TIME aX aY aZ
====================
462 0.631 -8.090 10.743
565 -1.243 -0.512 -0.330
669 -0.953 -0.095 0.481
799 -0.701 0.213 0.270
904 -0.726 0.257 -0.200
1056 -0.180 0.235 -0.597
1154 -0.423 0.896 -2.933
1257 1.620 1.813 -0.867
1376 2.451 0.445 -2.555
1461 0.375 0.620 3.375
1551 0.616 -4.358 -0.341
1650 -0.658 -5.569 -2.880
1759 0.078 2.245 -1.254
1879 -0.421 3.931 -0.592
1969 5.530 3.317 3.633
2069 -7.833 -8.572 -3.575
2218 -0.584 -4.149 -8.974
2305 -1.167 -4.233 1.177
2404 9.633 -4.657 4.617
2495 13.418 17.354 2.958
2589 14.586 0.892 -2.011
2669 12.643 -4.089 1.740
2809 10.367 5.403 -0.925
3004 6.897 2.529 -3.842
3246 4.335 3.584 -4.581
3598 1.972 4.212 8.478
3707 1.098 4.690 7.859
3789 -1.801 2.296 3.880
3885 -1.894 2.225 3.997
3984 -1.480 1.303 3.140
4109 -7.779 -2.609 -1.068
4199 -6.785 -3.556 -1.687
4300 -5.842 -3.755 -2.421
4446 -4.511 -3.461 -2.232
4555 -3.760 -2.942 -1.821
4695 -2.505 -2.126 -1.281
4816 -1.705 -1.631 -0.885
5029 -0.963 -1.154 -0.452
5161 -0.203 -0.440 0.004
5252 -0.118 -0.301 0.008
5364 -0.058 -0.112 0.006
5464 -0.051 -0.056 0.006
5590 -0.018 -0.037 0.001
5770 -0.018 -0.055 0.002
5874 0.012 0.026 -0.003
6008 0.027 -0.038 -0.005
6106 0.016 -0.011 -0.003
6210 0.026 -0.045 -0.005
6515 0.007 -0.027 -0.001
6639 0.007 -0.062 -0.001
6769 0.041 -0.058 -0.007
6898 0.022 -0.036 -0.004
7102 -0.047 0.005 0.007
7289 -0.031 0.001 0.005
7389 -0.001 -0.045 0.000
7485 0.008 -0.041 -0.001
7610 0.022 -0.038 -0.003
7699 0.006 -0.045 -0.001
7810 0.017 -0.021 -0.003
7895 -0.023 -0.002 0.003
7985 -0.002 0.010 0.000
8078 -0.035 -0.017 0.005
8225 0.010 -0.017 -0.002
8318 0.021 -0.017 -0.003
8429 -0.015 0.003 0.002
8521 0.020 0.007 -0.003
8656 0.019 -0.012 -0.003
8759 -0.021 -0.029 0.003
8849 0.022 -0.005 -0.003
8944 -0.006 -0.005 0.001
9095 0.014 0.040 -0.002
9221 -0.016 0.019 0.002
9305 0.007 -0.020 -0.001
9394 -0.003 -0.000 0.000
9524 -0.010 -0.037 0.002
9611 0.043 -0.009 -0.007
